concept,n_concept,n_concept_list,category,concept_eng,list,exemplar,count,avg_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,outliers,exemplar_string,classif,llama3.1,llama3.2,mistral,llava,idefics2,nemo,mixtral,llama3.1-70b
agenda,3,3,STATIONERY,diary,3,AGENDA_ad anelli,4,3.75,0.125,1,5,0.03125,0.0372940982552365,0.0430840856005783,False,agenda ad anelli,medium_exemplars,6.673216342926025,6.810302734375,9.533321380615234,8.270459175109863,6.180471420288086,9.087461471557615,11.13376808166504,6.347803115844727
appendiabiti,4,1,FURNISHINGS/FITTINGS,clothes hanger,2,APPENDIABITI_da parete,15,2.066666666666667,0.46875,1,7,0.1875,0.4032522792259816,0.3474653400502411,False,appendiabiti da parete,few_exemplars,6.28759765625,6.45145845413208,8.828818321228027,7.280378818511963,5.449674606323242,6.843328475952148,7.663756847381592,5.74471378326416
appendiabiti,4,1,FURNISHINGS/FITTINGS,clothes hanger,2,APPENDIABITI_da terra,14,1.5,0.4375,1,2,0.21875,0.4020284256626105,0.2406816220643633,False,appendiabiti da terra,few_exemplars,6.340807914733887,6.578059196472168,8.734565734863281,7.365509033203125,5.47372579574585,7.274318695068359,8.483280181884766,5.988373279571533
appendiabiti,4,1,FURNISHINGS/FITTINGS,clothes hanger,2,APPENDIABITI_da muro,9,1.333333333333333,0.28125,1,3,0.21875,0.2597762948618105,0.231777987909433,False,appendiabiti da muro,few_exemplars,6.28299617767334,6.5191731452941895,8.870190620422363,7.549455165863037,5.714509963989258,6.899557113647461,7.934976100921631,5.787853717803955
appendiabiti,4,1,FURNISHINGS/FITTINGS,clothes hanger,2,APPENDIABITI_a rastrelliera,6,3.0,0.1875,3,3,0.0,0.0747223202033464,0.0187985331980257,False,appendiabiti a rastrelliera,few_exemplars,6.05298376083374,6.335498332977295,8.550006866455078,6.908412933349609,5.585085868835449,6.723888397216797,8.20038890838623,5.7161545753479
armadio,5,10,FURNITURE,closet,8,ARMADIO_a muro,10,2.1,0.3125,1,6,0.1875,0.2536728034032261,0.2306762526054375,False,armadio a muro,medium_exemplars,6.011560916900635,6.363020420074463,8.51785945892334,7.243050098419189,5.396544933319092,7.494553565979004,8.605664253234863,5.676743030548096
armadio,5,10,FURNITURE,closet,8,ARMADIO_scorrevole,14,1.857142857142857,0.4375,1,3,0.15625,0.3791566955900548,0.2250186608575853,False,armadio scorrevole,medium_exemplars,5.992403984069824,6.278568744659424,7.713969230651855,7.033074378967285,5.12690019607544,7.172165393829346,8.389965057373047,5.519449710845947
armadio,5,10,FURNITURE,closet,8,ARMADIO_a due ante,10,2.0,0.3125,1,5,0.125,0.2517989897894115,0.2083660965103025,False,armadio a due ante,medium_exemplars,5.9222846031188965,6.451789379119873,8.795491218566895,7.381117343902588,5.724364280700684,7.466834545135498,8.696020126342773,5.544301986694336
armadio,5,10,FURNITURE,closet,8,ARMADIO_a battente,8,1.625,0.25,1,3,0.125,0.2086932708763719,0.1578177859956238,False,armadio a battente,medium_exemplars,6.094557762145996,6.368346214294434,8.879792213439941,7.324370384216309,5.8162126541137695,7.652100563049316,8.91675853729248,5.67644739151001
armadio,5,10,FURNITURE,closet,8,ARMADIO_in legno,8,3.5,0.25,1,7,0.0625,0.1327310366997468,0.1233615594203907,False,armadio in legno,medium_exemplars,6.096445560455322,6.269959449768066,8.557482719421387,7.18377685546875,5.400634288787842,7.392523765563965,9.132229804992676,5.752854824066162
armadio,5,10,FURNITURE,closet,8,ARMADIO_cabina,7,4.285714285714286,0.21875,2,10,0.0,0.0924361646381994,0.1157475001438052,False,cabina armadio,medium_exemplars,6.213551044464111,6.33944034576416,8.799579620361328,7.311422348022461,5.613858699798584,7.577314376831055,9.72489070892334,5.750226974487305
armadio,5,10,FURNITURE,closet,8,ARMADIO_ad ante,5,2.0,0.15625,1,3,0.03125,0.0938984804937475,0.0640677859956238,False,armadio ad ante,medium_exemplars,6.154356956481934,6.503951072692871,8.868545532226562,7.470870971679687,5.867601871490479,8.810321807861328,9.258530616760254,5.863109588623047
armadio,5,10,FURNITURE,closet,8,ARMADIO_a tre ante,5,2.2,0.15625,1,3,0.03125,0.0862088523866255,0.057305975818866,False,armadio a tre ante,medium_exemplars,6.093202590942383,6.44536018371582,9.005534172058105,7.629404544830322,6.092759132385254,7.651116847991943,8.963662147521973,5.632054328918457
armadio,5,10,FURNITURE,closet,8,ARMADIO_a libro,6,2.5,0.1875,1,3,0.03125,0.1007924940576557,0.0536772545084458,False,armadio a libro,medium_exemplars,6.165144443511963,6.408249855041504,8.289175987243652,7.197805881500244,5.449378967285156,8.343286514282227,8.29221248626709,5.80574369430542
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_rigido,8,1.875,0.25,1,3,0.125,0.1960919373086329,0.1442941656421083,False,astuccio rigido,medium_exemplars,6.097345352172852,6.4540839195251465,7.750768184661865,6.286515235900879,5.037660121917725,7.119179725646973,8.974090576171875,5.7381591796875
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_portapenne,6,1.333333333333333,0.1875,1,2,0.125,0.1644552278441829,0.1312661777326752,False,portapenne,medium_exemplars,6.453775405883789,6.442217350006104,9.258438110351562,7.624789714813232,6.3943610191345215,8.250779151916504,9.482580184936523,6.130331516265869
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_per la scuola,6,2.0,0.1875,1,3,0.0625,0.126862667911965,0.088555975818866,False,astuccio per la scuola,medium_exemplars,6.003966808319092,6.195493698120117,7.445583820343018,6.33986759185791,4.909080028533936,6.23748254776001,8.082208633422852,5.574734210968018
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_portaocchiali,4,2.25,0.125,1,5,0.0625,0.0784729740807279,0.0832176160165549,False,portaocchiali,medium_exemplars,6.1742448806762695,6.368284702301025,7.704277992248535,6.566122055053711,5.367887496948242,7.278436660766602,8.697248458862305,5.852567672729492
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_a bustina,5,2.8,0.15625,1,4,0.03125,0.0698652419291189,0.0587778684751627,False,astuccio a bustina,medium_exemplars,6.336230754852295,6.4630537033081055,8.179767608642578,6.6258931159973145,5.516016483306885,7.247143268585205,9.379122734069824,5.9134297370910645
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_a tre cerniere,4,2.0,0.125,1,3,0.03125,0.067029160128766,0.0541728869525284,False,astuccio a tre cerniere,medium_exemplars,6.194900989532471,6.374745845794678,8.362414360046387,7.032928466796875,5.642373085021973,6.722654819488525,8.385851860046387,5.579504489898682
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_trousse,5,3.2,0.15625,1,4,0.03125,0.0578486226468046,0.0473934879552219,False,trousse,medium_exemplars,6.146112442016602,6.296302795410156,8.972726821899414,7.296802997589111,5.824328422546387,8.537752151489258,10.112034797668455,5.947607040405273
astuccio,6,5,STATIONERY,case,2,ASTUCCIO_a cerniera,6,1.833333333333333,0.1875,1,2,0.03125,0.1298880696104572,0.046915444331688,False,astuccio a cerniera,medium_exemplars,6.133761405944824,6.396403789520264,8.304932594299316,6.724625110626221,5.383513450622559,6.874490261077881,8.215651512145996,5.778289794921875
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_martello,20,3.3,0.625,1,11,0.25,0.5001156631135946,0.4375749417115266,False,martello,many_exemplars,6.304958343505859,6.2852630615234375,8.621712684631348,7.424534320831299,5.779390811920166,7.655977725982666,10.05217170715332,6.012686729431152
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_cacciavite,19,2.315789473684211,0.59375,1,4,0.15625,0.5069626821900592,0.294799420778125,False,cacciavite,many_exemplars,5.886038303375244,6.1052985191345215,8.116800308227539,6.787550449371338,5.219296932220459,6.643007755279541,9.529009819030762,5.545131683349609
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_chiave inglese,14,5.071428571428571,0.4375,1,14,0.09375,0.2525128504405114,0.2525128504405114,False,chiave inglese,many_exemplars,5.88840389251709,6.060327529907227,7.774434566497803,6.60598087310791,5.013657569885254,6.878227233886719,8.25459098815918,5.3647565841674805
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_da cucina,7,2.571428571428572,0.21875,1,7,0.125,0.1561768622911044,0.1561768622911044,False,attrezzo da cucina,many_exemplars,6.011122703552246,6.120004653930664,7.227407455444336,5.843238353729248,4.489272117614746,6.078606605529785,7.774577617645264,5.417674541473389
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_trapano,12,4.083333333333333,0.375,2,7,0.0,0.211986362538109,0.1453287534541209,False,trapano,many_exemplars,6.221424102783203,6.151302337646484,8.554492950439453,7.15205717086792,5.454094886779785,7.118506908416748,8.232131958007812,5.616879463195801
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_pinze,9,4.111111111111111,0.28125,1,8,0.03125,0.1329771235759193,0.1220105757297155,False,pinze,many_exemplars,6.317531585693359,6.382408142089844,8.990635871887207,7.543395042419434,5.671849727630615,7.868216037750244,9.725271224975586,5.990927219390869
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_da giardino,5,1.4,0.15625,1,2,0.09375,0.1289190543004347,0.1000161777326752,False,attrezzo da giardino,many_exemplars,6.01264762878418,6.220147609710693,7.553584575653076,5.98241138458252,4.729266166687012,6.591299057006836,9.055798530578612,5.541590690612793
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_chiave a pappagallo,5,6.0,0.15625,2,13,0.0,0.0280800215386088,0.0730198850751136,False,chiave a pappagallo,many_exemplars,6.011916637420654,6.166539192199707,8.210556983947754,6.86836576461792,5.205563545227051,6.674173831939697,10.184017181396484,5.526033878326416
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_pala,4,3.25,0.125,1,7,0.03125,0.0528258106095073,0.0702001103211738,False,pala,many_exemplars,6.416606903076172,6.4387526512146,9.16436767578125,7.187449455261231,5.873275279998779,8.20826244354248,11.096542358398438,6.103052616119385
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_sega,4,7.25,0.125,2,14,0.0,0.0212946508735682,0.0576106746405614,False,sega,many_exemplars,6.3633527755737305,6.413382530212402,8.854467391967773,7.608744144439697,5.514042854309082,8.237499237060547,10.586560249328612,6.154775142669678
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_da lavoro,5,2.4,0.15625,1,3,0.03125,0.0785192242795036,0.0505441656421082,False,attrezzo da lavoro,many_exemplars,5.860847473144531,6.0655035972595215,7.587147235870361,5.901195049285889,4.609002113342285,6.597258567810059,8.407809257507324,5.548652648925781
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_lima,5,7.8,0.15625,3,12,0.0,0.0118152697470503,0.045713578599839,False,lima,many_exemplars,6.248077869415283,6.476984977722168,8.904411315917969,7.257466316223144,5.90092134475708,8.229055404663086,10.655970573425291,5.962857723236084
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_cesoie,4,7.5,0.125,4,13,0.0,0.0041265340496489,0.0425978767120351,False,cesoie,many_exemplars,6.299571514129639,6.584628105163574,8.692115783691406,7.482583045959473,5.7457685470581055,7.569801330566406,9.202157020568848,5.769967079162598
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_avvitatore,4,6.25,0.125,2,9,0.0,0.0154073562442593,0.0381740734667898,False,avvitatore,many_exemplars,6.131101131439209,6.378210067749023,8.635643005371094,6.928623199462891,5.55308198928833,7.006497383117676,9.413476943969728,5.709385871887207
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_forbici,5,5.0,0.15625,3,7,0.0,0.0202862167789228,0.0378832223212432,False,forbici,many_exemplars,6.1082844734191895,6.16782283782959,8.195777893066406,6.688986778259277,4.9351091384887695,7.783348083496094,9.731687545776367,5.740890502929688
attrezzo,7,16,HOBBIES,tool,5,ATTREZZO_scalpello,4,5.0,0.125,3,7,0.0,0.0108675979245506,0.032142221901742,False,scalpello,many_exemplars,6.122045040130615,6.110562324523926,8.595279693603516,6.79364013671875,5.323698997497559,7.584160804748535,9.266762733459473,5.717247009277344
autobus,8,9,VEHICLES,bus,12,AUTOBUS_a due piani,18,2.222222222222222,0.5625,1,5,0.25,0.4845119934888165,0.3556377279819148,False,autobus a due piani,many_exemplars,6.217529296875,6.387069225311279,6.941474914550781,6.134389877319336,4.966999530792236,7.367630958557129,7.372480392456055,5.875718116760254
autobus,8,9,VEHICLES,bus,12,AUTOBUS_di linea,14,2.428571428571428,0.4375,1,6,0.125,0.3494488985103704,0.2674022581108117,False,autobus di linea,many_exemplars,6.3720316886901855,6.379788398742676,7.668302059173584,6.274663925170898,5.009757041931152,8.06650161743164,8.269157409667969,5.9868903160095215
autobus,8,9,VEHICLES,bus,12,AUTOBUS_scuolabus,14,3.214285714285714,0.4375,1,8,0.125,0.3119887538233211,0.2510015904830231,False,scuolabus,many_exemplars,6.214849948883057,6.506682395935059,7.484543800354004,5.932466983795166,4.425753593444824,8.01730728149414,7.768791198730469,5.99094820022583
autobus,8,9,VEHICLES,bus,12,AUTOBUS_elettrico,8,2.75,0.25,1,5,0.09375,0.1596292312506868,0.1311713396202642,False,autobus elettrico,many_exemplars,5.846704483032227,5.988553047180176,6.824774265289307,5.804559707641602,4.3293232917785645,6.669003486633301,7.495128154754639,5.751046180725098
autobus,8,9,VEHICLES,bus,12,AUTOBUS_pullman,7,2.142857142857143,0.21875,1,4,0.0625,0.1508110246350471,0.1159297183813821,False,pullman,many_exemplars,6.566135406494141,6.572829246520996,8.796613693237305,7.415040493011475,5.668482303619385,9.731472969055176,9.415971755981444,6.2268781661987305
autobus,8,9,VEHICLES,bus,12,AUTOBUS_snodato,6,3.666666666666667,0.1875,1,7,0.03125,0.0809960106174499,0.0893143443134828,False,autobus snodato,many_exemplars,6.454007148742676,6.6844563484191895,7.856589317321777,6.506093502044678,5.409578323364258,8.42594051361084,8.549778938293457,6.235795021057129
autobus,8,9,VEHICLES,bus,12,AUTOBUS_filobus,5,3.0,0.15625,1,5,0.03125,0.0640677859956238,0.0640677859956238,False,filobus,many_exemplars,6.321771621704102,6.425105094909668,8.265801429748535,6.82188081741333,5.293319225311279,8.405282020568848,8.60231876373291,6.140244483947754
autobus,8,9,VEHICLES,bus,12,AUTOBUS_minibus,4,3.0,0.125,1,5,0.03125,0.0503560629470655,0.057535523884458,False,minibus,many_exemplars,6.259830951690674,6.399936676025391,7.661817073822021,6.575081825256348,4.600274085998535,9.522289276123049,8.318774223327637,5.999343395233154
autobus,8,9,VEHICLES,bus,12,AUTOBUS_a metano,6,3.5,0.1875,2,5,0.0,0.0670148631554471,0.0535354020121788,False,autobus a metano,many_exemplars,6.528772354125977,6.36590051651001,8.354433059692383,6.758510112762451,5.462716102600098,8.122320175170898,8.847579956054688,6.288299560546875
autobus,8,9,VEHICLES,bus,12,AUTOBUS_corriera,4,3.75,0.125,2,5,0.0,0.0222391518134032,0.0318534317523611,False,corriera,many_exemplars,6.270694255828857,6.373427391052246,8.994213104248047,6.958988189697266,5.146902084350586,9.655576705932615,10.325271606445312,6.197504043579102
autobus,8,9,VEHICLES,bus,12,AUTOBUS_privato,4,3.5,0.125,3,4,0.0,0.0197546204450933,0.0197546204450933,False,autobus privato,many_exemplars,6.191929340362549,6.331701278686523,7.723337650299072,6.299159049987793,4.967316150665283,7.94390344619751,8.445230484008789,6.072916507720947
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_elettrica,15,5.533333333333333,0.46875,1,16,0.09375,0.2784994211687505,0.2852555933690743,False,automobile elettrica,many_exemplars,5.9734320640563965,6.267079830169678,7.700523376464844,6.282978057861328,4.410803318023682,7.417270183563232,9.857967376708984,5.894474983215332
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_suv,13,4.076923076923077,0.40625,1,9,0.03125,0.2435409432914378,0.1982157471665918,False,suv,many_exemplars,6.436409950256348,6.574672698974609,8.642511367797852,7.274755477905273,5.2194695472717285,9.643877983093262,10.009272575378418,6.053122043609619
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_a benzina,8,9.25,0.25,3,40,0.0,0.068756319777334,0.1780875921072803,False,automobile a benzina,many_exemplars,6.4430251121521,6.633069515228272,8.29518985748291,6.971717834472656,5.062397480010986,7.699997425079346,9.20530128479004,6.121572971343994
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_monovolume,10,4.2,0.3125,1,10,0.09375,0.1775590024916377,0.1775590024916377,False,monovolume,many_exemplars,6.477210998535156,6.592329978942871,8.515829086303711,7.03574275970459,5.347005844116211,7.9318695068359375,9.516030311584473,6.261638641357422
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_ibrida,12,5.416666666666667,0.375,1,11,0.03125,0.1756288091749604,0.165314677427475,False,automobile ibrida,many_exemplars,6.295060157775879,6.372062206268311,8.372657775878906,7.007131576538086,5.081663131713867,7.655142307281494,9.436625480651855,5.965608596801758
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_da corsa,10,5.1,0.3125,1,11,0.09375,0.1563437031650831,0.1631322453103602,False,automobile da corsa,many_exemplars,6.305388450622559,6.555657386779785,8.02092170715332,6.977442264556885,5.299710750579834,7.875296592712402,9.422576904296877,6.147760391235352
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_sportiva,10,5.6,0.3125,1,12,0.03125,0.1419627899153417,0.1567303914981414,False,automobile sportiva,many_exemplars,6.359035968780518,6.425862789154053,9.018052101135254,7.300100326538086,5.656845569610596,7.695253372192383,10.519906044006348,6.11358118057251
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_berlina,9,5.666666666666667,0.28125,1,12,0.0625,0.1273251785883454,0.1447924998687111,False,berlina,many_exemplars,6.251325607299805,6.354954242706299,8.825078964233398,7.5272393226623535,5.173285484313965,7.873177051544189,9.515142440795898,5.954623222351074
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_citycar,7,4.857142857142857,0.21875,1,13,0.09375,0.1121587449607738,0.1357293067590425,False,citycar,many_exemplars,6.52896785736084,6.768105030059815,9.211615562438965,7.7089033126831055,5.968063831329346,9.811187744140623,9.821056365966797,6.244508743286133
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_4x4,6,9.833333333333334,0.1875,1,33,0.0625,0.0782551655092825,0.1266427102137784,False,automobile 4x4,many_exemplars,6.082518577575684,6.218775272369385,7.591132164001465,6.681618690490723,4.6337666511535645,6.820675849914551,8.71895694732666,5.907020568847656
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_utilitaria,6,4.333333333333333,0.1875,1,12,0.03125,0.0793532922569957,0.1136848584321894,False,utilitaria,many_exemplars,6.519401550292969,6.576770305633545,9.475057601928713,7.384218215942383,5.793113231658936,8.685457229614258,9.487476348876951,6.439156532287598
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_a metano,5,13.0,0.15625,2,41,0.0,0.0292739238506704,0.0996081098079092,False,automobile a metano,many_exemplars,6.671489238739014,6.592750549316406,9.568679809570312,7.56434965133667,5.823835372924805,8.452302932739258,9.642007827758787,6.4916300773620605
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_coupé,7,3.857142857142857,0.21875,2,8,0.0,0.0867772267757912,0.097548312417104,False,coupé,many_exemplars,6.113904476165772,6.503650188446045,8.34854793548584,7.030571937561035,4.868769645690918,7.900741100311279,9.849530220031738,6.020040988922119
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_station wagon,7,5.714285714285714,0.21875,2,11,0.0,0.0618718031188563,0.0928765869046646,False,station wagon,many_exemplars,6.345067501068115,6.319634437561035,8.336923599243164,6.991848468780518,5.440877437591553,8.060395240783691,9.36505889892578,5.925934314727783
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_fuoristrada,7,5.0,0.21875,1,8,0.03125,0.0691212340332719,0.0777689282852029,False,fuoristrada,many_exemplars,6.053832054138184,6.182750225067139,8.172523498535156,6.671080589294434,4.772433757781982,7.179643630981445,8.466836929321289,5.693259716033936
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_a gpl,4,14.75,0.125,3,39,0.0,0.0082065227786785,0.0714089811905735,False,automobile a gpl,many_exemplars,6.568689823150635,6.740871429443359,8.914292335510254,7.390743732452393,5.707677841186523,8.450502395629883,10.261174201965332,6.480273723602295
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_decappottabile,8,4.75,0.25,2,7,0.0,0.0814056099172945,0.0690518676957438,False,automobile decappottabile,many_exemplars,6.484431743621826,6.603278636932373,8.766584396362305,7.433934688568115,5.715165615081787,6.885342597961426,9.393141746520996,6.000535488128662
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_crossover,5,6.2,0.15625,3,12,0.0,0.0190447833253139,0.062362864968572,False,crossover,many_exemplars,6.463082790374756,6.691496849060059,8.348729133605957,6.659233570098877,4.93052864074707,9.582154273986816,8.658161163330078,6.301120758056641
automobile,9,10,VEHICLES,car,1,AUTOMOBILE_limousine,5,6.0,0.15625,2,11,0.0,0.02694321778914,0.0623367240766203,False,limousine,many_exemplars,6.224045276641846,6.308581352233887,8.272791862487793,7.084242343902588,4.989220142364502,9.171003341674805,8.953720092773438,5.9539666175842285
