concept	n_concept	n_concept_list	category	concept_eng	list	exemplar	count	avg_rank_order	dominance	min_rank	max_rank	first_occur	availability_montefinese	availability	outliers	exemplar_string
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_per la scuola	6	2.0	0.1875	1	3	0.0625	0.126862667911965	0.08855597581886607	False	astuccio per la scuola
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_portaocchiali	4	2.25	0.125	1	5	0.0625	0.07847297408072797	0.08321761601655499	False	portaocchiali
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_portapenne	6	1.333333333333333	0.1875	1	2	0.125	0.1644552278441829	0.1312661777326752	False	portapenne
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_rigido	8	1.875	0.25	1	3	0.125	0.1960919373086329	0.1442941656421083	False	astuccio rigido
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_trousse	5	3.2	0.15625	1	4	0.03125	0.05784862264680464	0.04739348795522191	False	trousse
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_avvitatore	4	6.25	0.125	2	9	0.0	0.01540735624425933	0.03817407346678982	False	avvitatore
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_cacciavite	19	2.315789473684211	0.59375	1	4	0.15625	0.5069626821900592	0.294799420778125	False	cacciavite
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_cesoie	4	7.5	0.125	4	13	0.0	0.004126534049648985	0.04259787671203511	False	cesoie
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_chiave a pappagallo	5	6.0	0.15625	2	13	0.0	0.02808002153860887	0.07301988507511369	False	chiave a pappagallo
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_chiave inglese	14	5.071428571428571	0.4375	1	14	0.09375	0.2525128504405114	0.2525128504405114	False	chiave inglese
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_da cucina	7	2.571428571428572	0.21875	1	7	0.125	0.1561768622911044	0.1561768622911044	False	attrezzo da cucina
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_da giardino	5	1.4	0.15625	1	2	0.09375	0.1289190543004347	0.1000161777326752	False	attrezzo da giardino
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_da lavoro	5	2.4	0.15625	1	3	0.03125	0.07851922427950361	0.05054416564210826	False	attrezzo da lavoro
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_forbici	5	5.0	0.15625	3	7	0.0	0.02028621677892289	0.03788322232124327	False	forbici
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_lima	5	7.8	0.15625	3	12	0.0	0.01181526974705032	0.04571357859983902	False	lima
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_martello	20	3.3	0.625	1	11	0.25	0.5001156631135946	0.4375749417115266	False	martello
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_pala	4	3.25	0.125	1	7	0.03125	0.05282581060950734	0.07020011032117385	False	pala
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_pinze	9	4.111111111111111	0.28125	1	8	0.03125	0.1329771235759193	0.1220105757297155	False	pinze
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_scalpello	4	5.0	0.125	3	7	0.0	0.01086759792455063	0.03214222190174205	False	scalpello
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_sega	4	7.25	0.125	2	14	0.0	0.02129465087356829	0.0576106746405614	False	sega
ATTREZZO	7	16	HOBBIES	tool	5	ATTREZZO_trapano	12	4.083333333333333	0.375	2	7	0.0	0.211986362538109	0.1453287534541209	False	trapano
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_a due piani	18	2.222222222222222	0.5625	1	5	0.25	0.4845119934888165	0.3556377279819148	False	autobus a due piani
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_a metano	6	3.5	0.1875	2	5	0.0	0.06701486315544718	0.05353540201217885	False	autobus a metano
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_corriera	4	3.75	0.125	2	5	0.0	0.0222391518134032	0.03185343175236113	False	corriera
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_di linea	14	2.428571428571428	0.4375	1	6	0.125	0.3494488985103704	0.2674022581108117	False	autobus di linea
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_elettrico	8	2.75	0.25	1	5	0.09375	0.1596292312506868	0.1311713396202642	False	autobus elettrico
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_filobus	5	3.0	0.15625	1	5	0.03125	0.06406778599562386	0.06406778599562386	False	filobus
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_minibus	4	3.0	0.125	1	5	0.03125	0.05035606294706559	0.05753552388445807	False	minibus
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_privato	4	3.5	0.125	3	4	0.0	0.01975462044509334	0.01975462044509334	False	autobus privato
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_pullman	7	2.142857142857143	0.21875	1	4	0.0625	0.1508110246350471	0.1159297183813821	False	pullman
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_scuolabus	14	3.214285714285714	0.4375	1	8	0.125	0.3119887538233211	0.2510015904830231	False	scuolabus
AUTOBUS	8	9	VEHICLES	bus	12	AUTOBUS_snodato	6	3.666666666666667	0.1875	1	7	0.03125	0.08099601061744997	0.08931434431348285	False	autobus snodato
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_4x4	6	9.833333333333334	0.1875	1	33	0.0625	0.07825516550928255	0.1266427102137784	False	automobile 4x4
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_a benzina	8	9.25	0.25	3	40	0.0	0.06875631977733405	0.1780875921072803	False	automobile a benzina
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_a gpl	4	14.75	0.125	3	39	0.0	0.00820652277867856	0.07140898119057353	False	automobile a gpl
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_a metano	5	13.0	0.15625	2	41	0.0	0.02927392385067043	0.0996081098079092	False	automobile a metano
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_berlina	9	5.666666666666667	0.28125	1	12	0.0625	0.1273251785883454	0.1447924998687111	False	berlina
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_citycar	7	4.857142857142857	0.21875	1	13	0.09375	0.1121587449607738	0.1357293067590425	False	citycar
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_coupé	7	3.857142857142857	0.21875	2	8	0.0	0.08677722677579128	0.09754831241710406	False	coupé
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_crossover	5	6.2	0.15625	3	12	0.0	0.01904478332531399	0.06236286496857209	False	crossover
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_da corsa	10	5.1	0.3125	1	11	0.09375	0.1563437031650831	0.1631322453103602	False	automobile da corsa
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_decappottabile	8	4.75	0.25	2	7	0.0	0.08140560991729456	0.06905186769574388	False	automobile decappottabile
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_elettrica	15	5.533333333333333	0.46875	1	16	0.09375	0.2784994211687505	0.2852555933690743	False	automobile elettrica
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_familiare	4	3.25	0.125	1	6	0.03125	0.04541461054740227	0.05929052893411976	False	automobile familiare
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_fuoristrada	7	5.0	0.21875	1	8	0.03125	0.06912123403327199	0.07776892828520297	False	fuoristrada
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_ibrida	12	5.416666666666667	0.375	1	11	0.03125	0.1756288091749604	0.165314677427475	False	automobile ibrida
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_limousine	5	6.0	0.15625	2	11	0.0	0.02694321778914005	0.06233672407662037	False	limousine
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_monovolume	10	4.2	0.3125	1	10	0.09375	0.1775590024916377	0.1775590024916377	False	monovolume
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_sportiva	10	5.6	0.3125	1	12	0.03125	0.1419627899153417	0.1567303914981414	False	automobile sportiva
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_station wagon	7	5.714285714285714	0.21875	2	11	0.0	0.06187180311885637	0.0928765869046646	False	station wagon
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_suv	13	4.076923076923077	0.40625	1	9	0.03125	0.2435409432914378	0.1982157471665918	False	suv
AUTOMOBILE	9	10	VEHICLES	car	1	AUTOMOBILE_utilitaria	6	4.333333333333333	0.1875	1	12	0.03125	0.0793532922569957	0.1136848584321894	False	utilitaria
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_chimico	5	3.0	0.15625	1	5	0.03125	0.06743042292755348	0.06743042292755348	False	bagno chimico
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_delle donne	4	4.25	0.125	2	6	0.0	0.01978223078204974	0.03568557713738772	False	bagno delle donne
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_di lusso	5	4.0	0.15625	1	7	0.03125	0.05083794691415074	0.06553967865192058	False	bagno di lusso
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_giapponese	4	1.25	0.125	1	2	0.09375	0.1082674693862785	0.09688308886633762	False	bagno giapponese
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_privato	4	1.75	0.125	1	2	0.03125	0.07480240815883546	0.04064926659901285	False	bagno privato
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_pubblico	12	1.333333333333333	0.375	1	2	0.25	0.3514151844741178	0.2625323554653505	False	bagno pubblico
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_sauna	4	4.0	0.125	2	6	0.0	0.02339336327192118	0.0402774673881614	False	sauna
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_turco	13	2.615384615384615	0.40625	1	6	0.1875	0.3138554025777685	0.2513629567375135	False	bagno turco
BAGNO	10	10	HOUSING BUILDINGS	bathroom	3	BAGNO_zen	4	3.0	0.125	2	5	0.0	0.0372346648232155	0.04819704220986776	False	bagno zen
BALCONE	11	14	HOUSING BUILDINGS	balcony	2	BALCONE_a incasso	11	1.454545454545455	0.34375	1	4	0.25	0.3153326023147726	0.2821680276388946	False	balcone a incasso
BALCONE	11	14	HOUSING BUILDINGS	balcony	2	BALCONE_a veranda	4	3.0	0.125	3	3	0.0	0.02697688542483622	0.01253235546535047	False	balcone a veranda
BALCONE	11	14	HOUSING BUILDINGS	balcony	2	BALCONE_aggettante	11	1.909090909090909	0.34375	1	3	0.09375	0.282180278313558	0.1593855719912477	False	balcone aggettante
BALCONE	11	14	HOUSING BUILDINGS	balcony	2	BALCONE_coperto	4	2.0	0.125	1	3	0.03125	0.06702916012876603	0.05417288695252845	False	balcone coperto
BALCONE	11	14	HOUSING BUILDINGS	balcony	2	BALCONE_esterno	5	2.0	0.15625	1	4	0.0625	0.1032369621683378	0.0946680276388946	False	balcone esterno
BALCONE	11	14	HOUSING BUILDINGS	balcony	2	BALCONE_terrazzo	9	1.777777777777778	0.28125	1	5	0.15625	0.236470202177875	0.2121366703169897	False	terrazzo
BASILICO	12	11	PLANTS	basil	3	BASILICO_genovese	10	1.2	0.3125	1	2	0.25	0.2984053817724552	0.2562661777326752	False	basilico genovese
BASILICO	12	11	PLANTS	basil	3	BASILICO_greco	5	2.8	0.15625	1	5	0.03125	0.07175741410274582	0.07175741410274582	False	basilico greco
BASILICO	12	11	PLANTS	basil	3	BASILICO_limone	6	2.833333333333333	0.1875	1	4	0.03125	0.08892670991868167	0.06135997429117385	False	basilico limone
BASILICO	12	11	PLANTS	basil	3	BASILICO_verde	5	1.4	0.15625	1	3	0.125	0.1348948990430954	0.1281330888663376	False	basilico verde
BASILICO	12	11	PLANTS	basil	3	BASILICO_viola	8	2.625	0.25	2	5	0.0	0.155048367083855	0.1142081596355449	False	basilico viola
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_boccale	7	4.857142857142857	0.21875	1	7	0.03125	0.0711220753741102	0.0711220753741102	False	boccale
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_calice	13	2.230769230769231	0.40625	1	6	0.1875	0.3340002492354652	0.2796864152662353	False	calice
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_coppa	7	5.714285714285714	0.21875	4	9	0.0	0.04461665624818256	0.06419959527255757	False	coppa
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_da acqua	7	2.857142857142857	0.21875	1	7	0.09375	0.1440789576094836	0.1440789576094836	False	bicchiere da acqua
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_da champagne	6	4.0	0.1875	1	8	0.0625	0.0842984490367154	0.09627130536371686	False	bicchiere da champagne
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_da cocktail	7	3.714285714285714	0.21875	2	6	0.0	0.09435387616022184	0.0828657840986819	False	bicchiere da cocktail
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_da shot	4	7.5	0.125	5	10	0.0	0.002230957629389471	0.02713004023366646	False	bicchiere da shot
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_da vino	10	2.9	0.3125	1	7	0.125	0.2178925371556441	0.1951187556956745	False	bicchiere da vino
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_di carta	8	5.125	0.25	1	10	0.03125	0.1015526725157113	0.1165873373701494	False	bicchiere di carta
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_di cristallo	6	3.166666666666667	0.1875	1	4	0.03125	0.07974292941713432	0.05413770931143096	False	bicchiere di cristallo
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_di plastica	15	3.8	0.46875	1	11	0.0625	0.3199488500944858	0.283470590864066	False	bicchiere di plastica
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_di vetro	16	3.4375	0.5	1	12	0.15625	0.3738419520080867	0.3465027638560275	False	bicchiere di vetro
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_flute	14	2.857142857142857	0.4375	1	6	0.09375	0.3257954050802458	0.2292495185376789	False	flute
BICCHIERE	13	9	KITCHENWARE	glass	7	BICCHIERE_tumbler	4	3.5	0.125	2	6	0.0	0.02868207993368076	0.04776814285621119	False	tumbler
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_bmx	5	4.0	0.15625	2	6	0.0	0.03794342728704652	0.04813929717127879	False	bmx
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_da città	9	2.888888888888889	0.28125	1	7	0.03125	0.1789448298394657	0.158511134956221	False	bicicletta da città
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_da corsa	18	2.666666666666667	0.5625	1	6	0.1875	0.4591061590804168	0.3279625631035202	False	bicicletta da corsa
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_elettrica	16	2.3125	0.5	1	7	0.25	0.4231151438427167	0.3605583474936938	False	bicicletta elettrica
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_graziella	4	3.5	0.125	3	4	0.0	0.01975462044509334	0.01975462044509334	False	graziella
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_mountain bike	18	2.166666666666667	0.5625	1	5	0.1875	0.4856539935787166	0.3412877558079265	False	mountain bike
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_pieghevole	5	5.4	0.15625	4	7	0.0	0.01458914109688598	0.03111319522788168	False	bicicletta pieghevole
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_tandem	8	3.5	0.25	1	6	0.09375	0.1375582665020842	0.1207028818647513	False	tandem
BICICLETTA	14	4	VEHICLES	bicycle	6	BICICLETTA_triciclo	4	3.0	0.125	1	5	0.03125	0.05035606294706559	0.05753552388445807	False	triciclo
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_a cuore	7	3.428571428571428	0.21875	1	13	0.125	0.1497264882963937	0.1670171680851127	False	bocca a cuore
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_aperta	4	1.0	0.125	1	1	0.125	0.125	0.125	False	bocca aperta
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_carnosa	13	2.076923076923077	0.40625	1	7	0.15625	0.3422410792310262	0.3016978706639626	False	bocca carnosa
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_grande	9	2.0	0.28125	1	5	0.125	0.2228047293280923	0.1907815693600851	False	bocca grande
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_larga	9	3.555555555555556	0.28125	1	12	0.0625	0.1748180201902799	0.1924936047632956	False	bocca larga
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_piccola	10	2.5	0.3125	1	6	0.09375	0.2270728330519785	0.1888352004835114	False	bocca piccola
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_sottile	11	2.272727272727273	0.34375	1	6	0.09375	0.2672460022784243	0.2204285985445769	False	bocca sottile
BOCCA	15	5	BODY PARTS	mouth	5	BOCCA_stretta	4	3.75	0.125	2	6	0.0	0.02507094744380932	0.04317625260543752	False	bocca stretta
BRACCIO	16	11	BODY PARTS	arm	6	BRACCIO_corto	4	4.0	0.125	2	7	0.0	0.03080456333402625	0.05247641435966217	False	braccio corto
BRACCIO	16	11	BODY PARTS	arm	6	BRACCIO_lungo	4	3.25	0.125	1	6	0.0625	0.06463167252943364	0.0705961334321789	False	braccio lungo
BRACCIO	16	11	BODY PARTS	arm	6	BRACCIO_meccanico	12	1.5	0.375	1	4	0.28125	0.34386282248411	0.3056447796088251	False	braccio meccanico
BRACCIO	16	11	BODY PARTS	arm	6	BRACCIO_muscoloso	5	1.2	0.15625	1	2	0.125	0.1425845271502174	0.1281330888663376	False	braccio muscoloso
BRACCIO	16	11	BODY PARTS	arm	6	BRACCIO_robotico	4	2.25	0.125	1	3	0.03125	0.0592559120986966	0.04741107677577065	False	braccio robotico
BRACCIO	16	11	BODY PARTS	arm	6	BRACCIO_umano	8	1.75	0.25	1	2	0.0625	0.1974909064903621	0.0812985331980257	False	braccio umano
CACTUS	17	13	PLANTS	cactus	12	CACTUS_del deserto	4	2.5	0.125	1	4	0.03125	0.05564477960882516	0.05564477960882516	False	cactus del deserto
CACTUS	17	13	PLANTS	cactus	12	CACTUS_fico d'india	13	1.846153846153846	0.40625	1	4	0.25	0.3535675964574457	0.2842720898313718	False	fico d' india
CALZA	18	12	CLOTHES	sock	11	CALZA_a rete	13	1.846153846153846	0.40625	1	4	0.25	0.3535675964574457	0.2842720898313718	False	calza a rete
CALZA	18	12	CLOTHES	sock	11	CALZA_autoreggente	5	5.0	0.15625	2	8	0.0	0.02860676024874217	0.05173361526865317	False	calza autoreggente
CALZA	18	12	CLOTHES	sock	11	CALZA_calzino	9	1.666666666666667	0.28125	1	3	0.15625	0.2383025897236211	0.1823059758188661	False	calzino
CALZA	18	12	CLOTHES	sock	11	CALZA_collant	12	3.333333333333333	0.375	1	6	0.03125	0.2404650975904933	0.1565768394322025	False	collant
CALZA	18	12	CLOTHES	sock	11	CALZA_corta	4	2.25	0.125	1	3	0.03125	0.0592559120986966	0.04741107677577065	False	calza corta
CALZA	18	12	CLOTHES	sock	11	CALZA_della befana	5	3.2	0.15625	2	4	0.0	0.04851014097221435	0.03427208983137183	False	calza della befana
CALZA	18	12	CLOTHES	sock	11	CALZA_di lana	7	4.714285714285714	0.21875	2	11	0.0	0.08682214689930404	0.1151049568493294	False	calza di lana
CALZA	18	12	CLOTHES	sock	11	CALZA_fantasmino	13	2.461538461538462	0.40625	1	4	0.09375	0.3135999897359074	0.181451808212754	False	fantasmino
CALZA	18	12	CLOTHES	sock	11	CALZA_lunga	8	2.0	0.25	1	5	0.125	0.1945906039337377	0.1731970422098678	False	calza lunga
CALZA	18	12	CLOTHES	sock	11	CALZA_maglia	6	2.5	0.1875	1	6	0.03125	0.1132935445547034	0.1132935445547034	False	calzamaglia
CALZA	18	12	CLOTHES	sock	11	CALZA_parigine	4	4.25	0.125	3	5	0.0	0.01278831961144564	0.02172898464367373	False	calza parigine
CAMERA	19	1	HOUSING BUILDINGS	bedroom	4	CAMERA_bagno	10	3.0	0.3125	1	5	0.03125	0.1949124904184046	0.1202675550749602	False	bagno
CAMERA	19	1	HOUSING BUILDINGS	bedroom	4	CAMERA_cucina	11	3.181818181818182	0.34375	1	6	0.03125	0.2196656897869374	0.1542957985037879	False	cucina
CAMERA	19	1	HOUSING BUILDINGS	bedroom	4	CAMERA_d'albergo	7	7.0	0.21875	4	10	0.0	0.02780216181909581	0.05260036921858204	False	camera d' albergo
CAMERA	19	1	HOUSING BUILDINGS	bedroom	4	CAMERA_da letto	27	1.666666666666667	0.84375	1	6	0.625	0.8005565898327418	0.7053206311272612	False	camera da letto
