category	concept_eng	concept	concept_exemplar	exemplar	length	freq_ass	freq_rel	outlier
HOBBIES	book	LIBRO	LIBRO_fantasy	libro fantasy	2	611	0.04	no
HOBBIES	book	LIBRO	LIBRO_fumetto	fumetto	1	35916	2.47	no
HOBBIES	book	LIBRO	LIBRO_fumetto	libro fumetto	2	19	0	no
HOBBIES	book	LIBRO	LIBRO_giallo	libro giallo	2	1163	0.08	no
HOBBIES	book	LIBRO	LIBRO_manuale	libro manuale	2	30	0	no
HOBBIES	book	LIBRO	LIBRO_romantico	libro romantico	2	111	0.01	no
HOBBIES	book	LIBRO	LIBRO_romanzo	romanzo	1	39962	2.75	no
HOBBIES	book	LIBRO	LIBRO_romanzo	libro romanzo	2	25	0	no
HOBBIES	book	LIBRO	LIBRO_saggio	saggio	1	21303	1.47	no
HOBBIES	book	LIBRO	LIBRO_saggio	libro saggio	2	28	0	no
HOBBIES	book	LIBRO	LIBRO_storico	libro storico	2	693	0.05	no
HOBBIES	book	LIBRO	LIBRO_tascabile	libro tascabile	2	372	0.03	no
HOBBIES	book	LIBRO	LIBRO_thriller	thriller	1	26387	1.82	no
HOBBIES	book	LIBRO	LIBRO_thriller	libro thriller	2	42	0	no
HOBBIES	book	LIBRO	LIBRO_universitario	libro universitario	2	173	0.01	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_animale	orecchio animale	2	3	0	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_assoluto	orecchio assoluto	2	807	0.06	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_destro	orecchio destro	2	2805	0.19	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_grande	orecchio grande	2	22	0	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_ovale	orecchio ovale	2	2	0	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_piccolo	orecchio piccolo	2	15	0	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_sinistro	orecchio sinistro	2	2623	0.18	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_triangolare	orecchio triangolare	2	0	0	no
BODY PARTS	ear	ORECCHIO	ORECCHIO_umano	orecchio umano	2	3103	0.21	no
HOUSING BUILDINGS	floor	PAVIMENTO	PAVIMENTO_moquette	moquette	1	22877	1.58	no
HOUSING BUILDINGS	floor	PAVIMENTO	PAVIMENTO_moquette	pavimento moquette	2	14	0	no
HOUSING BUILDINGS	floor	PAVIMENTO	PAVIMENTO_parquet	parquet	1	44517	3.07	no
HOUSING BUILDINGS	floor	PAVIMENTO	PAVIMENTO_parquet	pavimento parquet	2	107	0.01	no
HOUSING BUILDINGS	floor	PAVIMENTO	PAVIMENTO_riscaldato	pavimento riscaldato	2	321	0.02	no
HOUSING BUILDINGS	stay	SOGGIORNO	SOGGIORNO_estivo	soggiorno estivo	2	2127	0.15	no
HOUSING BUILDINGS	stay	SOGGIORNO	SOGGIORNO_grande	soggiorno grande	2	518	0.04	no
HOUSING BUILDINGS	stay	SOGGIORNO	SOGGIORNO_luminoso	soggiorno luminoso	2	828	0.06	no
HOUSING BUILDINGS	stay	SOGGIORNO	SOGGIORNO_piccolo	soggiorno piccolo	2	93	0.01	no
HOUSING BUILDINGS	stay	SOGGIORNO	SOGGIORNO_salotto	soggiorno salotto	2	119	0.01	no
HOUSING BUILDINGS	stay	SOGGIORNO	SOGGIORNO_vacanza	vacanza	1	38619	2.66	no
HOUSING BUILDINGS	stay	SOGGIORNO	SOGGIORNO_vacanza	soggiorno vacanza	2	196	0.01	no
BODY PARTS	shoulder	SPALLA	SPALLA_animale	spalla animale	2	1	0	no
BODY PARTS	shoulder	SPALLA	SPALLA_destra	spalla destra	2	7197	0.5	no
BODY PARTS	shoulder	SPALLA	SPALLA_larga	spalla larga	2	263	0.02	no
BODY PARTS	shoulder	SPALLA	SPALLA_muscolosa	spalla muscolosa	2	24	0	no
BODY PARTS	shoulder	SPALLA	SPALLA_sinistra	sinistra	1	34353	2.37	yes
BODY PARTS	shoulder	SPALLA	SPALLA_sinistra	spalla sinistra	2	6605	0.46	no
BODY PARTS	shoulder	SPALLA	SPALLA_umana	spalla umana	2	17	0	no
STATIONERY	stapler	SPILLATRICE	SPILLATRICE_classica	spillatrice classica	2	0	0	no
STATIONERY	stapler	SPILLATRICE	SPILLATRICE_grande	spillatrice grande	2	3	0	no
STATIONERY	stapler	SPILLATRICE	SPILLATRICE_manuale	spillatrice manuale	2	6	0	no
STATIONERY	stapler	SPILLATRICE	SPILLATRICE_piccola	spillatrice piccola	2	0	0	no
STATIONERY	stapler	SPILLATRICE	SPILLATRICE_tascabile	spillatrice tascabile	2	0	0	no
STATIONERY	notebook	TACCUINO	TACCUINO_agenda	agenda	1	40107	2.76	no
STATIONERY	notebook	TACCUINO	TACCUINO_agenda	taccuino agenda	2	1	0	no
STATIONERY	notebook	TACCUINO	TACCUINO_grande	taccuino grande	2	0	0	no
STATIONERY	notebook	TACCUINO	TACCUINO_piccolo	taccuino piccolo	2	5	0	no
STATIONERY	notebook	TACCUINO	TACCUINO_quaderno	quaderno	1	42815	2.95	no
STATIONERY	notebook	TACCUINO	TACCUINO_quaderno	taccuino quaderno	2	0	0	no
STATIONERY	notebook	TACCUINO	TACCUINO_tascabile	taccuino tascabile	2	40	0	no
BODY PARTS	head	TESTA	TESTA_calda	testa calda	2	2507	0.17	no
BODY PARTS	head	TESTA	TESTA_dura	testa dura	2	2611	0.18	no
BODY PARTS	head	TESTA	TESTA_grande	testa grande	2	830	0.06	no
BODY PARTS	head	TESTA	TESTA_ovale	testa ovale	2	146	0.01	no
BODY PARTS	head	TESTA	TESTA_pelata	testa pelata	2	602	0.04	no
BODY PARTS	head	TESTA	TESTA_piccola	testa piccola	2	983	0.07	no
BODY PARTS	head	TESTA	TESTA_quadrata	testa quadrata	2	241	0.02	no
BODY PARTS	head	TESTA	TESTA_rotonda	testa rotonda	2	499	0.03	no
STATIONERY	case	ASTUCCIO	ASTUCCIO_portaocchiali	portaocchiali	1	581	0.04	no
STATIONERY	case	ASTUCCIO	ASTUCCIO_portaocchiali	astuccio portaocchiali	2	4	0	no
STATIONERY	case	ASTUCCIO	ASTUCCIO_portapenne	portapenne	1	2913	0.2	no
STATIONERY	case	ASTUCCIO	ASTUCCIO_portapenne	astuccio portapenne	2	45	0	no
STATIONERY	case	ASTUCCIO	ASTUCCIO_rigido	astuccio rigido	2	228	0.02	no
STATIONERY	case	ASTUCCIO	ASTUCCIO_trousse	trousse	1	3166	0.22	no
STATIONERY	case	ASTUCCIO	ASTUCCIO_trousse	astuccio trousse	2	0	0	no
HOUSING BUILDINGS	balcony	BALCONE	BALCONE_aggettante	balcone aggettante	2	193	0.01	no
HOUSING BUILDINGS	balcony	BALCONE	BALCONE_coperto	balcone coperto	2	857	0.06	no
HOUSING BUILDINGS	balcony	BALCONE	BALCONE_esterno	balcone esterno	2	715	0.05	no
HOUSING BUILDINGS	balcony	BALCONE	BALCONE_terrazzo	terrazzo	1	34319	2.36	no
HOUSING BUILDINGS	balcony	BALCONE	BALCONE_terrazzo	balcone terrazzo	2	388	0.03	no
BODY PARTS	hair	CAPELLO	CAPELLO_berretto	berretto	1	22640	1.56	yes
BODY PARTS	hair	CAPELLO	CAPELLO_berretto	capello berretto	2	0	0	yes
BODY PARTS	hair	CAPELLO	CAPELLO_bianco	capello bianco	2	1505	0.1	no
BODY PARTS	hair	CAPELLO	CAPELLO_biondo	capello biondo	2	313	0.02	no
BODY PARTS	hair	CAPELLO	CAPELLO_bombetta	bombetta	1	3580	0.25	yes
BODY PARTS	hair	CAPELLO	CAPELLO_bombetta	capello bombetta	2	0	0	yes
BODY PARTS	hair	CAPELLO	CAPELLO_castano	capello castano	2	66	0	no
BODY PARTS	hair	CAPELLO	CAPELLO_corto	capello corto	2	446	0.03	no
BODY PARTS	hair	CAPELLO	CAPELLO_grasso	capello grasso	2	93	0.01	no
BODY PARTS	hair	CAPELLO	CAPELLO_liscio	capello liscio	2	265	0.02	no
BODY PARTS	hair	CAPELLO	CAPELLO_lungo	capello lungo	2	667	0.05	no
BODY PARTS	hair	CAPELLO	CAPELLO_moro	capello moro	2	5	0	no
BODY PARTS	hair	CAPELLO	CAPELLO_mosso	capello mosso	2	163	0.01	no
BODY PARTS	hair	CAPELLO	CAPELLO_nero	capello nero	2	136	0.01	no
BODY PARTS	hair	CAPELLO	CAPELLO_riccio	capello riccio	2	246	0.02	no
BODY PARTS	hair	CAPELLO	CAPELLO_rosso	capello rosso	2	105	0.01	no
BODY PARTS	hair	CAPELLO	CAPELLO_secco	capello secco	2	125	0.01	no
BODY PARTS	hair	CAPELLO	CAPELLO_sottile	capello sottile	2	68	0	no
BODY PARTS	hair	CAPELLO	CAPELLO_spesso	capello spesso	2	22	0	no
BODY PARTS	hair	CAPELLO	CAPELLO_tinto	capello tinto	2	41	0	no
FOODS	meat	CARNE	CARNE_bianca	carne bianca	2	6954	0.48	no
FOODS	meat	CARNE	CARNE_bistecca	bistecca	1	21114	1.45	no
FOODS	meat	CARNE	CARNE_bistecca	carne bistecca	2	0	0	no
FOODS	meat	CARNE	CARNE_bovina	carne bovina	2	7408	0.51	no
FOODS	meat	CARNE	CARNE_macinata	carne macinata	2	5771	0.4	no
FOODS	meat	CARNE	CARNE_ovina	ovina	1	3328	0.23	yes
FOODS	meat	CARNE	CARNE_ovina	carne ovina	2	775	0.05	no
FOODS	meat	CARNE	CARNE_prosciutto	prosciutto	1	32329	2.23	no
FOODS	meat	CARNE	CARNE_prosciutto	carne prosciutto	2	8	0	no
FOODS	meat	CARNE	CARNE_rossa	carne rossa	2	12729	0.88	no
FURNISHINGS/FITTINGS	centerpiece	CENTROTAVOLA	CENTROTAVOLA_centrino	centrino	1	2569	0.18	no
FURNISHINGS/FITTINGS	centerpiece	CENTROTAVOLA	CENTROTAVOLA_centrino	centrotavola centrino	2	0	0	no
HOBBIES	guitar	CHITARRA	CHITARRA_acustica	chitarra acustica	2	17258	1.19	no
HOBBIES	guitar	CHITARRA	CHITARRA_classica	chitarra classica	2	10086	0.69	no
HOBBIES	guitar	CHITARRA	CHITARRA_elettrica	chitarra elettrica	2	20094	1.38	no
HOBBIES	guitar	CHITARRA	CHITARRA_folk	folk	1	37806	2.6	yes
HOBBIES	guitar	CHITARRA	CHITARRA_folk	chitarra folk	2	347	0.02	no
HOBBIES	guitar	CHITARRA	CHITARRA_multicorde	chitarra multicorde	2	3	0	no
HOBBIES	guitar	CHITARRA	CHITARRA_ukulele	ukulele	1	4686	0.32	no
HOBBIES	guitar	CHITARRA	CHITARRA_ukulele	chitarra ukulele	2	9	0	no
PLANTS	cyclamen	CICLAMINO	CICLAMINO_bianco	ciclamino bianco	2	11	0	no
PLANTS	cyclamen	CICLAMINO	CICLAMINO_rosa	ciclamino rosa	2	23	0	no
PLANTS	cyclamen	CICLAMINO	CICLAMINO_rosso	ciclamino rosso	2	8	0	no
PLANTS	cyclamen	CICLAMINO	CICLAMINO_viola	ciclamino viola	2	8	0	no
HOBBIES	computer	COMPUTER	COMPUTER_fisso	computer fisso	2	1745	0.12	no
HOBBIES	computer	COMPUTER	COMPUTER_mini	mini	1	32142	2.21	yes
HOBBIES	computer	COMPUTER	COMPUTER_mini	computer mini	2	7	0	no
HOBBIES	computer	COMPUTER	COMPUTER_pc	computer pc	1	75	0.01	no
HOBBIES	computer	COMPUTER	COMPUTER_pc	computer pc	2	75	0.01	no
HOBBIES	computer	COMPUTER	COMPUTER_portatile	computer portatile	2	31272	2.15	no
BODY PARTS	leg	GAMBA	GAMBA_corta	gamba corta	2	342	0.02	no
BODY PARTS	leg	GAMBA	GAMBA_destra	gamba destra	2	13327	0.92	no
BODY PARTS	leg	GAMBA	GAMBA_lunga	gamba lunga	2	374	0.03	no
BODY PARTS	leg	GAMBA	GAMBA_sinistra	sinistra	1	1768158	121.82	yes
BODY PARTS	leg	GAMBA	GAMBA_sinistra	gamba sinistra	2	11540	0.8	no
BODY PARTS	leg	GAMBA	GAMBA_umana	gamba umana	2	67	0	no
FURNISHINGS/FITTINGS	lamp	LAMPADA	LAMPADA_alogena	lampada alogena	2	1048	0.07	no
FURNISHINGS/FITTINGS	lamp	LAMPADA	LAMPADA_fluorescente	lampada fluorescente	2	454	0.03	no
FURNISHINGS/FITTINGS	lamp	LAMPADA	LAMPADA_rio	rio	1	29285	2.02	yes
FURNISHINGS/FITTINGS	lamp	LAMPADA	LAMPADA_rio	lampadario	2	15629	1.08	no
CLOTHES	trouser	PANTALONE	PANTALONE_bermuda	bermuda	1	5907	0.41	no
CLOTHES	trouser	PANTALONE	PANTALONE_bermuda	pantalone bermuda	2	11	0	no
CLOTHES	trouser	PANTALONE	PANTALONE_cargo	pantalone cargo	2	44	0	no
CLOTHES	trouser	PANTALONE	PANTALONE_corto	pantalone corto	2	247	0.02	no
CLOTHES	trouser	PANTALONE	PANTALONE_elegante	pantalone elegante	2	154	0.01	no
CLOTHES	trouser	PANTALONE	PANTALONE_jeans	jeans	1	23688	1.63	no
CLOTHES	trouser	PANTALONE	PANTALONE_jeans	pantalone jeans	2	82	0.01	no
CLOTHES	trouser	PANTALONE	PANTALONE_leggings	leggings	1	7946	0.55	no
CLOTHES	trouser	PANTALONE	PANTALONE_leggings	pantalone leggings	2	2	0	no
CLOTHES	trouser	PANTALONE	PANTALONE_lungo	pantalone lungo	2	613	0.04	no
CLOTHES	trouser	PANTALONE	PANTALONE_pantaloncino	pantaloncini	1	22564	1.55	no
CLOTHES	trouser	PANTALONE	PANTALONE_pantaloncino	pantalone pantaloncino	1	0	0	no
CLOTHES	trouser	PANTALONE	PANTALONE_pantaloncino	pantalone pantaloncino	2	0	0	no
CLOTHES	trouser	PANTALONE	PANTALONE_pinocchietto	pinocchietto	1	692	0.05	no
CLOTHES	trouser	PANTALONE	PANTALONE_pinocchietto	pantalone pinocchietto	2	8	0	no
CLOTHES	trouser	PANTALONE	PANTALONE_shorts	shorts	1	8304	0.57	no
CLOTHES	trouser	PANTALONE	PANTALONE_shorts	pantalone shorts	2	1	0	no
CLOTHES	trouser	PANTALONE	PANTALONE_skinny	skinny	1	5853	0.4	no
CLOTHES	trouser	PANTALONE	PANTALONE_skinny	pantalone skinny	2	109	0.01	no
CLOTHES	shoe	SCARPA	SCARPA_alta	scarpa alta	2	169	0.01	no
CLOTHES	shoe	SCARPA	SCARPA_ballerine	ballerine	1	30972	2.13	no
CLOTHES	shoe	SCARPA	SCARPA_ballerine	scarpa ballerine	2	3	0	no
CLOTHES	shoe	SCARPA	SCARPA_bassa	scarpa bassa	2	369	0.03	no
CLOTHES	shoe	SCARPA	SCARPA_ciabatta	ciabatta	1	7158	0.49	no
CLOTHES	shoe	SCARPA	SCARPA_ciabatta	scarpa ciabatta	2	1	0	no
CLOTHES	shoe	SCARPA	SCARPA_elegante	scarpa elegante	2	183	0.01	no
CLOTHES	shoe	SCARPA	SCARPA_espadrillas	espadrillas	1	2017	0.14	no
CLOTHES	shoe	SCARPA	SCARPA_espadrillas	scarpa espadrillas	2	1	0	no
CLOTHES	shoe	SCARPA	SCARPA_infradito	infradito	1	13416	0.92	no
CLOTHES	shoe	SCARPA	SCARPA_infradito	scarpa infradito	2	0	0	no
CLOTHES	shoe	SCARPA	SCARPA_mocassino	mocassino	1	2349	0.16	no
CLOTHES	shoe	SCARPA	SCARPA_mocassino	scarpa mocassino	2	7	0	no
CLOTHES	shoe	SCARPA	SCARPA_pantofole	pantofole	1	12791	0.88	no
CLOTHES	shoe	SCARPA	SCARPA_pantofole	scarpa pantofole	2	0	0	no
CLOTHES	shoe	SCARPA	SCARPA_sandali	sandali	1	34472	2.37	no
CLOTHES	shoe	SCARPA	SCARPA_sandali	scarpa sandali	2	1	0	no
CLOTHES	shoe	SCARPA	SCARPA_scarponi	scarponi	1	28194	1.94	no
CLOTHES	shoe	SCARPA	SCARPA_scarponi	scarpa scarponi	2	0	0	no
CLOTHES	shoe	SCARPA	SCARPA_sneakers	sneakers	1	20780	1.43	no
CLOTHES	shoe	SCARPA	SCARPA_sneakers	scarpa sneakers	2	7	0	no
CLOTHES	shoe	SCARPA	SCARPA_stivaletti	stivaletti	1	11260	0.78	no
CLOTHES	shoe	SCARPA	SCARPA_stivaletti	scarpa stivaletti	2	0	0	no
CLOTHES	shoe	SCARPA	SCARPA_stivali	stivali	1	44096	3.04	no
CLOTHES	shoe	SCARPA	SCARPA_stivali	scarpa stivali	2	3	0	no
CLOTHES	shoe	SCARPA	SCARPA_stringata	scarpa stringata	2	97	0.01	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_3d	televisione 3d	1	4	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_3d	televisione 3d	2	4	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_4k	televisione 4k	1	2	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_4k	televisione 4k	2	2	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_analogica	televisione analogica	2	552	0.04	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_digitale	televisione digitale	2	2791	0.19	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_hd	televisione hd	1	1	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_hd	televisione hd	2	1	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_lcd	lcd	1	10240	0.71	yes
HOBBIES	television	TELEVISIONE	TELEVISIONE_lcd	televisione lcd	2	55	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_led	led	1	35404	2.44	yes
HOBBIES	television	TELEVISIONE	TELEVISIONE_led	televisione led	2	11	0	no
HOBBIES	television	TELEVISIONE	TELEVISIONE_oled	oled	1	1185	0.08	yes
HOBBIES	television	TELEVISIONE	TELEVISIONE_oled	televisione oled	2	0	0	no
ANIMALS	tiger	TIGRE	TIGRE_bianca	tigre bianca	2	554	0.04	no
ANIMALS	tiger	TIGRE	TIGRE_cinese	tigre cinese	2	41	0	no
ANIMALS	tiger	TIGRE	TIGRE_siberiana	tigre siberiana	2	444	0.03	no
STATIONERY	diary	AGENDA	AGENDA_annuale	agenda annuale	2	66	0	no
STATIONERY	diary	AGENDA	AGENDA_diario	diario	1	159328	10.98	no
STATIONERY	diary	AGENDA	AGENDA_diario	agenda diario	2	11	0	no
STATIONERY	diary	AGENDA	AGENDA_digitale	agenda digitale	2	3445	0.24	no
STATIONERY	diary	AGENDA	AGENDA_giornaliera	agenda giornaliera	2	272	0.02	no
STATIONERY	diary	AGENDA	AGENDA_mensile	agenda mensile	2	39	0	no
STATIONERY	diary	AGENDA	AGENDA_settimanale	agenda settimanale	2	403	0.03	no
STATIONERY	diary	AGENDA	AGENDA_tascabile	agenda tascabile	2	61	0	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_chimico	bagno chimico	2	708	0.05	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_giapponese	bagno giapponese	2	154	0.01	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_privato	bagno privato	2	54613	3.76	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_pubblico	bagno pubblico	2	2702	0.19	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_sauna	sauna	1	47094	3.24	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_sauna	bagno sauna	2	15	0	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_turco	bagno turco	2	28554	1.97	no
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_zen	zen	1	21875	1.51	yes
HOUSING BUILDINGS	bathroom	BAGNO	BAGNO_zen	bagno zen	2	16	0	no
PLANTS	basil	BASILICO	BASILICO_genovese	basilico genovese	2	413	0.03	no
PLANTS	basil	BASILICO	BASILICO_greco	basilico greco	2	118	0.01	no
PLANTS	basil	BASILICO	BASILICO_limone	limone	1	46099	3.18	yes
PLANTS	basil	BASILICO	BASILICO_limone	basilico limone	2	31	0	no
PLANTS	basil	BASILICO	BASILICO_verde	basilico verde	2	49	0	no
PLANTS	basil	BASILICO	BASILICO_viola	basilico viola	2	74	0.01	no
CLOTHES	hat	CAPPELLO	CAPPELLO_basco	cappello basco	2	13	0	no
CLOTHES	hat	CAPPELLO	CAPPELLO_beanie	beanie	1	424	0.03	no
CLOTHES	hat	CAPPELLO	CAPPELLO_beanie	cappello beanie	2	5	0	no
CLOTHES	hat	CAPPELLO	CAPPELLO_berretto	berretto	1	22640	1.56	no
CLOTHES	hat	CAPPELLO	CAPPELLO_berretto	cappello berretto	2	9	0	no
CLOTHES	hat	CAPPELLO	CAPPELLO_bombetta	bombetta	1	3580	0.25	no
CLOTHES	hat	CAPPELLO	CAPPELLO_bombetta	cappello bombetta	2	5	0	no
CLOTHES	hat	CAPPELLO	CAPPELLO_borsalino	cappello borsalino	2	30	0	no
CLOTHES	hat	CAPPELLO	CAPPELLO_colbacco	colbacco	1	1487	0.1	no
