participant,concept,exemplar,rank_order,normed_rank_order,abs_freq
gpt3.5_iter2,agenda,cartacea,6,0.875,25127.0
gpt3.5_iter2,agenda,tascabile,7,0.85,16528.0
gpt3.5_iter2,agenda,da scrivania,8,0.825,65.0
gpt3.5_iter2,agenda,con copertina rigida,9,0.8,57.0
gpt3.5_iter2,agenda,con copertina morbida,10,0.775,26.0
gpt3.5_iter2,agenda,con elastico,11,0.75,54.0
gpt3.5_iter2,agenda,con anelli,12,0.725,40.0
gpt3.5_iter2,agenda,con chiusura a zip,13,0.7,36.0
gpt3.5_iter2,agenda,con tasche interne,14,0.675,27.0
gpt3.5_iter2,agenda,con segnalibri,15,0.65,21.0
gpt3.5_iter2,agenda,con pagine colorate,16,0.625,16.0
gpt3.5_iter2,agenda,con pagine a righe,17,0.6,18.0
gpt3.5_iter2,agenda,con pagine a quadretti,18,0.575,12.0
gpt3.5_iter2,agenda,con pagine bianche,19,0.55,21.0
gpt3.5_iter2,agenda,con calendario integrato,20,0.525,3.0
gpt3.5_iter2,agenda,con sezioni per note,21,0.5,0.0
gpt3.5_iter2,agenda,con sezioni per contatti,22,0.475,0.0
gpt3.5_iter2,agenda,con sezioni per obiettivi,23,0.4499999999999999,0.0
gpt3.5_iter2,agenda,con sezioni per appuntamenti,24,0.425,0.0
gpt3.5_iter2,agenda,con sezioni per liste,25,0.4,0.0
gpt3.5_iter2,agenda,con sezioni per progetti,26,0.375,1.0
gpt3.5_iter2,agenda,con sezioni per budget,27,0.35,0.0
gpt3.5_iter2,agenda,con sezioni per password,28,0.3249999999999999,0.0
gpt3.5_iter2,agenda,con sezioni per viaggi,29,0.3,0.0
gpt3.5_iter2,agenda,con sezioni per ricette,30,0.275,0.0
gpt3.5_iter2,agenda,con sezioni per fitness,31,0.25,0.0
gpt3.5_iter2,agenda,con sezioni per meditazione,32,0.2249999999999999,0.0
gpt3.5_iter2,agenda,con sezioni per libri da leggere,33,0.1999999999999999,0.0
gpt3.5_iter2,agenda,con sezioni per film da vedere,34,0.175,0.0
gpt3.5_iter2,agenda,con sezioni per obiettivi di vita,35,0.15,0.0
gpt3.5_iter2,agenda,con sezioni per gratitudine,36,0.125,0.0
gpt3.5_iter2,agenda,con sezioni per abitudini,37,0.0999999999999999,0.0
gpt3.5_iter2,agenda,con sezioni per obiettivi finanziari,38,0.0749999999999999,0.0
gpt3.5_iter2,agenda,con sezioni per obiettivi di carriera,39,0.05,0.0
gpt3.5_iter2,agenda,con,40,0.025,22572.0
gpt3.5_iter3,appendiabiti,a muro,1,1.0,584.0
gpt3.5_iter3,appendiabiti,a terra,2,0.9545454545454546,88.0
gpt3.5_iter3,appendiabiti,da porta,3,0.9090909090909092,299.0
gpt3.5_iter3,appendiabiti,da parete,4,0.8636363636363636,435.0
gpt3.5_iter3,appendiabiti,girevole,5,0.8181818181818181,11043.0
gpt3.5_iter3,appendiabiti,con ruote,6,0.7727272727272727,131.0
gpt3.5_iter3,appendiabiti,a scomparsa,7,0.7272727272727273,164.0
gpt3.5_iter3,appendiabiti,a ventaglio,8,0.6818181818181819,85.0
gpt3.5_iter3,appendiabiti,a spirale,9,0.6363636363636364,253.0
gpt3.5_iter3,appendiabiti,a forma di albero,10,0.5909090909090908,24.0
gpt3.5_iter3,appendiabiti,a forma di animale,11,0.5454545454545454,28.0
gpt3.5_iter3,appendiabiti,a forma di persona,12,0.5,20.0
gpt3.5_iter3,appendiabiti,con ripiani,13,0.4545454545454546,29.0
gpt3.5_iter3,appendiabiti,con ganci multipli,14,0.409090909090909,2.0
gpt3.5_iter3,appendiabiti,con appendi-scarpe,15,0.3636363636363636,0.0
gpt3.5_iter3,appendiabiti,con specchio,16,0.3181818181818182,55.0
gpt3.5_iter3,appendiabiti,con luce integrata,17,0.2727272727272727,29.0
gpt3.5_iter3,appendiabiti,con portabiti aggiuntivi,18,0.2272727272727273,0.0
gpt3.5_iter3,appendiabiti,con ruotino per borse,19,0.1818181818181817,0.0
gpt3.5_iter3,appendiabiti,con portachiavi integrato,20,0.1363636363636363,2.0
gpt3.5_iter3,appendiabiti,con ripiano per accessori,21,0.0909090909090909,2.0
gpt3.5_iter3,appendiabiti,con appendi-cinture,22,0.0454545454545454,0.0
gpt3.5_iter4,armadio,armadio a due ante,1,1.0,27.0
gpt3.5_iter4,armadio,armadio a tre ante,2,0.9,22.0
gpt3.5_iter4,armadio,armadio a specchio,3,0.8,25.0
gpt3.5_iter4,armadio,armadio a muro,4,0.7,48.0
gpt3.5_iter4,armadio,armadio a ponte,5,0.6,24.0
gpt3.5_iter4,armadio,armadio ad angolo,6,0.5,26.0
gpt3.5_iter4,armadio,armadio a cassetti,7,0.4,24.0
gpt3.5_iter4,armadio,armadio a scaffale,8,0.3,9.0
gpt3.5_iter4,armadio,armadio a scomparsa,9,0.1999999999999999,21.0
gpt3.5_iter4,armadio,armadio guardaroba,10,0.0999999999999999,167.0
gpt3.5_iter5,astuccio,astuccio per penne,1,1.0,22.0
gpt3.5_iter5,astuccio,astuccio per matite,2,0.9090909090909092,29.0
gpt3.5_iter5,astuccio,astuccio per trucchi,3,0.8181818181818181,3.0
gpt3.5_iter5,astuccio,astuccio per occhiali,4,0.7272727272727273,23.0
gpt3.5_iter5,astuccio,astuccio per gioielli,5,0.6363636363636364,21.0
gpt3.5_iter5,astuccio,astuccio per strumenti musicali,6,0.5454545454545454,0.0
gpt3.5_iter5,astuccio,astuccio per telefoni cellulari,7,0.4545454545454546,0.0
gpt3.5_iter5,astuccio,astuccio per chiavi,8,0.3636363636363636,1.0
gpt3.5_iter5,astuccio,astuccio per carte di credito,9,0.2727272727272727,1.0
gpt3.5_iter5,astuccio,astuccio per sigarette,10,0.1818181818181817,5.0
gpt3.5_iter5,astuccio,astuccio per cuffie,11,0.0909090909090909,0.0
gpt3.5_iter6,attrezzo,martello,1,1.0,35294.0
gpt3.5_iter6,attrezzo,cacciavite,2,0.9375,18238.0
gpt3.5_iter6,attrezzo,trapano,3,0.875,17985.0
gpt3.5_iter6,attrezzo,sega,4,0.8125,40972.0
gpt3.5_iter6,attrezzo,pinze,5,0.75,23953.0
gpt3.5_iter6,attrezzo,chiave inglese,6,0.6875,50.0
gpt3.5_iter6,attrezzo,scalpello,7,0.625,26602.0
gpt3.5_iter6,attrezzo,tenaglia,8,0.5625,13689.0
gpt3.5_iter6,attrezzo,martellina,9,0.5,850.0
gpt3.5_iter6,attrezzo,cacciavite a croce,10,0.4375,20.0
gpt3.5_iter6,attrezzo,sega circolare,11,0.375,127.0
gpt3.5_iter6,attrezzo,tronchesino,12,0.3125,616.0
gpt3.5_iter6,attrezzo,mazzetta,13,0.25,16528.0
gpt3.5_iter6,attrezzo,lima,14,0.1875,34882.0
gpt3.5_iter6,attrezzo,cesoia,15,0.125,9726.0
gpt3.5_iter6,attrezzo,seghetto da traforo,16,0.0625,33.0
gpt3.5_iter7,autobus,urbano,1,1.0,23994.0
gpt3.5_iter7,autobus,interurbano,2,0.95,5878.0
gpt3.5_iter7,autobus,turistico,3,0.9,14921.0
gpt3.5_iter7,autobus,scolastico,4,0.85,16533.0
gpt3.5_iter7,autobus,navetta aeroportuale,5,0.8,314.0
gpt3.5_iter7,autobus,autobus a due piani,6,0.75,68.0
gpt3.5_iter7,autobus,autobus ibrido,7,0.7,56.0
gpt3.5_iter7,autobus,autobus elettrico,8,0.65,70.0
gpt3.5_iter7,autobus,autobus a metano,9,0.6,27.0
gpt3.5_iter7,autobus,autobus a idrogeno,10,0.55,32.0
gpt3.5_iter7,autobus,autobus a gasolio,11,0.5,36.0
gpt3.5_iter7,autobus,autobus a gas naturale compresso (gnc),12,0.4499999999999999,0.0
gpt3.5_iter7,autobus,autobus a gas naturale liquefatto (gnl),13,0.4,0.0
gpt3.5_iter7,autobus,autobus articolato,14,0.35,150.0
gpt3.5_iter7,autobus,autobus minibus,15,0.3,12.0
gpt3.5_iter7,autobus,autobus open-top,16,0.25,8.0
gpt3.5_iter7,autobus,autobus a pedali (per bambini),17,0.1999999999999999,0.0
gpt3.5_iter7,autobus,autobus storico,18,0.15,28.0
gpt3.5_iter7,autobus,autobus anfibio,19,0.0999999999999999,28.0
gpt3.5_iter7,autobus,autobus a guida autonoma,20,0.05,19.0
gpt3.5_iter8,automobile,berlina,1,1.0,38856.0
gpt3.5_iter8,automobile,suv,2,0.9230769230769232,38682.0
gpt3.5_iter8,automobile,coupé,3,0.8461538461538461,42702.0
gpt3.5_iter8,automobile,cabriolet,4,0.7692307692307692,19356.0
gpt3.5_iter8,automobile,monovolume,5,0.6923076923076923,11428.0
gpt3.5_iter8,automobile,station wagon,6,0.6153846153846154,7302.0
gpt3.5_iter8,automobile,furgone,7,0.5384615384615384,33420.0
gpt3.5_iter8,automobile,pick-up,8,0.4615384615384615,30836.0
gpt3.5_iter8,automobile,sportiva,9,0.3846153846153846,25800.0
gpt3.5_iter8,automobile,city car,10,0.3076923076923077,677.0
gpt3.5_iter8,automobile,crossover,11,0.2307692307692307,47046.0
gpt3.5_iter8,automobile,ibrida,12,0.1538461538461538,25476.0
gpt3.5_iter8,automobile,elettrica,13,0.0769230769230768,64450.0
gpt3.5_iter9,bagno,lavandino,1,1.0,37944.0
gpt3.5_iter9,bagno,vasca da bagno,2,0.9803921568627452,770.0
gpt3.5_iter9,bagno,doccia,3,0.9607843137254902,31052.0
gpt3.5_iter9,bagno,bidet,4,0.9411764705882352,34738.0
gpt3.5_iter9,bagno,wc,5,0.9215686274509804,18729.0
gpt3.5_iter9,bagno,specchio,6,0.9019607843137256,37906.0
gpt3.5_iter9,bagno,asciugamano,7,0.8823529411764706,44814.0
gpt3.5_iter9,bagno,porta asciugamani,8,0.8627450980392157,667.0
gpt3.5_iter9,bagno,dispensa sapone,9,0.8431372549019608,0.0
gpt3.5_iter9,bagno,tappeto da bagno,10,0.8235294117647058,44.0
gpt3.5_iter9,bagno,porta spazzolino,11,0.803921568627451,352.0
gpt3.5_iter9,bagno,porta carta igienica,12,0.7843137254901961,30.0
gpt3.5_iter9,bagno,porta salviette,13,0.7647058823529411,324.0
gpt3.5_iter9,bagno,sgabello da bagno,14,0.7450980392156863,20.0
gpt3.5_iter9,bagno,bilancia,15,0.7254901960784313,17690.0
gpt3.5_iter9,bagno,pianta da bagno,16,0.7058823529411764,4.0
gpt3.5_iter9,bagno,luci da bagno,17,0.6862745098039216,4.0
gpt3.5_iter9,bagno,termoarredo,18,0.6666666666666667,2345.0
gpt3.5_iter9,bagno,ventola,19,0.6470588235294117,23082.0
gpt3.5_iter9,bagno,specchiera,20,0.6274509803921569,8361.0
gpt3.5_iter9,bagno,mobiletto,21,0.607843137254902,11415.0
gpt3.5_iter9,bagno,mensole,22,0.5882352941176471,26495.0
gpt3.5_iter9,bagno,porta asciugacapelli,23,0.5686274509803921,23.0
gpt3.5_iter9,bagno,porta phon,24,0.5490196078431373,55.0
gpt3.5_iter9,bagno,porta spazzola,25,0.5294117647058824,51.0
gpt3.5_iter9,bagno,porta pettine,26,0.5098039215686274,13.0
gpt3.5_iter9,bagno,porta trucchi,27,0.4901960784313726,106.0
gpt3.5_iter9,bagno,porta profumi,28,0.4705882352941176,71.0
gpt3.5_iter9,bagno,porta deodorante,29,0.4509803921568627,3.0
gpt3.5_iter9,bagno,porta spugna,30,0.4313725490196078,41.0
gpt3.5_iter9,bagno,porta spazzolino elettrico,31,0.4117647058823529,3.0
gpt3.5_iter9,bagno,porta rasoi,32,0.3921568627450981,2.0
gpt3.5_iter9,bagno,porta lamette,33,0.3725490196078431,4.0
gpt3.5_iter9,bagno,porta cotton fioc,34,0.3529411764705882,12.0
gpt3.5_iter9,bagno,porta cotone,35,0.3333333333333333,23.0
gpt3.5_iter9,bagno,porta cerotti,36,0.3137254901960784,5.0
gpt3.5_iter9,bagno,porta medicazioni,37,0.2941176470588235,0.0
gpt3.5_iter9,bagno,porta salviettine,39,0.2549019607843137,19.0
gpt3.5_iter9,bagno,porta pannolini,40,0.2352941176470588,143.0
gpt3.5_iter9,bagno,porta salviette intime,42,0.196078431372549,0.0
gpt3.5_iter9,bagno,porta assorbenti,43,0.1764705882352941,22.0
gpt3.5_iter9,bagno,porta tampax,44,0.1568627450980392,1.0
gpt3.5_iter9,bagno,porta dischetti struccanti,45,0.1372549019607842,1.0
gpt3.5_iter9,bagno,porta fazzoletti,46,0.1176470588235294,87.0
gpt3.5_iter9,bagno,porta sapone,49,0.0588235294117647,476.0
gpt3.5_iter9,bagno,porta dentifric,51,0.0196078431372549,0.0
gpt3.5_iter10,balcone,balcone aperto,1,1.0,368.0
gpt3.5_iter10,balcone,balcone chiuso,2,0.962962962962963,670.0
gpt3.5_iter10,balcone,balcone panoramico,3,0.925925925925926,272.0
gpt3.5_iter10,balcone,balcone fiorito,4,0.8888888888888888,184.0
gpt3.5_iter10,balcone,balcone con vista mare,5,0.8518518518518519,22.0
gpt3.5_iter10,balcone,balcone con vista montagna,6,0.8148148148148149,23.0
gpt3.5_iter10,balcone,balcone con ringhiera in ferro battuto,7,0.7777777777777778,23.0
gpt3.5_iter10,balcone,balcone con ringhiera in vetro,8,0.7407407407407407,1.0
gpt3.5_iter10,balcone,balcone con tende,9,0.7037037037037037,22.0
gpt3.5_iter10,balcone,balcone con poltrone,10,0.6666666666666667,8.0
gpt3.5_iter10,balcone,balcone con tavolo e sedie,11,0.6296296296296297,20.0
gpt3.5_iter10,balcone,balcone con barbecue,12,0.5925925925925926,44.0
gpt3.5_iter10,balcone,balcone con piante grasse,13,0.5555555555555556,0.0
gpt3.5_iter10,balcone,balcone con orto urbano,14,0.5185185185185186,0.0
gpt3.5_iter10,balcone,balcone con amaca,15,0.4814814814814815,21.0
gpt3.5_iter10,balcone,balcone con divano,16,0.4444444444444444,4.0
gpt3.5_iter10,balcone,balcone con illuminazione a led,17,0.4074074074074074,0.0
gpt3.5_iter10,balcone,balcone con pergolato,18,0.3703703703703703,6.0
gpt3.5_iter10,balcone,balcone con vasi di fiori,19,0.3333333333333333,2.0
gpt3.5_iter10,balcone,balcone con tende da sole,20,0.2962962962962963,20.0
gpt3.5_iter10,balcone,balcone con griglia per barbecue,21,0.2592592592592593,0.0
gpt3.5_iter10,balcone,balcone con stendibiancheria,22,0.2222222222222222,22.0
gpt3.5_iter10,balcone,balcone con tavolino da caffè,23,0.1851851851851852,0.0
gpt3.5_iter10,balcone,balcone con divano a dondolo,24,0.1481481481481481,0.0
gpt3.5_iter10,balcone,balcone con poltrone reclinabili,25,0.1111111111111111,0.0
gpt3.5_iter10,balcone,balcone con ombrellone,26,0.074074074074074,5.0
gpt3.5_iter10,balcone,balcone con vasca idromassaggio,27,0.037037037037037,18.0
gpt3.5_iter11,basilico,genovese,1,1.0,20855.0
gpt3.5_iter11,basilico,napoletano,2,0.9333333333333332,23934.0
gpt3.5_iter11,basilico,thai,3,0.8666666666666667,18707.0
gpt3.5_iter11,basilico,limone,4,0.8,37054.0
gpt3.5_iter11,basilico,cannella,5,0.7333333333333334,34550.0
gpt3.5_iter11,basilico,rosso,6,0.6666666666666667,33472.0
gpt3.5_iter11,basilico,viola,7,0.6,16409.0
gpt3.5_iter11,basilico,greco,8,0.5333333333333333,15912.0
gpt3.5_iter11,basilico,piccante,9,0.4666666666666667,20752.0
gpt3.5_iter11,basilico,dolce,10,0.4,43602.0
gpt3.5_iter11,basilico,al limone,11,0.3333333333333333,334.0
gpt3.5_iter11,basilico,al peperoncino,12,0.2666666666666667,121.0
gpt3.5_iter11,basilico,al pomodoro,13,0.1999999999999999,336.0
gpt3.5_iter11,basilico,al formaggio,14,0.1333333333333333,295.0
gpt3.5_iter11,basilico,al pesto,15,0.0666666666666666,135.0
gpt3.5_iter12,bicchiere,bicchiere da acqua,1,1.0,638.0
gpt3.5_iter12,bicchiere,bicchiere da vino,2,0.9,166.0
gpt3.5_iter12,bicchiere,bicchiere da cocktail,3,0.8,517.0
gpt3.5_iter12,bicchiere,bicchiere da birra,4,0.7,40.0
gpt3.5_iter12,bicchiere,bicchiere da spumante,5,0.6,23.0
gpt3.5_iter12,bicchiere,bicchiere da whisky,6,0.5,182.0
gpt3.5_iter12,bicchiere,bicchiere da succo,7,0.4,8.0
gpt3.5_iter12,bicchiere,bicchiere da tè,8,0.3,21.0
gpt3.5_iter12,bicchiere,bicchiere da caffè,9,0.1999999999999999,68.0
gpt3.5_iter12,bicchiere,bicchiere da latte,10,0.0999999999999999,42.0
gpt3.5_iter13,bicicletta,mountain bike,1,1.0,6030.0
gpt3.5_iter13,bicicletta,bici da corsa,2,0.95,119.0
gpt3.5_iter13,bicicletta,bici da città,3,0.9,23.0
gpt3.5_iter13,bicicletta,bici pieghevole,4,0.85,63.0
gpt3.5_iter13,bicicletta,bici elettrica,5,0.8,250.0
gpt3.5_iter13,bicicletta,bici da bambino,6,0.75,30.0
gpt3.5_iter13,bicicletta,bici da triathlon,7,0.7,27.0
gpt3.5_iter13,bicicletta,bici da bmx,8,0.65,8.0
gpt3.5_iter13,bicicletta,bici da downhill,9,0.6,24.0
gpt3.5_iter13,bicicletta,bici da gravel,10,0.55,27.0
gpt3.5_iter13,bicicletta,bici da turismo,11,0.5,23.0
gpt3.5_iter13,bicicletta,bici da ciclocross,12,0.4499999999999999,27.0
gpt3.5_iter13,bicicletta,bici da pista,13,0.4,28.0
gpt3.5_iter13,bicicletta,bici da trial,14,0.35,34.0
gpt3.5_iter13,bicicletta,bici da freestyle,15,0.3,5.0
gpt3.5_iter13,bicicletta,bici da salto,16,0.25,1.0
gpt3.5_iter13,bicicletta,bici da strada,17,0.1999999999999999,52.0
gpt3.5_iter13,bicicletta,bici da trekking,18,0.15,23.0
gpt3.5_iter13,bicicletta,bici da cross-country,19,0.0999999999999999,7.0
gpt3.5_iter13,bicicletta,bici da enduro,20,0.05,36.0
gpt3.5_iter14,bocca,labbra,1,1.0,48526.0
gpt3.5_iter14,bocca,denti,2,0.8333333333333334,46856.0
gpt3.5_iter14,bocca,lingua,3,0.6666666666666667,36926.0
gpt3.5_iter14,bocca,palato,4,0.5,21589.0
gpt3.5_iter14,bocca,gengive,5,0.3333333333333333,25899.0
gpt3.5_iter14,bocca,mascella,6,0.1666666666666666,34880.0
gpt3.5_iter15,braccio,braccio umano,1,1.0,354.0
gpt3.5_iter15,braccio,braccio di una sedia,2,0.9,3.0
gpt3.5_iter15,braccio,braccio di un robot,3,0.8,23.0
gpt3.5_iter15,braccio,braccio di una gru,4,0.7,22.0
gpt3.5_iter15,braccio,braccio di una lampada,5,0.6,2.0
gpt3.5_iter15,braccio,braccio di un orologio,6,0.5,0.0
gpt3.5_iter15,braccio,braccio di una persona che fa ginnastica,7,0.4,0.0
gpt3.5_iter15,braccio,braccio di una macchina industriale,8,0.3,0.0
gpt3.5_iter15,braccio,braccio di un animale (ad esempio,9,0.1999999999999999,0.0
gpt3.5_iter15,braccio,braccio di una scimmia),10,0.0999999999999999,0.0
gpt3.5_iter16,cactus,cactus a candela,1,1.0,1.0
gpt3.5_iter16,cactus,cactus a palla di neve,2,0.9523809523809524,0.0
gpt3.5_iter16,cactus,cactus a barilotto,3,0.9047619047619048,0.0
gpt3.5_iter16,cactus,cactus a forma di ferro di cavallo,4,0.8571428571428572,0.0
gpt3.5_iter16,cactus,cactus a forma di serpente,5,0.8095238095238095,0.0
gpt3.5_iter16,cactus,cactus a forma di palla di porcospino,6,0.7619047619047619,0.0
gpt3.5_iter16,cactus,cactus a forma di luna,7,0.7142857142857143,0.0
gpt3.5_iter16,cactus,cactus a forma di cuore,8,0.6666666666666667,4.0
gpt3.5_iter16,cactus,cactus a forma di stella,9,0.6190476190476191,0.0
gpt3.5_iter16,cactus,cactus a forma di cilindro,10,0.5714285714285714,0.0
gpt3.5_iter16,cactus,cactus a forma di cono,11,0.5238095238095238,0.0
gpt3.5_iter16,cactus,cactus a forma di disco,12,0.4761904761904761,0.0
gpt3.5_iter16,cactus,cactus a forma di candelabro,13,0.4285714285714286,1.0
gpt3.5_iter16,cactus,cactus a forma di ventaglio,14,0.3809523809523809,0.0
gpt3.5_iter16,cactus,cactus a forma di corona,15,0.3333333333333333,0.0
gpt3.5_iter16,cactus,cactus a forma di ananas,16,0.2857142857142857,0.0
gpt3.5_iter16,cactus,cactus a forma di melone,17,0.2380952380952381,0.0
gpt3.5_iter16,cactus,cactus a forma di uovo,18,0.1904761904761904,0.0
gpt3.5_iter16,cactus,cactus a forma di corno di rinoceronte,19,0.1428571428571429,0.0
gpt3.5_iter16,cactus,cactus a forma di lingua di suocera,20,0.0952380952380952,0.0
gpt3.5_iter16,cactus,cactus a forma di coda di scorpione,21,0.0476190476190476,0.0
gpt3.5_iter17,calza,calza lunga,1,1.0,166.0
gpt3.5_iter17,calza,calza corta,2,0.9736842105263158,98.0
gpt3.5_iter17,calza,calza a righe,3,0.9473684210526316,31.0
gpt3.5_iter17,calza,calza a pois,4,0.9210526315789472,24.0
gpt3.5_iter17,calza,calza a tinta unita,5,0.8947368421052632,7.0
gpt3.5_iter17,calza,calza a rete,6,0.868421052631579,45.0
gpt3.5_iter17,calza,calza a compressione,7,0.8421052631578947,78.0
gpt3.5_iter17,calza,calza termica,8,0.8157894736842105,34.0
gpt3.5_iter17,calza,calza sportiva,9,0.7894736842105263,26.0
gpt3.5_iter17,calza,calza da donna,10,0.7631578947368421,36.0
gpt3.5_iter17,calza,calza da uomo,11,0.736842105263158,26.0
gpt3.5_iter17,calza,calza da bambino,12,0.7105263157894737,22.0
gpt3.5_iter17,calza,calza da neonato,13,0.6842105263157895,6.0
gpt3.5_iter17,calza,calza natalizia,14,0.6578947368421053,44.0
gpt3.5_iter17,calza,calza di lana,15,0.631578947368421,35.0
gpt3.5_iter17,calza,calza di cotone,16,0.6052631578947368,31.0
gpt3.5_iter17,calza,calza di seta,17,0.5789473684210527,27.0
gpt3.5_iter17,calza,calza di nylon,18,0.5526315789473684,20.0
gpt3.5_iter17,calza,calza di spugna,19,0.5263157894736843,23.0
gpt3.5_iter17,calza,calza antiscivolo,20,0.5,92.0
gpt3.5_iter17,calza,calza con pizzo,21,0.4736842105263158,0.0
gpt3.5_iter17,calza,calza con ricamo,22,0.4473684210526315,3.0
gpt3.5_iter17,calza,calza con disegni,23,0.4210526315789473,4.0
gpt3.5_iter17,calza,calza con elastico,24,0.3947368421052631,13.0
gpt3.5_iter17,calza,calza con tallone rinforzato,25,0.368421052631579,0.0
gpt3.5_iter17,calza,calza con punta rinforzata,26,0.3421052631578947,0.0
gpt3.5_iter17,calza,calza con fascia elastica,27,0.3157894736842105,0.0
gpt3.5_iter17,calza,calza con stampa,28,0.2894736842105263,5.0
gpt3.5_iter17,calza,calza con motivo floreale,29,0.2631578947368421,0.0
gpt3.5_iter17,calza,calza con motivo a quadri,30,0.2368421052631578,0.0
gpt3.5_iter17,calza,calza con motivo a pois,31,0.2105263157894736,0.0
gpt3.5_iter17,calza,calza con motivo a righe,32,0.1842105263157895,0.0
gpt3.5_iter17,calza,calza con motivo a cuori,33,0.1578947368421053,0.0
gpt3.5_iter17,calza,calza con motivo a stelle,34,0.131578947368421,0.0
gpt3.5_iter17,calza,calza con motivo a animali,35,0.1052631578947368,0.0
gpt3.5_iter17,calza,calza con motivo a geometrico,36,0.0789473684210526,0.0
gpt3.5_iter17,calza,calza con motivo a tema natalizio,37,0.0526315789473684,0.0
gpt3.5_iter17,calza,calza con motivo a tema sportivo,38,0.0263157894736841,0.0
gpt3.5_iter18,camera,fotocamera,1,1.0,46368.0
gpt3.5_iter18,camera,videocamera,2,0.9714285714285714,39622.0
gpt3.5_iter18,camera,telecamera di sorveglianza,3,0.9428571428571428,67.0
gpt3.5_iter18,camera,camera oscura,4,0.9142857142857144,374.0
gpt3.5_iter18,camera,camera termografica,5,0.8857142857142857,132.0
gpt3.5_iter18,camera,camera iperbarica,6,0.8571428571428572,59.0
gpt3.5_iter18,camera,camera d'albergo,7,0.8285714285714285,0.0
gpt3.5_iter18,camera,camera da letto,8,0.8,289476.0
gpt3.5_iter18,camera,camera di compensazione,9,0.7714285714285715,29.0
gpt3.5_iter18,camera,camera di combustione,10,0.7428571428571429,84.0
gpt3.5_iter18,camera,camera di decompressione,11,0.7142857142857143,32.0
gpt3.5_iter18,camera,camera di isolamento,12,0.6857142857142857,23.0
gpt3.5_iter18,camera,camera di registrazione,13,0.6571428571428571,25.0
gpt3.5_iter18,camera,camera di sicurezza,14,0.6285714285714286,56.0
gpt3.5_iter18,camera,camera di fermentazione,15,0.6,21.0
gpt3.5_iter18,camera,camera di congelamento,16,0.5714285714285714,22.0
gpt3.5_iter18,camera,camera di conservazione,17,0.5428571428571429,22.0
gpt3.5_iter18,camera,camera di prova,18,0.5142857142857142,25.0
gpt3.5_iter18,camera,camera anecoica,19,0.4857142857142857,538.0
gpt3.5_iter18,camera,camera climatica,20,0.4571428571428572,516.0
