,participant,concept,exemplar,rank_order,normed_rank_order
122,gpt3.5_iter5,astuccio,astuccio per carte di credito,9,0.2727272727272727
123,gpt3.5_iter5,astuccio,astuccio per sigarette,10,0.18181818181818177
124,gpt3.5_iter5,astuccio,astuccio per cuffie,11,0.09090909090909094
125,gpt3.5_iter6,attrezzo,martello,1,1.0
126,gpt3.5_iter6,attrezzo,cacciavite,2,0.9375
127,gpt3.5_iter6,attrezzo,trapano,3,0.875
128,gpt3.5_iter6,attrezzo,sega,4,0.8125
129,gpt3.5_iter6,attrezzo,pinze,5,0.75
130,gpt3.5_iter6,attrezzo,chiave inglese,6,0.6875
131,gpt3.5_iter6,attrezzo,scalpello,7,0.625
132,gpt3.5_iter6,attrezzo,tenaglia,8,0.5625
133,gpt3.5_iter6,attrezzo,martellina,9,0.5
134,gpt3.5_iter6,attrezzo,cacciavite a croce,10,0.4375
135,gpt3.5_iter6,attrezzo,sega circolare,11,0.375
136,gpt3.5_iter6,attrezzo,tronchesino,12,0.3125
137,gpt3.5_iter6,attrezzo,mazzetta,13,0.25
138,gpt3.5_iter6,attrezzo,lima,14,0.1875
139,gpt3.5_iter6,attrezzo,cesoia,15,0.125
140,gpt3.5_iter6,attrezzo,seghetto da traforo,16,0.0625
141,gpt3.5_iter7,autobus,urbano,1,1.0
142,gpt3.5_iter7,autobus,interurbano,2,0.95
143,gpt3.5_iter7,autobus,turistico,3,0.9
144,gpt3.5_iter7,autobus,scolastico,4,0.85
145,gpt3.5_iter7,autobus,navetta aeroportuale,5,0.8
146,gpt3.5_iter7,autobus,autobus a due piani,6,0.75
147,gpt3.5_iter7,autobus,autobus ibrido,7,0.7
148,gpt3.5_iter7,autobus,autobus elettrico,8,0.65
149,gpt3.5_iter7,autobus,autobus a metano,9,0.6
150,gpt3.5_iter7,autobus,autobus a idrogeno,10,0.55
151,gpt3.5_iter7,autobus,autobus a gasolio,11,0.5
152,gpt3.5_iter7,autobus,autobus a gas naturale compresso (gnc),12,0.44999999999999996
153,gpt3.5_iter7,autobus,autobus a gas naturale liquefatto (gnl),13,0.4
154,gpt3.5_iter7,autobus,autobus articolato,14,0.35
155,gpt3.5_iter7,autobus,autobus minibus,15,0.30000000000000004
156,gpt3.5_iter7,autobus,autobus open-top,16,0.25
157,gpt3.5_iter7,autobus,autobus a pedali (per bambini),17,0.19999999999999996
158,gpt3.5_iter7,autobus,autobus storico,18,0.15000000000000002
159,gpt3.5_iter7,autobus,autobus anfibio,19,0.09999999999999998
160,gpt3.5_iter7,autobus,autobus a guida autonoma,20,0.050000000000000044
161,gpt3.5_iter8,automobile,berlina,1,1.0
162,gpt3.5_iter8,automobile,suv,2,0.9230769230769231
163,gpt3.5_iter8,automobile,coupé,3,0.8461538461538461
164,gpt3.5_iter8,automobile,cabriolet,4,0.7692307692307692
165,gpt3.5_iter8,automobile,monovolume,5,0.6923076923076923
166,gpt3.5_iter8,automobile,station wagon,6,0.6153846153846154
167,gpt3.5_iter8,automobile,furgone,7,0.5384615384615384
168,gpt3.5_iter8,automobile,pick-up,8,0.46153846153846156
169,gpt3.5_iter8,automobile,sportiva,9,0.3846153846153846
170,gpt3.5_iter8,automobile,city car,10,0.3076923076923077
171,gpt3.5_iter8,automobile,crossover,11,0.23076923076923073
172,gpt3.5_iter8,automobile,ibrida,12,0.15384615384615385
173,gpt3.5_iter8,automobile,elettrica,13,0.07692307692307687
174,gpt3.5_iter9,bagno,lavandino,1,1.0
175,gpt3.5_iter9,bagno,vasca da bagno,2,0.9803921568627451
176,gpt3.5_iter9,bagno,doccia,3,0.9607843137254902
177,gpt3.5_iter9,bagno,bidet,4,0.9411764705882353
178,gpt3.5_iter9,bagno,wc,5,0.9215686274509804
179,gpt3.5_iter9,bagno,specchio,6,0.9019607843137255
180,gpt3.5_iter9,bagno,asciugamano,7,0.8823529411764706
181,gpt3.5_iter9,bagno,porta asciugamani,8,0.8627450980392157
182,gpt3.5_iter9,bagno,dispensa sapone,9,0.8431372549019608
183,gpt3.5_iter9,bagno,tappeto da bagno,10,0.8235294117647058
184,gpt3.5_iter9,bagno,porta spazzolino,11,0.803921568627451
185,gpt3.5_iter9,bagno,porta carta igienica,12,0.7843137254901961
186,gpt3.5_iter9,bagno,porta salviette,13,0.7647058823529411
187,gpt3.5_iter9,bagno,sgabello da bagno,14,0.7450980392156863
188,gpt3.5_iter9,bagno,bilancia,15,0.7254901960784313
189,gpt3.5_iter9,bagno,pianta da bagno,16,0.7058823529411764
190,gpt3.5_iter9,bagno,luci da bagno,17,0.6862745098039216
191,gpt3.5_iter9,bagno,termoarredo,18,0.6666666666666667
192,gpt3.5_iter9,bagno,ventola,19,0.6470588235294117
193,gpt3.5_iter9,bagno,specchiera,20,0.6274509803921569
194,gpt3.5_iter9,bagno,mobiletto,21,0.607843137254902
195,gpt3.5_iter9,bagno,mensole,22,0.5882352941176471
196,gpt3.5_iter9,bagno,porta asciugacapelli,23,0.5686274509803921
197,gpt3.5_iter9,bagno,porta phon,24,0.5490196078431373
198,gpt3.5_iter9,bagno,porta spazzola,25,0.5294117647058824
199,gpt3.5_iter9,bagno,porta pettine,26,0.5098039215686274
200,gpt3.5_iter9,bagno,porta trucchi,27,0.4901960784313726
201,gpt3.5_iter9,bagno,porta profumi,28,0.47058823529411764
202,gpt3.5_iter9,bagno,porta deodorante,29,0.4509803921568627
203,gpt3.5_iter9,bagno,porta spugna,30,0.43137254901960786
204,gpt3.5_iter9,bagno,porta spazzolino elettrico,31,0.4117647058823529
205,gpt3.5_iter9,bagno,porta rasoi,32,0.3921568627450981
206,gpt3.5_iter9,bagno,porta lamette,33,0.37254901960784315
207,gpt3.5_iter9,bagno,porta cotton fioc,34,0.3529411764705882
208,gpt3.5_iter9,bagno,porta cotone,35,0.33333333333333337
209,gpt3.5_iter9,bagno,porta cerotti,36,0.3137254901960784
210,gpt3.5_iter9,bagno,porta medicazioni,37,0.2941176470588235
212,gpt3.5_iter9,bagno,porta salviettine,39,0.2549019607843137
213,gpt3.5_iter9,bagno,porta pannolini,40,0.23529411764705888
215,gpt3.5_iter9,bagno,porta salviette intime,42,0.196078431372549
216,gpt3.5_iter9,bagno,porta assorbenti,43,0.17647058823529416
217,gpt3.5_iter9,bagno,porta tampax,44,0.1568627450980392
218,gpt3.5_iter9,bagno,porta dischetti struccanti,45,0.13725490196078427
219,gpt3.5_iter9,bagno,porta fazzoletti,46,0.11764705882352944
222,gpt3.5_iter9,bagno,porta sapone,49,0.05882352941176472
224,gpt3.5_iter9,bagno,porta dentifric,51,0.019607843137254943
225,gpt3.5_iter10,balcone,balcone aperto,1,1.0
226,gpt3.5_iter10,balcone,balcone chiuso,2,0.962962962962963
227,gpt3.5_iter10,balcone,balcone panoramico,3,0.9259259259259259
228,gpt3.5_iter10,balcone,balcone fiorito,4,0.8888888888888888
229,gpt3.5_iter10,balcone,balcone con vista mare,5,0.8518518518518519
230,gpt3.5_iter10,balcone,balcone con vista montagna,6,0.8148148148148149
231,gpt3.5_iter10,balcone,balcone con ringhiera in ferro battuto,7,0.7777777777777778
232,gpt3.5_iter10,balcone,balcone con ringhiera in vetro,8,0.7407407407407407
233,gpt3.5_iter10,balcone,balcone con tende,9,0.7037037037037037
234,gpt3.5_iter10,balcone,balcone con poltrone,10,0.6666666666666667
235,gpt3.5_iter10,balcone,balcone con tavolo e sedie,11,0.6296296296296297
236,gpt3.5_iter10,balcone,balcone con barbecue,12,0.5925925925925926
237,gpt3.5_iter10,balcone,balcone con piante grasse,13,0.5555555555555556
238,gpt3.5_iter10,balcone,balcone con orto urbano,14,0.5185185185185186
239,gpt3.5_iter10,balcone,balcone con amaca,15,0.4814814814814815
240,gpt3.5_iter10,balcone,balcone con divano,16,0.4444444444444444
241,gpt3.5_iter10,balcone,balcone con illuminazione a led,17,0.40740740740740744
242,gpt3.5_iter10,balcone,balcone con pergolato,18,0.37037037037037035
243,gpt3.5_iter10,balcone,balcone con vasi di fiori,19,0.33333333333333337
244,gpt3.5_iter10,balcone,balcone con tende da sole,20,0.2962962962962963
245,gpt3.5_iter10,balcone,balcone con griglia per barbecue,21,0.2592592592592593
246,gpt3.5_iter10,balcone,balcone con stendibiancheria,22,0.2222222222222222
247,gpt3.5_iter10,balcone,balcone con tavolino da caffè,23,0.18518518518518523
248,gpt3.5_iter10,balcone,balcone con divano a dondolo,24,0.14814814814814814
249,gpt3.5_iter10,balcone,balcone con poltrone reclinabili,25,0.11111111111111116
250,gpt3.5_iter10,balcone,balcone con ombrellone,26,0.07407407407407407
251,gpt3.5_iter10,balcone,balcone con vasca idromassaggio,27,0.03703703703703709
252,gpt3.5_iter11,basilico,genovese,1,1.0
253,gpt3.5_iter11,basilico,napoletano,2,0.9333333333333333
254,gpt3.5_iter11,basilico,thai,3,0.8666666666666667
255,gpt3.5_iter11,basilico,limone,4,0.8
256,gpt3.5_iter11,basilico,cannella,5,0.7333333333333334
257,gpt3.5_iter11,basilico,rosso,6,0.6666666666666667
258,gpt3.5_iter11,basilico,viola,7,0.6
259,gpt3.5_iter11,basilico,greco,8,0.5333333333333333
260,gpt3.5_iter11,basilico,piccante,9,0.4666666666666667
261,gpt3.5_iter11,basilico,dolce,10,0.4
262,gpt3.5_iter11,basilico,al limone,11,0.33333333333333337
263,gpt3.5_iter11,basilico,al peperoncino,12,0.2666666666666667
264,gpt3.5_iter11,basilico,al pomodoro,13,0.19999999999999996
265,gpt3.5_iter11,basilico,al formaggio,14,0.1333333333333333
266,gpt3.5_iter11,basilico,al pesto,15,0.06666666666666665
267,gpt3.5_iter12,bicchiere,bicchiere da acqua,1,1.0
268,gpt3.5_iter12,bicchiere,bicchiere da vino,2,0.9
269,gpt3.5_iter12,bicchiere,bicchiere da cocktail,3,0.8
270,gpt3.5_iter12,bicchiere,bicchiere da birra,4,0.7
271,gpt3.5_iter12,bicchiere,bicchiere da spumante,5,0.6
272,gpt3.5_iter12,bicchiere,bicchiere da whisky,6,0.5
273,gpt3.5_iter12,bicchiere,bicchiere da succo,7,0.4
274,gpt3.5_iter12,bicchiere,bicchiere da tè,8,0.30000000000000004
275,gpt3.5_iter12,bicchiere,bicchiere da caffè,9,0.19999999999999996
276,gpt3.5_iter12,bicchiere,bicchiere da latte,10,0.09999999999999998
277,gpt3.5_iter13,bicicletta,mountain bike,1,1.0
278,gpt3.5_iter13,bicicletta,bici da corsa,2,0.95
279,gpt3.5_iter13,bicicletta,bici da città,3,0.9
280,gpt3.5_iter13,bicicletta,bici pieghevole,4,0.85
281,gpt3.5_iter13,bicicletta,bici elettrica,5,0.8
282,gpt3.5_iter13,bicicletta,bici da bambino,6,0.75
283,gpt3.5_iter13,bicicletta,bici da triathlon,7,0.7
284,gpt3.5_iter13,bicicletta,bici da bmx,8,0.65
285,gpt3.5_iter13,bicicletta,bici da downhill,9,0.6
286,gpt3.5_iter13,bicicletta,bici da gravel,10,0.55
287,gpt3.5_iter13,bicicletta,bici da turismo,11,0.5
288,gpt3.5_iter13,bicicletta,bici da ciclocross,12,0.44999999999999996
289,gpt3.5_iter13,bicicletta,bici da pista,13,0.4
290,gpt3.5_iter13,bicicletta,bici da trial,14,0.35
291,gpt3.5_iter13,bicicletta,bici da freestyle,15,0.30000000000000004
292,gpt3.5_iter13,bicicletta,bici da salto,16,0.25
293,gpt3.5_iter13,bicicletta,bici da strada,17,0.19999999999999996
294,gpt3.5_iter13,bicicletta,bici da trekking,18,0.15000000000000002
295,gpt3.5_iter13,bicicletta,bici da cross-country,19,0.09999999999999998
296,gpt3.5_iter13,bicicletta,bici da enduro,20,0.050000000000000044
297,gpt3.5_iter14,bocca,labbra,1,1.0
298,gpt3.5_iter14,bocca,denti,2,0.8333333333333334
299,gpt3.5_iter14,bocca,lingua,3,0.6666666666666667
300,gpt3.5_iter14,bocca,palato,4,0.5
301,gpt3.5_iter14,bocca,gengive,5,0.33333333333333337
302,gpt3.5_iter14,bocca,mascella,6,0.16666666666666663
303,gpt3.5_iter15,braccio,braccio umano,1,1.0
304,gpt3.5_iter15,braccio,braccio di una sedia,2,0.9
305,gpt3.5_iter15,braccio,braccio di un robot,3,0.8
306,gpt3.5_iter15,braccio,braccio di una gru,4,0.7
307,gpt3.5_iter15,braccio,braccio di una lampada,5,0.6
308,gpt3.5_iter15,braccio,braccio di un orologio,6,0.5
309,gpt3.5_iter15,braccio,braccio di una persona che fa ginnastica,7,0.4
310,gpt3.5_iter15,braccio,braccio di una macchina industriale,8,0.30000000000000004
311,gpt3.5_iter15,braccio,braccio di un animale (ad esempio,9,0.19999999999999996
312,gpt3.5_iter15,braccio,braccio di una scimmia),10,0.09999999999999998
313,gpt3.5_iter16,cactus,cactus a candela,1,1.0
314,gpt3.5_iter16,cactus,cactus a palla di neve,2,0.9523809523809523
315,gpt3.5_iter16,cactus,cactus a barilotto,3,0.9047619047619048
316,gpt3.5_iter16,cactus,cactus a forma di ferro di cavallo,4,0.8571428571428572
317,gpt3.5_iter16,cactus,cactus a forma di serpente,5,0.8095238095238095
318,gpt3.5_iter16,cactus,cactus a forma di palla di porcospino,6,0.7619047619047619
319,gpt3.5_iter16,cactus,cactus a forma di luna,7,0.7142857142857143
320,gpt3.5_iter16,cactus,cactus a forma di cuore,8,0.6666666666666667
321,gpt3.5_iter16,cactus,cactus a forma di stella,9,0.6190476190476191
322,gpt3.5_iter16,cactus,cactus a forma di cilindro,10,0.5714285714285714
323,gpt3.5_iter16,cactus,cactus a forma di cono,11,0.5238095238095238
324,gpt3.5_iter16,cactus,cactus a forma di disco,12,0.47619047619047616
325,gpt3.5_iter16,cactus,cactus a forma di candelabro,13,0.4285714285714286
326,gpt3.5_iter16,cactus,cactus a forma di ventaglio,14,0.38095238095238093
327,gpt3.5_iter16,cactus,cactus a forma di corona,15,0.33333333333333337
328,gpt3.5_iter16,cactus,cactus a forma di ananas,16,0.2857142857142857
329,gpt3.5_iter16,cactus,cactus a forma di melone,17,0.23809523809523814
330,gpt3.5_iter16,cactus,cactus a forma di uovo,18,0.19047619047619047
331,gpt3.5_iter16,cactus,cactus a forma di corno di rinoceronte,19,0.1428571428571429
332,gpt3.5_iter16,cactus,cactus a forma di lingua di suocera,20,0.09523809523809523
333,gpt3.5_iter16,cactus,cactus a forma di coda di scorpione,21,0.04761904761904767
334,gpt3.5_iter17,calza,calza lunga,1,1.0
335,gpt3.5_iter17,calza,calza corta,2,0.9736842105263158
336,gpt3.5_iter17,calza,calza a righe,3,0.9473684210526316
337,gpt3.5_iter17,calza,calza a pois,4,0.9210526315789473
338,gpt3.5_iter17,calza,calza a tinta unita,5,0.8947368421052632
339,gpt3.5_iter17,calza,calza a rete,6,0.868421052631579
340,gpt3.5_iter17,calza,calza a compressione,7,0.8421052631578947
341,gpt3.5_iter17,calza,calza termica,8,0.8157894736842105
342,gpt3.5_iter17,calza,calza sportiva,9,0.7894736842105263
343,gpt3.5_iter17,calza,calza da donna,10,0.7631578947368421
344,gpt3.5_iter17,calza,calza da uomo,11,0.736842105263158
345,gpt3.5_iter17,calza,calza da bambino,12,0.7105263157894737
346,gpt3.5_iter17,calza,calza da neonato,13,0.6842105263157895
347,gpt3.5_iter17,calza,calza natalizia,14,0.6578947368421053
348,gpt3.5_iter17,calza,calza di lana,15,0.631578947368421
349,gpt3.5_iter17,calza,calza di cotone,16,0.6052631578947368
350,gpt3.5_iter17,calza,calza di seta,17,0.5789473684210527
351,gpt3.5_iter17,calza,calza di nylon,18,0.5526315789473684
352,gpt3.5_iter17,calza,calza di spugna,19,0.5263157894736843
353,gpt3.5_iter17,calza,calza antiscivolo,20,0.5
354,gpt3.5_iter17,calza,calza con pizzo,21,0.4736842105263158
355,gpt3.5_iter17,calza,calza con ricamo,22,0.4473684210526315
356,gpt3.5_iter17,calza,calza con disegni,23,0.42105263157894735
357,gpt3.5_iter17,calza,calza con elastico,24,0.39473684210526316
358,gpt3.5_iter17,calza,calza con tallone rinforzato,25,0.368421052631579
359,gpt3.5_iter17,calza,calza con punta rinforzata,26,0.3421052631578947
360,gpt3.5_iter17,calza,calza con fascia elastica,27,0.3157894736842105
361,gpt3.5_iter17,calza,calza con stampa,28,0.2894736842105263
362,gpt3.5_iter17,calza,calza con motivo floreale,29,0.26315789473684215
363,gpt3.5_iter17,calza,calza con motivo a quadri,30,0.23684210526315785
364,gpt3.5_iter17,calza,calza con motivo a pois,31,0.21052631578947367
365,gpt3.5_iter17,calza,calza con motivo a righe,32,0.1842105263157895
366,gpt3.5_iter17,calza,calza con motivo a cuori,33,0.1578947368421053
367,gpt3.5_iter17,calza,calza con motivo a stelle,34,0.13157894736842102
368,gpt3.5_iter17,calza,calza con motivo a animali,35,0.10526315789473684
369,gpt3.5_iter17,calza,calza con motivo a geometrico,36,0.07894736842105265
370,gpt3.5_iter17,calza,calza con motivo a tema natalizio,37,0.052631578947368474
371,gpt3.5_iter17,calza,calza con motivo a tema sportivo,38,0.02631578947368418
372,gpt3.5_iter18,camera,fotocamera,1,1.0
373,gpt3.5_iter18,camera,videocamera,2,0.9714285714285714
374,gpt3.5_iter18,camera,telecamera di sorveglianza,3,0.9428571428571428
375,gpt3.5_iter18,camera,camera oscura,4,0.9142857142857143
376,gpt3.5_iter18,camera,camera termografica,5,0.8857142857142857
377,gpt3.5_iter18,camera,camera iperbarica,6,0.8571428571428572
378,gpt3.5_iter18,camera,camera d'albergo,7,0.8285714285714285
379,gpt3.5_iter18,camera,camera da letto,8,0.8
380,gpt3.5_iter18,camera,camera di compensazione,9,0.7714285714285715
381,gpt3.5_iter18,camera,camera di combustione,10,0.7428571428571429
382,gpt3.5_iter18,camera,camera di decompressione,11,0.7142857142857143
383,gpt3.5_iter18,camera,camera di isolamento,12,0.6857142857142857
384,gpt3.5_iter18,camera,camera di registrazione,13,0.6571428571428571
385,gpt3.5_iter18,camera,camera di sicurezza,14,0.6285714285714286
386,gpt3.5_iter18,camera,camera di fermentazione,15,0.6
387,gpt3.5_iter18,camera,camera di congelamento,16,0.5714285714285714
388,gpt3.5_iter18,camera,camera di conservazione,17,0.5428571428571429
389,gpt3.5_iter18,camera,camera di prova,18,0.5142857142857142
390,gpt3.5_iter18,camera,camera anecoica,19,0.48571428571428577
391,gpt3.5_iter18,camera,camera climatica,20,0.4571428571428572
392,gpt3.5_iter18,camera,camera di ionizzazione,21,0.4285714285714286
394,gpt3.5_iter18,camera,camera di scoppio,23,0.37142857142857144
407,gpt3.5_iter19,camicia,manica lunga,1,1.0
408,gpt3.5_iter19,camicia,manica corta,2,0.975
409,gpt3.5_iter19,camicia,a righe,3,0.95
410,gpt3.5_iter19,camicia,a quadri,4,0.925
411,gpt3.5_iter19,camicia,a pois,5,0.9
412,gpt3.5_iter19,camicia,a tinta unita,6,0.875
413,gpt3.5_iter19,camicia,a maniche corte,7,0.85
414,gpt3.5_iter19,camicia,a maniche lunghe,8,0.825
415,gpt3.5_iter19,camicia,a collo alto,9,0.8
416,gpt3.5_iter19,camicia,a collo a v,10,0.775
417,gpt3.5_iter19,camicia,a collo button-down,11,0.75
418,gpt3.5_iter19,camicia,a collo coreano,12,0.725
419,gpt3.5_iter19,camicia,a collo alla francese,13,0.7
420,gpt3.5_iter19,camicia,a collo alla coreana,14,0.675
421,gpt3.5_iter19,camicia,a collo alla cinese,15,0.65
422,gpt3.5_iter19,camicia,a collo alla tunisina,16,0.625
423,gpt3.5_iter19,camicia,a collo alla marinara,17,0.6
424,gpt3.5_iter19,camicia,a collo alla peter pan,18,0.575
425,gpt3.5_iter19,camicia,a collo alla bavarese,19,0.55
426,gpt3.5_iter19,camicia,a collo alla camicia,20,0.525
427,gpt3.5_iter19,camicia,a collo alla polo,21,0.5
428,gpt3.5_iter19,camicia,a collo alla henley,22,0.475
429,gpt3.5_iter19,camicia,a collo alla band,23,0.44999999999999996
