,participant,category,concept,concept_eng,exemplar,rank,abs_freq
63,iter1,STATIONERY,astuccio,case,bissicelle,4,0.0
64,iter1,STATIONERY,astuccio,case,infiltrato,5,14960.0
65,iter1,STATIONERY,astuccio,case,condizionatore,6,18480.0
66,iter1,HOBBIES,attrezzo,tool,camicia,1,17070.0
67,iter1,HOBBIES,attrezzo,tool,reggisenelli,2,0.0
68,iter1,HOBBIES,attrezzo,tool,costumi,3,25822.0
69,iter1,HOBBIES,attrezzo,tool,magliette,4,22472.0
70,iter1,HOBBIES,attrezzo,tool,calzetterie,5,7.0
71,iter1,HOBBIES,attrezzo,tool,gonne,6,25421.0
72,iter1,HOBBIES,attrezzo,tool,giacche,7,32332.0
73,iter1,HOBBIES,attrezzo,tool,parrucche,8,11783.0
74,iter1,HOBBIES,attrezzo,tool,ciambelle,9,13653.0
75,iter1,HOBBIES,attrezzo,tool,guanti,10,26394.0
76,iter1,HOBBIES,attrezzo,tool,stivali,11,23721.0
77,iter1,VEHICLES,autobus,bus,autobus comune,1,7.0
78,iter1,VEHICLES,autobus,bus,autobus express,2,83.0
79,iter1,VEHICLES,autobus,bus,autobus speciale,3,77.0
80,iter1,VEHICLES,autobus,bus,autobus notturno,4,34.0
81,iter1,VEHICLES,autobus,bus,minibus,5,11863.0
82,iter1,VEHICLES,autobus,bus,bus rapido,6,25.0
83,iter1,VEHICLES,autobus,bus,bus per disabilitati,7,0.0
84,iter1,VEHICLES,autobus,bus,bus per animali,8,0.0
85,iter1,VEHICLES,autobus,bus,bus per pendolari,9,6.0
86,iter1,VEHICLES,autobus,bus,autobus turistico,10,92.0
87,iter1,VEHICLES,autobus,bus,autobus per eventi,11,5.0
88,iter1,VEHICLES,autobus,bus,autobus scuolaro,12,0.0
89,iter1,VEHICLES,automobile,car,carro,1,245809.0
90,iter1,VEHICLES,automobile,car,furgoncino,2,11465.0
91,iter1,VEHICLES,automobile,car,minivan,3,7935.0
92,iter1,VEHICLES,automobile,car,monoposto,4,11896.0
93,iter1,VEHICLES,automobile,car,motociclo,5,16769.0
94,iter1,VEHICLES,automobile,car,autobus,6,331938.0
95,iter1,VEHICLES,automobile,car,taxi,7,16427.0
96,iter1,HOUSING BUILDINGS,bagno,bathroom,piscina,1,15193.0
97,iter1,HOUSING BUILDINGS,bagno,bathroom,jacuzzi,2,17613.0
98,iter1,HOUSING BUILDINGS,bagno,bathroom,bagno da bagni,3,0.0
99,iter1,HOUSING BUILDINGS,bagno,bathroom,sbocatiera da bagni,4,0.0
100,iter1,HOUSING BUILDINGS,bagno,bathroom,colonne termali,5,0.0
101,iter1,HOUSING BUILDINGS,bagno,bathroom,sauna,6,19389.0
102,iter1,HOUSING BUILDINGS,balcone,balcony,patio,1,24642.0
103,iter1,HOUSING BUILDINGS,balcone,balcony,veranda,2,20922.0
104,iter1,HOUSING BUILDINGS,balcone,balcony,loggia,3,17598.0
105,iter1,PLANTS,basilico,basil,pesto alla genovese,1,78.0
106,iter1,PLANTS,basilico,basil,lettuce di basilico,2,0.0
107,iter1,PLANTS,basilico,basil,bruschetta,3,11692.0
108,iter1,PLANTS,basilico,basil,caprese,4,12355.0
109,iter1,PLANTS,basilico,basil,calzone di mozzarella e basilico,5,0.0
110,iter1,PLANTS,basilico,basil,fettuccine al pesto,6,20.0
111,iter1,KITCHENWARE,bicchiere,glass,vasello,1,237.0
112,iter1,KITCHENWARE,bicchiere,glass,tazza,2,18646.0
113,iter1,KITCHENWARE,bicchiere,glass,coppa,3,20005.0
114,iter1,KITCHENWARE,bicchiere,glass,calice,4,15162.0
115,iter1,KITCHENWARE,bicchiere,glass,goblet,5,288.0
116,iter1,KITCHENWARE,bicchiere,glass,chalice,6,848.0
117,iter1,VEHICLES,bicicletta,bicycle,bicicletta,1,18803.0
118,iter1,BODY PARTS,bocca,mouth,cannello,1,4431.0
119,iter1,BODY PARTS,bocca,mouth,tazza,2,18646.0
120,iter1,BODY PARTS,bocca,mouth,vaso,3,16519.0
121,iter1,BODY PARTS,bocca,mouth,vase,4,948.0
122,iter1,BODY PARTS,bocca,mouth,piatto,5,15552.0
123,iter1,BODY PARTS,bocca,mouth,ladrillo,6,44.0
124,iter1,BODY PARTS,bocca,mouth,tavolino,7,29070.0
125,iter1,BODY PARTS,bocca,mouth,tavoletta,8,14951.0
126,iter1,BODY PARTS,braccio,arm,artifizio,1,7775.0
127,iter1,BODY PARTS,braccio,arm,prostetica,2,232.0
128,iter1,BODY PARTS,braccio,arm,limb,3,758.0
129,iter1,PLANTS,cactus,cactus,cactus rosso,1,10.0
130,iter1,PLANTS,cactus,cactus,cactus azzurro,2,3.0
131,iter1,PLANTS,cactus,cactus,cactus bianco,3,9.0
132,iter1,CLOTHES,calza,sock,bikini,1,18428.0
133,iter1,HOUSING BUILDINGS,camera,bedroom,dschaer,1,0.0
134,iter1,HOUSING BUILDINGS,camera,bedroom,fotocamera,2,23184.0
135,iter1,HOUSING BUILDINGS,camera,bedroom,webcam,3,19007.0
136,iter1,HOUSING BUILDINGS,camera,bedroom,telecamera,4,26326.0
137,iter1,HOUSING BUILDINGS,camera,bedroom,nikkon,5,40.0
138,iter1,HOUSING BUILDINGS,camera,bedroom,canon,6,21785.0
139,iter1,CLOTHES,camicia,shirt,camiciadipiedi,1,0.0
140,iter1,CLOTHES,camicia,shirt,camiciabianchi,2,0.0
141,iter1,CLOTHES,camicia,shirt,camiciavelati,3,0.0
142,iter1,CLOTHES,camicia,shirt,camiciadomestici,4,0.0
143,iter1,VEHICLES,camion,truck,pensione,1,15849.0
144,iter1,VEHICLES,camion,truck,tratturia,2,3.0
145,iter1,VEHICLES,camion,truck,azzurra,3,19245.0
146,iter1,VEHICLES,camion,truck,camioncino,4,9300.0
147,iter1,VEHICLES,camion,truck,fiat,5,23443.0
148,iter1,VEHICLES,camion,truck,bennecco,6,0.0
149,iter1,VEHICLES,camion,truck,iveco,7,19805.0
150,iter1,VEHICLES,camion,truck,renault,8,23641.0
151,iter1,VEHICLES,camion,truck,scania,9,5943.0
152,iter1,VEHICLES,camion,truck,mercedes-benz,10,22392.0
153,iter1,VEHICLES,camion,truck,volvo,11,23025.0
154,iter1,VEHICLES,camion,truck,scuderia eco,12,1.0
155,iter1,VEHICLES,camion,truck,gator,13,790.0
156,iter1,VEHICLES,camion,truck,kamaz,14,492.0
157,iter1,VEHICLES,camion,truck,freetrailer,15,0.0
158,iter1,VEHICLES,camion,truck,carrefour,16,17605.0
159,iter1,VEHICLES,camion,truck,hino,17,952.0
160,iter1,VEHICLES,camion,truck,isuzu,18,2120.0
161,iter1,VEHICLES,camion,truck,mack,19,7838.0
162,iter1,VEHICLES,camion,truck,ural,20,1800.0
163,iter1,VEHICLES,camion,truck,volvo fh,21,251.0
164,iter1,VEHICLES,camion,truck,volvo fm,22,29.0
165,iter1,VEHICLES,camion,truck,volvo a40,23,0.0
166,iter1,VEHICLES,camion,truck,daf,24,5510.0
167,iter1,VEHICLES,camion,truck,ermaks,25,0.0
168,iter1,VEHICLES,camion,truck,man,26,14850.0
169,iter1,VEHICLES,camion,truck,man tg,27,6.0
170,iter1,VEHICLES,camion,truck,man tgs,28,56.0
171,iter1,VEHICLES,camion,truck,man a40,29,0.0
172,iter1,VEHICLES,camion,truck,man tga,30,56.0
173,iter1,VEHICLES,camion,truck,man aro,31,0.0
174,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro a cinto,1,0.0
175,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro gotico,2,4.0
176,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro a colonne,3,0.0
177,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro ad ali,4,0.0
178,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro a maniche,5,0.0
179,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da tavolo,6,1.0
180,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da mensa,7,4.0
181,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da commenda,8,0.0
182,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da festa,9,0.0
183,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da chiesa,10,3.0
184,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da teatro,11,0.0
185,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da cenacolo,12,0.0
186,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da giardino,13,0.0
187,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da giorno,14,0.0
188,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da notte,15,0.0
189,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da bagno,16,0.0
190,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candelabro da bar,17,0.0
191,iter1,FURNISHINGS/FITTINGS,candelabro,candelabrum,candel,18,103.0
192,iter1,ANIMALS,cane,dog,lupo,1,18769.0
193,iter1,ANIMALS,cane,dog,leopardo,2,15462.0
194,iter1,ANIMALS,cane,dog,kanguru,3,83.0
195,iter1,ANIMALS,cane,dog,elefante africano,4,150.0
196,iter1,ANIMALS,cane,dog,cammello dromedario,5,24.0
197,iter1,CLOTHES,canottiera,singlet,canottiera da bagno,1,0.0
198,iter1,CLOTHES,canottiera,singlet,canottiera da vasche,2,0.0
199,iter1,CLOTHES,canottiera,singlet,canottiera da piscina,3,0.0
200,iter1,CLOTHES,canottiera,singlet,canottiera da palestra,4,1.0
201,iter1,CLOTHES,canottiera,singlet,canottiera da giardino,5,0.0
202,iter1,BODY PARTS,capello,hair,cappello di feltro,1,21.0
203,iter1,BODY PARTS,capello,hair,cappello di tela,2,20.0
204,iter1,BODY PARTS,capello,hair,cappello di velluto,3,20.0
205,iter1,BODY PARTS,capello,hair,cappello di gomma,4,3.0
206,iter1,BODY PARTS,capello,hair,cappello di panno,5,20.0
207,iter1,BODY PARTS,capello,hair,cappello di paglia,6,73.0
208,iter1,BODY PARTS,capello,hair,cappellone,7,3578.0
209,iter1,BODY PARTS,capello,hair,cappellino,8,11911.0
210,iter1,BODY PARTS,capello,hair,cappellaccio,9,3750.0
211,iter1,BODY PARTS,capello,hair,cappello berretto,10,33.0
212,iter1,BODY PARTS,capello,hair,cappotto,11,11091.0
213,iter1,BODY PARTS,capello,hair,cappuccio,12,13089.0
214,iter1,CLOTHES,cappello,hat,berretto,1,18675.0
215,iter1,CLOTHES,cappello,hat,fettuccia,2,11263.0
216,iter1,CLOTHES,cappello,hat,parigi,3,27169.0
217,iter1,CLOTHES,cappello,hat,casaca,4,259.0
218,iter1,CLOTHES,cappello,hat,balestro,5,454.0
219,iter1,CLOTHES,cappello,hat,cappellino,6,11911.0
220,iter1,CLOTHES,cappotto,coat,,1,0.0
221,iter1,FOODS,carne,meat,aniturista,1,0.0
222,iter1,FOODS,carne,meat,carniceonda,2,0.0
223,iter1,FOODS,carne,meat,carneforna,3,0.0
224,iter1,FOODS,carne,meat,vegetariano,4,24213.0
225,iter1,FOODS,carne,meat,pesceforna,5,0.0
226,iter1,FOODS,carne,meat,vegano,6,17144.0
227,iter1,VEHICLES,carrozza,carriage,autobus,1,331938.0
228,iter1,VEHICLES,carrozza,carriage,aereo,2,962449.0
229,iter1,HOBBIES,carte,cards,tarocchi,1,31303.0
230,iter1,HOBBIES,carte,cards,mazzeri,2,329.0
231,iter1,HOBBIES,carte,cards,deck di tarocchi,3,1.0
232,iter1,HOBBIES,carte,cards,barocche,4,17414.0
233,iter1,HOBBIES,carte,cards,briscola,5,10885.0
234,iter1,HOBBIES,carte,cards,treffle,6,0.0
235,iter1,HOBBIES,carte,cards,ase di treffle,7,0.0
236,iter1,FURNITURE,cassettiera,chest of drawers,pneumatic,1,494.0
237,iter1,FURNITURE,cassettiera,chest of drawers,fiat,2,23443.0
238,iter1,FURNITURE,cassettiera,chest of drawers,ferrari,3,30160.0
239,iter1,FURNITURE,cassettiera,chest of drawers,maserati,4,17347.0
240,iter1,FURNITURE,cassettiera,chest of drawers,fuso,5,21284.0
241,iter1,FURNITURE,cassettiera,chest of drawers,pirelli,6,23132.0
242,iter1,FURNITURE,cassettiera,chest of drawers,enel,7,25239.0
243,iter1,FURNITURE,cassettiera,chest of drawers,banco di roma,8,100.0
244,iter1,FURNITURE,cassettiera,chest of drawers,credito italiano,9,21.0
245,iter1,FURNITURE,cassettiera,chest of drawers,intesa sanpaolo,10,2410.0
246,iter1,FURNITURE,cassettiera,chest of drawers,unicredit,11,27225.0
247,iter1,FURNITURE,cassettiera,chest of drawers,bnl,12,24848.0
248,iter1,FURNITURE,cassettiera,chest of drawers,amalgamated,13,160.0
249,iter1,FURNITURE,cassettiera,chest of drawers,ras,14,23080.0
250,iter1,FURNITURE,cassettiera,chest of drawers,poste italiane,15,3532.0
251,iter1,FURNITURE,cassettiera,chest of drawers,enel x,16,64.0
252,iter1,FURNITURE,cassettiera,chest of drawers,shell,17,16003.0
253,iter1,FURNITURE,cassettiera,chest of drawers,santander,18,12110.0
254,iter1,FURNITURE,cassettiera,chest of drawers,enel oil services,19,0.0
255,iter1,FURNITURE,cassettiera,chest of drawers,gazprom,20,10189.0
256,iter1,FURNITURE,cassettiera,chest of drawers,exxon,21,4699.0
257,iter1,FURNITURE,cassettiera,chest of drawers,chevron,22,5874.0
258,iter1,FURNITURE,cassettiera,chest of drawers,bp,23,17487.0
259,iter1,FURNITURE,cassettiera,chest of drawers,royal dutch shell,24,276.0
260,iter1,ANIMALS,cavallo,horse,trotto,1,12419.0
261,iter1,HOBBIES,cd,CD,compact disc,1,4640.0
262,iter1,HOBBIES,cd,CD,cd-rom,2,24137.0
263,iter1,HOBBIES,cd,CD,cd-r,3,3166.0
264,iter1,HOBBIES,cd,CD,cd-rw,4,1240.0
265,iter1,HOBBIES,cd,CD,jewelcase,5,35.0
266,iter1,HOBBIES,cd,CD,digipack,6,1899.0
267,iter1,HOBBIES,cd,CD,album,7,14696.0
268,iter1,HOBBIES,cd,CD,single,8,17892.0
269,iter1,HOBBIES,cd,CD,maxi single,9,60.0
270,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,barbecue,1,19258.0
271,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,grill,2,10472.0
272,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,stovetop,3,31.0
273,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,induction cooktop,4,2.0
274,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,tea kettle,5,9.0
275,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,waffle maker,6,26.0
276,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,crepe pan,7,0.0
277,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,panini grill,8,8.0
278,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,steam kettle,9,0.0
279,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,rice cooker,10,60.0
280,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,hot plate,11,62.0
281,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,charcoal grill,12,29.0
282,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,camping stove,13,0.0
283,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,burning barbeque,14,0.0
284,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,wood stove,15,11.0
285,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,electric grill,16,2.0
286,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,electric skillet,17,0.0
287,iter1,FURNISHINGS/FITTINGS,centrotavola,centerpiece,tofu cooker,18,0.0
288,iter1,FOODS,cereale,cereal,farro,1,22777.0
289,iter1,FOODS,cereale,cereal,mais,2,15458.0
290,iter1,FOODS,cereale,cereal,riso,3,363062.0
291,iter1,FOODS,cereale,cereal,maischio,4,0.0
292,iter1,FOODS,cereale,cereal,orzo,5,17095.0
293,iter1,FOODS,cereale,cereal,frumento,6,20420.0
294,iter1,FOODS,cereale,cereal,semola,7,18934.0
295,iter1,FOODS,cereale,cereal,soia,8,21008.0
296,iter1,FOODS,cereale,cereal,granturco,9,6877.0
297,iter1,FOODS,cereale,cereal,latticello,10,3611.0
298,iter1,FOODS,cereale,cereal,grano saraceno,11,1125.0
299,iter1,FOODS,cereale,cereal,avena,12,12463.0
300,iter1,FOODS,cereale,cereal,mais cotto,13,119.0
301,iter1,BODY PARTS,cervello,brain,cerebro,1,1651.0
302,iter1,BODY PARTS,cervello,brain,neocortex,2,136.0
303,iter1,BODY PARTS,cervello,brain,corteccia,3,16422.0
304,iter1,BODY PARTS,cervello,brain,limbico,4,4453.0
305,iter1,BODY PARTS,cervello,brain,hippocampo,5,12.0
306,iter1,BODY PARTS,cervello,brain,cingiolo,6,0.0
307,iter1,HOBBIES,chitarra,guitar,archtop,1,582.0
308,iter1,HOBBIES,chitarra,guitar,basso,2,20209.0
309,iter1,HOBBIES,chitarra,guitar,chitarra elettrica,3,21649.0
310,iter1,HOBBIES,chitarra,guitar,chitarra acustica,4,1024.0
311,iter1,HOBBIES,chitarra,guitar,chitarra classica,5,518.0
312,iter1,HOBBIES,chitarra,guitar,chitarra metal,6,136.0
313,iter1,HOBBIES,chitarra,guitar,chitarra pedal,7,29.0
314,iter1,HOBBIES,chitarra,guitar,chitarra solista,8,253.0
315,iter1,HOBBIES,chitarra,guitar,chitarra telecaster,9,24.0
316,iter1,HOBBIES,chitarra,guitar,chitarra telecaster custom color,10,0.0
317,iter1,HOBBIES,chitarra,guitar,chitarra telecaster custom pickup configuration,11,0.0
318,iter1,HOBBIES,chitarra,guitar,chitarra telecaster deluxe,12,0.0
319,iter1,HOBBIES,chitarra,guitar,chitarra telecaster vintage model,13,0.0
320,iter1,PLANTS,ciclamino,cyclamen,accumulatore da scooter,1,0.0
321,iter1,PLANTS,ciclamino,cyclamen,accu da motociclo,2,0.0
322,iter1,PLANTS,ciclamino,cyclamen,batt utente,3,0.0
323,iter1,PLANTS,ciclamino,cyclamen,batteria da laptop,4,4.0
324,iter1,PLANTS,ciclamino,cyclamen,pile da moto,5,1.0
325,iter1,PLANTS,ciclamino,cyclamen,pile da cellulare,6,0.0
326,iter1,PLANTS,ciclamino,cyclamen,pile da elettrodomestico,7,0.0
327,iter1,PLANTS,ciclamino,cyclamen,pile da foto,8,0.0
328,iter1,PLANTS,ciclamino,cyclamen,pile da sospensione d'aria a casa,9,0.0
329,iter1,PLANTS,ciliegio,cherry tree,ciliegio domestico,1,3.0
330,iter1,PLANTS,ciliegio,cherry tree,cilindrinata,2,0.0
331,iter1,PLANTS,ciliegio,cherry tree,alfine,3,9642.0
332,iter1,PLANTS,ciliegio,cherry tree,cilindretta,4,0.0
333,iter1,FOODS,cioccolato,chocolate,latte,1,17038.0
334,iter1,FOODS,cioccolato,chocolate,caffè,2,17465.0
335,iter1,FOODS,cioccolato,chocolate,gelato,3,16868.0
336,iter1,FOODS,cioccolato,chocolate,muffole,4,669.0
337,iter1,FOODS,cioccolato,chocolate,cioccolato caldo,5,29.0
338,iter1,FOODS,cioccolato,chocolate,barolo,6,26496.0
339,iter1,STATIONERY,colla,glue,pizzo,1,21558.0
340,iter1,STATIONERY,colla,glue,zig-zag,2,7820.0
341,iter1,STATIONERY,colla,glue,colla a spazzolino,3,0.0
342,iter1,STATIONERY,colla,glue,colla a spazzolino a spatola,4,0.0
343,iter1,STATIONERY,colla,glue,colla a spazzolino da barba,5,0.0
344,iter1,STATIONERY,colla,glue,colla adesiva,6,124.0
345,iter1,STATIONERY,colla,glue,colla a colla,7,9.0
346,iter1,STATIONERY,colla,glue,colla ad occhio,8,0.0
347,iter1,STATIONERY,colla,glue,colla a lama,9,0.0
348,iter1,STATIONERY,colla,glue,colla a vernice,10,0.0
349,iter1,STATIONERY,colla,glue,colla a vite,11,1.0
350,iter1,STATIONERY,colla,glue,colla a spumarico,12,0.0
351,iter1,STATIONERY,colla,glue,colla da barba a spazzolino,13,0.0
352,iter1,STATIONERY,colla,glue,colla inchiesta,14,2.0
353,iter1,STATIONERY,colla,glue,colla in colla,15,21.0
354,iter1,STATIONERY,colla,glue,colla di ceramica,16,1.0
355,iter1,STATIONERY,colla,glue,colla di legno,17,5.0
356,iter1,STATIONERY,colla,glue,colla di metallo,18,1.0
357,iter1,STATIONERY,colla,glue,colla di carta,19,0.0
358,iter1,STATIONERY,colla,glue,colla di cuoio,20,1.0
359,iter1,BODY PARTS,collo,neck,cingino,1,167.0
360,iter1,BODY PARTS,collo,neck,collana,2,15161.0
361,iter1,BODY PARTS,collo,neck,collare,3,18046.0
362,iter1,BODY PARTS,collo,neck,conchiglia,4,14541.0
363,iter1,BODY PARTS,collo,neck,cornale,5,729.0
364,iter1,BODY PARTS,collo,neck,ossicino,6,3287.0
365,iter1,HOUSING BUILDINGS,colonna,column,colonna di legno,1,20.0
366,iter1,HOUSING BUILDINGS,colonna,column,colonna di ferro,2,21.0
367,iter1,HOUSING BUILDINGS,colonna,column,colonna di marmo,3,23.0
368,iter1,HOUSING BUILDINGS,colonna,column,colonna di pietra,4,22.0
369,iter1,HOUSING BUILDINGS,colonna,column,colonna di cemento,5,23.0
370,iter1,HOUSING BUILDINGS,colonna,column,colonna di vetro,6,20.0
371,iter1,HOUSING BUILDINGS,colonna,column,colonna di acciaio,7,24.0
372,iter1,HOUSING BUILDINGS,colonna,column,colonna di cemento armato,8,20.0
373,iter1,HOUSING BUILDINGS,colonna,column,colonna di metallo leggero,9,0.0
374,iter1,KITCHENWARE,coltello,knife,coltellina,1,51.0
375,iter1,KITCHENWARE,coltello,knife,coltello da cucina,2,103.0
376,iter1,KITCHENWARE,coltello,knife,coltello da cucina grande,3,3.0
377,iter1,KITCHENWARE,coltello,knife,coltello da pesce,4,29.0
378,iter1,KITCHENWARE,coltello,knife,coltello da macinaccio,5,0.0
379,iter1,KITCHENWARE,coltello,knife,coltello da segare,6,0.0
380,iter1,KITCHENWARE,coltello,knife,coltello da frullatore,7,0.0
381,iter1,KITCHENWARE,coltello,knife,coltello da faloria,8,0.0
382,iter1,FURNITURE,comodino,bedside table,frullatore,1,24713.0
383,iter1,FURNITURE,comodino,bedside table,aspirapolvere,2,33259.0
384,iter1,FURNITURE,comodino,bedside table,tostapance,3,0.0
385,iter1,FURNITURE,comodino,bedside table,lavatrice,4,131287.0
386,iter1,FURNITURE,comodino,bedside table,microonde,5,20211.0
387,iter1,HOBBIES,computer,computer,personal computer,1,1622.0
388,iter1,HOBBIES,computer,computer,laptrop,2,0.0
389,iter1,HOBBIES,computer,computer,tablet,3,23900.0
390,iter1,HOBBIES,computer,computer,desktop,4,17977.0
391,iter1,HOBBIES,computer,computer,smartphone,5,16969.0
392,iter1,HOBBIES,computer,computer,smartwatch,6,19260.0
393,iter1,HOBBIES,computer,computer,server,7,17302.0
394,iter1,HOBBIES,computer,computer,mainframe,8,5664.0
395,iter1,HOBBIES,computer,computer,notebook,9,16042.0
396,iter1,HOBBIES,computer,computer,pc portatile,10,360.0
397,iter1,FURNITURE,comò,dresser,manuale,1,647195.0
398,iter1,FURNITURE,comò,dresser,manuale,2,647195.0
399,iter1,FURNITURE,comò,dresser,manuale,3,647195.0
400,iter1,FURNITURE,comò,dresser,manuale,4,647195.0
401,iter1,FURNITURE,comò,dresser,manuale,5,647195.0
402,iter1,FURNITURE,comò,dresser,manuale,6,647195.0
403,iter1,FURNITURE,comò,dresser,manuale,7,647195.0
