category,concept,human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
kitchenware,bicchiere,calice,bicchiere da acqua,bicchiere da digestivo,bicchiere da acqua,bicchiere da cocktail,bicchiere da acqua,calice,bicchiere da acqua,wine glass,bottiglia,tazza
kitchenware,bicchiere,flute,bicchiere da caffè,bicchiere da acqua,bicchiere da cocktail,bicchiere da caffè,bicchiere da birra,coppa,bicchiere da birra,tazzina,bicchiere per acqua,bicchiere per vino
kitchenware,bicchiere,bicchiere da vino,tazza,bicchiere da birra,bicchiere per smoothie,bicchiere da long drink,bicchiere da caffè,bicchiere da cocktail,bicchiere da latte,goblet,bicchiere per latte,bicchiere di vetro
vehicles,bicicletta,bicicletta elettrica,mountain bike,bicicletta da corsa,mountain bike,city bike,montagna bicicletta,mountain bike,mountain bike,biciclo,mountain bike,bicicletta per bambini
vehicles,bicicletta,mountain bike,bici da corsa,bicicletta da strada,bicicletta da strada,touring bike,road bike,bicicletta elettrica,bicicletta da strada,biciclette da strada,road bike,bicicletta da montagna
vehicles,bicicletta,bicicletta da corsa,bici pieghevole,bicicletta da corsa su pista,bicicletta da corsa,bmx bike,montagna,bici da bmx,biciclo,biciclette da cross,bicicletta in bicicletta,bicicletta a due ruote
vehicles,bicicletta,bicicletta da città,bici elettrica,bicicletta da corsa su strada,bicicletta da pista,cargo bike,bicicletta da corsa,monociclo,e-bike,biciclette da mtb,pedale,bicicletta da turismo
vehicles,bicicletta,tandem,bici da turismo,bicicletta da città,bicicletta a due ruote,recumbent bike,bicicletta da gravel,bici da triathlon,fixie,bicicletta da strada,hybrid bike,bicicletta da mountain bike
body parts,bocca,bocca carnosa,bocca umana,labbra,labbra,bocca umana,bocca di un cannone,bocca umana,bocca di leone,labbra,mascella,lingua
body parts,bocca,bocca sottile,bocca di lupo,bocca di caverna,naso,bocca di un uccello,bocca di un vaso,labbra,bocca di cavallo,gengive,lingua,labbra
body parts,bocca,bocca larga,bocca di una caverna,bocca di fiume,denti,bocca di un rettile,bocca di un microfono,bocca di un fiume,bocca di cane,denti,denti,denti
body parts,bocca,bocca grande,bocca di un fiume,bocca di grotta,lingua,bocca artificiale,bocca di un tubo,bocca di un vulcano,bocca umana,bocca umana,labbro,bocca intera
body parts,bocca,bocca piccola,bocca di una bottiglia,bocca umana,orecchie,b,bocca di un cratere,bocca di un camino,bocca di gatto,mascella,bocca superiore,labbro superiore
body parts,braccio,braccio meccanico,braccio meccanico,braccio umano,braccio umano,arti superiori,braccio umano,braccio robotico,braccio umano,braccio umano,braccio umano,braccio destro
body parts,braccio,braccio muscoloso,braccio umano,braccio meccanico,braccio di una struttura,braccio meccanico,braccio robotico,braccio umano,braccio di gomma,braccio di un robot,braccio destro,braccio sinistro
body parts,braccio,braccio umano,braccio artificiale,braccio destro,braccio di una macchina,protesi del braccio,braccio artificiale,braccio artificiale,braccio di plastica,braccio di robot,braccio robotico,braccio umano
body parts,braccio,braccio lungo,braccio di una croce,braccio robotico,braccio di un albero,braccio di una gru,braccio di banca,braccio meccanico,braccio artificiale,braccio di mostro,braccio giunto,artiglio
body parts,braccio,braccio corto,braccio di un fiume,braccio di un robot,,muscoli del braccio,braccio di orologio,braccio di una gru,braccio robotico,braccio di scimmia,braccio sinistro,braccio prostetico
plants,cactus,fico d' india,mammillaria,cactus spinoso,aloe vera,saguaro,barrel cactus,cactus di natale,aloe vera,cactus rosso,agave,cactus rosso
plants,cactus,cactus del deserto,melocactus,cereus,aloe,barile,san pedro cactus,cactus comune,succulenta,pianta succulenta,cactaceae,cactus verde
clothes,calza,calza a rete,autoreggente,calza da uomo,guanti,calza da neve,calzino,calza di seta,pantaloni,calze nere,sandalia,calzino
clothes,calza,calzino,da running,calza di cotone,calzini,calza da running,socks,calza corta,calzini,calza nera,stivali,calzature
clothes,calza,fantasmino,da sci,calza sportiva,camicia,calza da tennis,calze da letto,calza di cotone,scarpe,calzino,calza da running,calza nera
clothes,calza,calza lunga,da donna,calze da ginnastica,cappello,calza da basket,calze da costume,calza di spugna,calzini da letto,calzino rosso,sandale,calza da ginnastica
clothes,calza,collant,da ciclismo,calza di lana,scarpe,calza a compressione,calze da sport,calza di lana,calze da lavoro,calzino nero,scarpa,calza arancio
housing buildings,camera,camera da letto,camera da letto,camera da letto,camera da letto,camera da letto,camera fotografica,camera da letto,fotocamera,letto,dslr,fotocamera
housing buildings,camera,cucina,da letto,camera di controllo,camera da studio,camera oscura,box camera,camera di sicurezza,telecamera,cuscino,fotocamera,video camera
housing buildings,camera,bagno,camera oscura,camera di ripresa,camera da bagno,camera blindata,camera digitale,camera degli ospiti,dslr,lampada,nikon,camera fotografica
housing buildings,camera,camera singola,camera di equilibrio,camera di proiezione,camera da pranzo,camera di combustione,camera da sorveglianza,camera da gioco,video camera,tavolo,digital camera,telecamera
housing buildings,camera,camera oscura,camera iperbarica,camera di sicurezza,camera da lavoro,camera di decompressione,camera obiettivo,camera di compressione,camera di sicurezza,guardaroba,mirrorless camera,cctv
clothes,camicia,camicia hawaiana,camicia a maniche corte,polo,polo,abbottonata,camicia da notte,camicia a maniche lunghe,camicia di seta,camicia da uomo,camicia da uomo,maglia
clothes,camicia,camicia coreana,camicia a righe,camicia a maniche lunghe,maglia,camicia formale,camicia da lavoro,camicia oxford,camicia di cotone,camicia da lavoro,camicia bianca,giubbino
clothes,camicia,camicia a maniche lunghe,camicia da notte,camicia da notte,camicia a maniche lunghe,camicia da uomo,camicia a collo alto,camicia a maniche corte,camicia da letto,camicia da spiaggia,camicia da donna,giacca
clothes,camicia,camicia a maniche corte,camicia a quadri,camicia a maniche corte,camicia da tennis,camicia da donna,camisetta,camicia da uomo,camicia di lino,camicia da sposa,camicia da lavoro,giubba
clothes,camicia,camicia di cotone,camicia a pois,camicia da sposa,camicia da ballo,a maniche corte,camicia da sposa,camicia button-down,camicia da lavoro,camicia da polo,camicia maschile,polo
vehicles,camion,furgone,autocarro,autocarro,camion di pompaggio,camion da costruzione,camion cisterna,autocarro,camioncino,camion cisterna,camioncino,camioncino
vehicles,camion,autocarro,camion con gru,autocisterna,camion di trasporto,camion frigorifero,camion da cantiere,camion dei pompieri,camion cisterna,camion di carico,pickup,volvo fh
vehicles,camion,tir,camion gru,camion cisterna,autocarro,camion dei pompieri,camion frigorifero,autocarro militare,camion da trasporto,camion raccoglitore,camioncino di trasporto,man tg
vehicles,camion,autotreno,camion pompa,autocarro da carico,camioncino,autocarro,camion ambulanza,autocarro portacontainer,camioncino da lavoro,camion pneumatico,cargo,camion autotrasporto
vehicles,camion,camion con rimorchio,camion trattore,furgone,camion elettrico,trattore stradale,camion merce,autocarro ribaltabile,camion cisterna di acqua,camion meccanico,dump,
furnishings/fittings,candelabro,candelabro a tre bracci,candelabro da tavolo,candelabro a stelo,candelabro a cera,candelabro da tavolo,candelabro classico,candelabro da tavolo,candela,candeliera,candelabro di cristallo,candelabro a trecce
furnishings/fittings,candelabro,candelabro ebraico,candelabro a sospensione,candelabro a tre bracci,candelabro elettrico,candelabro a braccia,candelabro di cristallo,candelabro a muro,lampada da tavolo,,sconto,
furnishings/fittings,candelabro,candelabro a due bracci,candelabro da terra,candelabro a tre braccia,candelabro a gas,candelabro elettrico,candelabro di legno,candelabro a braccio,lampada da muro,,candelabro di bronzo,
furnishings/fittings,candelabro,candelabro da tavolo,candelabro da parete,candelabro a stella,,candelabro a colonna,candelabro di bronzo,candelabro da pavimento,lampada da soffitta,,candelabro a tre braccia,
furnishings/fittings,candelabro,candelabro in oro,candelabro a 5 bracci,candelabro a quattro braccia,,candelabro moderno,candelabro di vetro,candelabro da parete,lampada da tavolino,,candelabro di pietra,
animals,cane,labrador,pastore tedesco,bulldog,pastore tedesco,alano,razza basset hound,pastore tedesco,cane da pastore,golden retriever,bulldog,labrador
animals,cane,pastore tedesco,segugio,pastore tedesco,bulldog,pastore tedesco,razza bulldog,golden retriever,cane da caccia,labrador retriever,pug,cane da caccia
animals,cane,bassotto,rottweiler,cane da caccia,chihuahua,carlino,razza dachshund,beagle,cane da guardia,dachshund,pitbull,terrier
animals,cane,chihuahua,alano,cane da compagnia,dachshund,labrador,rottweiler,labrador,cane da lavoro,rottweiler,rottweiler,bulldog
animals,cane,golden retriever,dobermann,cane da pastore,pastore,barboncino,bulldog,husky siberiano,cane da compagnia,chihuahua,dobermann,pug
clothes,canottiera,canottiera bianca,canottiera da uomo,canottiera sportiva,canoa,canottiera a maniche corte,canottiera da pesca,canottiera a manica corta,barchetta,canottieria,canottiera a maniche lunghe,canottiera sportiva
clothes,canottiera,canottiera intima,canottiera da donna,canottiera da allenamento,vela,canottiera termica,canottiera da lavoro,canottiera a maniche corte,barca a vela,barcone,canottiera per uomo,canottiera da lavoro
clothes,canottiera,canottiera senza maniche,canottiera a maniche corte,canottiera da uomo,gondola,canottiera da notte,canottiera da ciclismo,canottiera con spalline,canoa,pallavolo femminile,camicia,canottiera da pesca
clothes,canottiera,canottiera colorata,canottiera a maniche lunghe,canottiera da donna,imbarca,canottiera bianca,canottiera da gara,canottiera a collo alto,sailboat,canoa,canottiera a maniche corte,canottiera da uomo
clothes,canottiera,canottiera di cotone,canottiera classica,canottiera corta,kayak,canottiera colorata,,canottiera con scollo a v,barca a motore,canoa da corsa,sweater,canottiera da donna
body parts,capello,capello riccio,riccio,capello naturale,capelli lunghi,capello liscio,corto,capelli lunghi,cappello,capello lungo,boccoli,baffi
body parts,capello,capello liscio,ricci,capello artificiale,cioccolato,capello riccio,ondulato,capelli castani,berretto,capello corto,lungo,capigliatura
body parts,capello,capello biondo,afro,capello sintetico,cioccolino,capello bianco,capello folle,capelli biondi,barba,capello ondulato,boccolino,boccoli
body parts,capello,capello mosso,ondulato,capello di testa,capelli corti,capello castano,calvo,capello corto,capello di cavallo,capello biondo,capelli corti,capelli lunghi
body parts,capello,capello rosso,crespo,capello biondo,capelli neri,capello corto,liscio,capelli mossi,cuffia,capello castano,ricciolino,capelli corti
clothes,cappello,berretto,basco,cappello da baseball,panama,berretto,berretto,berretto,berretto,beret,berbera,cappello fedora
clothes,cappello,cappello con visiera,cappello a cilindro,cappello da cowboy,berretto,cappello da pescatore,berretta,cappello a cilindro,cappello di feltro,fedora,beretta,berretta
clothes,cappello,fedora,berretto,cappello di paglia,fedora,cappello da cowboy,cappellino,cappello da cowboy,cappello di lana,cowboy hat,cappello da lavoro,cappello di paglia
clothes,cappello,bombetta,panamá,cappello da gatto,sombrero,cappello da sole,cappello da cowboy,cappello a tesa larga,cappellino,top hat,fedora,cappello berbera
clothes,cappello,cappello da cowboy,cappello a tesa larga,cappello da ufficiale,cappello da donna,basco,cappello da sole,cappello di paglia,cappello da corsa,berretto,cappello da baseball,cappello berretta
clothes,cappotto,cappotto lungo,trench,cappotto di pelliccia,giacca,cappotto invernale,cappotto di lana,cappotto lungo,capello,pea coat,cappotto in pelle,giacca
clothes,cappotto,cappotto impermeabile,parka,cappotto di lana,mantello,cappotto da cerimonia,cappotto di pelle,cappotto di pelle,scarpe da neve,piumino,cappotto di cotone,mantello
clothes,cappotto,cappotto corto,cappotto invernale,cappotto di pelle,pelliccia,cappotto di pelle,cappotto di pelliccia,cappotto corto,cappotto di lana,capa,cappotto a collo,classico
clothes,cappotto,cappotto elegante,giaccone,cappotto di velluto,giacca da neve,cappotto imbottito,cappotto di feltro,cappotto di lana,poncho,cappotto pesante,cappotto in tessuto,giubbino
clothes,cappotto,cappotto doppiopetto,cappotto sportivo,cappotto termico,giacca da sci,cappotto leggero,cappotto di denim,cappotto impermeabile,cappotto da neve,cape,cappotto in cotone,gilet
foods,carne,carne di maiale,manzo,manzo,manzo,manzo,manzo,manzo,pollo,pollo,manzo,bovino
foods,carne,carne rossa,carne di manzo,maiale,agnello,vitello,vitello,salame,manzo,manzo,bovino,carne di manzo
foods,carne,carne di pollo,pollo,tacchino,maiale,tacchino,bisonte,tacchino,maiale,maiale,suino,porcino
foods,carne,carne bianca,maiale,pollo,tacchino,cervo,pollo,prosciutto,carne di pollo,vacca,cervo,pesce
foods,carne,carne bovina,vitello,prosciutto,vitello,montone,agnello,pancetta,carne di pesce,pesce,capra,gallina
vehicles,carrozza,calesse,calesse,carrozza ferroviaria,treno,carrozza ferroviaria,carrozza ferroviaria,carrozza ferroviaria,automobile,carrozza a cavallo,carrozza passeggeri,carrozza a quattro ruote
vehicles,carrozza,carrozza a cavalli,berlina,carrozza da guerra,vettura,carrozza letto,carrozza funebre,carrozza da viaggio,treno,carrozza classica,cassa,carrozza a tre ruote
vehicles,carrozza,berlina,coupé,treno,carrozza a cavalli,carrozza ristorante,carrozza da corsa,carrozza da parata,autobus,carrozza a cavalli,vagoni,carrozza a due ruote
vehicles,carrozza,carrozza passeggeri,spider,carrozza da corsa,autobus,carrozza salone,carrozza tranviaria,carrozza da corsa,taxi,carrozza a due piani,carrozza per bambini,carrozza a due piani
vehicles,carrozza,diligenza,phaeton,carrozzone,treno a vapore,carrozza panoramica,carrozza pullman,carrozza trainata da cavalli,autocarro,carrozza a vapore,carrozza merci,
hobbies,carte,carte da gioco,biglietto,carta da regalo,carte di credito,carta igienica,carta da parati,biglietto da visita,tarocchi,tarocchi,carta da gioco,carte da gioco
hobbies,carte,carte napoletane,carta di credito,carta da parati,carta da cucina,carta da forno,carta da gioco,carta di credito,carta da gioco,carte da gioco,carta di credito,carta da gioco
hobbies,carte,carte da poker,biglietto da visita,biglietto,carte di debito,carta da parati,carta da cucina,carta da gioco,carta da parati,carta di credito,carta da cucina,carta bolla
hobbies,carte,carta velina,carta da gioco,banconota,carte di identità,carta assorbente,carta igienica,carta geografica,carta birra,carta da gioco,tarocchi,carta da telefono
hobbies,carte,carta igienica,carte da gioco,carta da lettere,carte di abbonamento,carta da lettere,carta da scrittura,carta igienica,carta da lettera,briscola,carta di debito,carta da visitare
furniture,cassettiera,cassettiera di legno,cassettiera da ufficio,cassettiera da bagno,cassettiera a rotelle,cassettiera da camera da letto,cassettiera per cucina,cassettiera da camera da letto,cassettiera di legno,armadio,sony,cassette
furniture,cassettiera,settimino,cassettiera da cucina,cassettiera a muro,cassettiera a ruote,cassettiera per ufficio,cassettiera da cucina,cassettiera a ponte,cassettiera bianca,armadio a due porte,cd,cassa
furniture,cassettiera,comò,cassettiera da bagno,cassettiera da cucina,cassettiera per cucina,cassettiera da ingresso,cassettiera industriale,cassettiera da ufficio,cassetta,armadio a quattro porte,bose,scaffale
furniture,cassettiera,cassettiera di plastica,cassettiera da notte,cassettone,cassettiera in legno,cassettiera con specchio,cass,cassettiera in legno,frigorifero,armadio a tre porte,samsung,cassetta
furniture,cassettiera,comodino,cassettiera da camera da letto,mobile,cassettiera portatile,cassettiera da bagno,cassettiera per scarpe,cassettiera con cassetti in metallo,cassettiera di plastica,dresser,lg,cassette vhs
animals,cavallo,cavallo da corsa,appaloosa,destriero,cavallo da guerra,quarter horse,cavallo da corsa,purosangue,cavallo da corsa,cavallo da corsa,pony,pony
animals,cavallo,pony,arabo,purosangue,cavallo da lavoro,tennessee walking horse,cavallo da tiro,cavallo da corsa,cavallo da lavoro,pegaso,cavallo domestico,stallione
animals,cavallo,cavallo purosangue,purosangue,bardotto,cavallo da corsa,lipizzano,cavallo da fattoria,arabo,cavallo da tiro,cavallo selvaggio,cavallo da lavoro,cavallo da corsa
animals,cavallo,cavallo bianco,frisone,cavallo da corsa,cavallo da tiro,akhal-teke,cavallo da sella,quarter horse,cavallo da sella,cavallo da equitazione,cavallo da corsa,stallone
animals,cavallo,stallone,quarter horse,cavallo da tiro,destriero,rocky mountain horse,cavallo da esibizione,clydesdale,adriano,cavallo da sella,stallione,cavallo da lavoro
hobbies,cd,cd audio,cd-rom,cd singolo,album,cd audio,compact disc,cd audio,compact disc,cd-r,cd singolo,cd-rom
hobbies,cd,cd-rom,cd+g,cd single,disco,cd-extra,cd audio,cd-rom,cd-r,cd-rw,cd-rom,cd singolo
hobbies,cd,cd musicale,cd audio,cd ep,mixtape,cd-i,cd-text,cd di dati,cd-rom,compact disc,musica,musica
hobbies,cd,cd riscrivibile,cd extra,cd doppio,ep,photocd,cd-rom,cd-r,cd-rw,cd-rom,compact disc,cd box set
hobbies,cd,cd-r,vcd,cd-rom,singolo,cd-text,cd-i,cd-rw,cd singolo,cd-audio,cd box set,cd-single
furnishings/fittings,centrotavola,centrotavola di fiori,vaso,centrotavola in legno,centrotavola in legno,centrotavola floreale,tavolo rotondo,mazzo di fiori,pizzeria,centrotavola con pianta,tavola,tavola
furnishings/fittings,centrotavola,centrotavola con candele,candeliere,centrotavola di vetro,ceramica,centrotavola di candele,tavola rotonda,composizione floreale,centro tavola,tavola,tavola da gioco,tavolino
furnishings/fittings,centrotavola,centrotavola di pizzo,centrotavola di natale,centrotavola di legno,centrotavola in metallo,centrotavola di frutta,tavolo da pranzo,centrotavola di vetro,autobus,tavola di legno,tavola da cucina,tavola piana
furnishings/fittings,centrotavola,centrino,portacenere,centrotavola in ceramica,centrotavola in vetro,centrotavola di caramelle,tavolo da cucina,centrotavola di cristallo,pizza,tavola di vetro,scrivania,tavola di legno
foods,cereale,grano,riso,riso,riso,grano,oatmeal,avena,mais,granola,biscotti,farina
foods,cereale,avena,avena,farro,avena,riso,muesli,frumento,arancia,frullatore,pasta,amido
foods,cereale,farro,grano,kamut,orzo,frumento,chex,orzo,biglietto,pasta di mais,pane,avena
foods,cereale,orzo,farro,mais,quinoa,segale,granola,segale,big ben,frullato,amido,farina integrale
foods,cereale,mais,quinoa,avena,mais,farro,corn flakes,grano,riso,mais,avena,orzo
body parts,cervello,cervello umano,cervello umano,cervello umano,cerebro,cervello umano,cervello umano,neocorteccia,cerebro,cerebro,cerebro,cerebro
body parts,cervello,cervello animale,cervello rettile,cervello di insetto,meningi,cervello artificiale,corteccia cerebrale,cerebello,encefalo,encefalo,pons,midbrain
body parts,cervello,cervello rettiliano,cervello artificiale,cervello di mammifero,encefalo,cervello sano,talamo,talamo,lobi cerebrali,cerebrum,cortex,ponte
hobbies,chitarra,chitarra elettrica,chitarra classica,chitarra acustica,classica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra elettrica
