category,concept,human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
furnishings/fittings,cornice,cornice di legno,cornice per quadri,cornice per foto,cornice per finestre,cornice per foto,cornice pittorica,cornice per quadri,cornice di vetro,cornice di vetro,cornice interna,cornice modulare
furniture,credenza,credenza di legno,armadio,credenza a muro,banca,credenza da cucina,armoire,credenza in stile rustico,armadio,armadio,tavolo,scaffale
hobbies,cruciverba,cruciverba a schema libero,cruciverba classico,acrostico,puzzle,cruciverba classico,puzzola,cruciverba classico,croce di malta,1,*,1
kitchenware,cucchiaio,cucchiaino,cucchiaio da dessert,cucchiaio da tavola,cucchiaio di legno,cucchiaio da tavola,cucchiaio da tavola,cucchiaio da minestra,tazza,tazza,bicchiere,cucchiaio da cucina
housing buildings,cucina,cucina italiana,cucina a gas,cucina in muratura,forno,cucina americana,cucina moderna,fornello,fornace,frullatore,cucina americana,stoviglia
body parts,cuore,cuore anatomico,cuore umano,cuore umano,cuore umano,cuore umano,cuore umano,cuore umano,cuore umano,simbolo del cuore,aorta,ventricolo
furnishings/fittings,cuscino,cuscino in memory foam,cuscino a forma di cuore,cuscino di piuma,cuscino da letto,cuscino da seduta,cuscino da letto,cuscino per il collo,cuscino da letto,cuscino da letto,cuscino da letto,cuscino per letto
animals,delfino,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino bianco,delfino comune,squalo
furniture,divano,divano letto,divano letto,divano letto,divano a due posti,divano letto,divano a due posti,divano a due posti,poltrona,sofa,divano a sedere,divano da letto
plants,edera,edera rampicante,edera comune,edera pendula,edera comune,edera comune,edera comune,hedera helix,edera comune,edera comune,acacia,acacia
animals,elefante,elefante africano,elefante africano,elefante africano,elefante africano,africano,african elephant,elefante africano,elefante africano,elefante africano,elefante africano,elefante africano
vehicles,elicottero,elicottero militare,elicottero leggero,elicottero da trasporto,helicottero,elicottero da turismo,elicottero militare,elicottero da trasporto,elicottero militare,elicottero militare,bell 47,elicottero militare
stationery,evidenziatore,evidenziatore giallo,pastello,evidenziatore a matita,pennarelli,evidenziatore a penna,evidenziatore rosso,evidenziatore giallo,monitor,microfono,marker,penna
clothes,felpa,felpa con cappuccio,felpa con cappuccio,felpa da sci,seta,felpa con cappuccio,felpa usata,felpa con cappuccio,borsa,felpa bianca,birra,jeans
plants,ficus,ficus benjamin,ficus aurea,ficus carica,ficus benghalensis,ficus benjamina,ficus lyrata,ficus benjamina,ficus benjamina,ficus benjamina,ficus benjamina,ficus benjamina
housing buildings,finestra,finestra a una anta,finestra a ghigliottina,finestra a sbarra,finestra di comunicazione,finestra a battente,finestra a vetro singolo,finestra a battente,finestrella,finestra aperta,finestra aperta,porta
furnishings/fittings,fioriera,fioriera in terracotta,vaso,vaso di fiori,vaso,fioriera da interno,vaso fiori,vasi,fioraio,vase,fiori,pianta
stationery,foglio,foglio A4,foglio di carta,carta da parati,carta,foglio di carta,foglio carta,foglio di carta,foglio di carta,foglio di carta,carta,carta
kitchenware,forbice,forbice con punta arrotondata,forbici da cucito,forbici da cucito,forbice da giardino,forbice da giardinaggio,forbice da cucito,forbici da cucina,forbice da taglio,forbice da taglio,forbice da taglio,forbice da taglio
kitchenware,forchetta,forchetta da dolce,forchetta da dessert,forchetta da pesce,forchetta da tavola,forchetta da tavola,forchetta da tavola,forchetta da insalata,forchetta da carne,fork,forchetta da cucina,forchetta da cucina
foods,formaggio,parmigiano,asiago,parmigiano,parmigiano,cheddar,mozzarella,formaggio fresco,mozzarella,gouda,gorgonzola,caciocavallo
furnishings/fittings,fotografia,fotografia in bianco e nero,autoritratto,fotocamera,fotografia a colori,ritratto,fotografia digitale,fotocamera,fotocamera,fotografo,fotocamera,fotografia digitale
foods,frutta,banana,mela,arance,arancia,mela,arancia,mela,arancia,mela,mela,mela
vehicles,furgone,furgone camperizzato,ducato,furgone cargo,autobus,furgone per trasporto merci,furgone pieno,furgone per traslochi,fiat 500,furgone bianco,camioncino,camion
animals,gallo,gallo cedrone,gallo cedrone,gallo cedrone,gallina,gallo domestico,gallo domestico,gallina,gallina,gallina,gallo selvatico,gallina
body parts,gamba,gamba del tavolo,gamba di legno,gamba anteriore,gamba di legno,zampa di animale,gamba destra,gambe umane,braccio,gambe di persona,gamba destra,femorale
animals,gatto,gatto siamese,siamese,gatto domestico,gatto domestico,abissino,bengali,maine coon,gatto domestico,gatto domestico,domestico,gatto domestico
plants,geranio,geranio rosso,geranium maculatum,geranio rosso,fiore,geranio zonale,geranio comune,geranio comune,geranio comune,geraniolo,geranium sanguineum,pelargonium
clothes,giacca,giacca a vento,giacca a vento,giacca da pelle,giacca da uomo,blazer,giacca windbreaker,giacca a vento,giacca da uomo,giacca da uomo,bomber,cardigan
clothes,gilet,doppiopetto,gilet antiproiettile,gilet di pelle,maglia,gilet senza maniche,gilet da caccia,gilet senza maniche,gilet di seta,vestiario,gilet pelle,giacca
hobbies,gioco da tavola,monopoly,monopoli,scacchi,monoposto,monopoly,scacchi,monopoli,scopone,scacchiere,scacchiere,backgammon
hobbies,giornale,giornale quotidiano,quotidiano,corriere,quotidiano,quotidiano,quotidiano,quotidiano,corriere della sera,foglio,corriere della sera,quotidiano
animals,giraffa,giraffa africana,giraffa di rothschild,giraffa maschio,giraffa africana,giraffa reticolata,giraffa africana,giraffa reticulata,giraffa domestica,giraffa cartone,giraffa reticulata,
plants,girasole,girasole giallo,girasole comune,girasole selvatico,solare,girasole comune,girasole comune,girasole comune,girasole coltivato,girasole nero,girasole gigante,
clothes,giubotto,bomber,giubbotto antiproiettile,giubbotto da lavoro,giubotto da donna,giubbotto di pelle,giubbotto da motocicletta,giubbotto di pelle,giubbetto,giubbino,bomber,veste
stationery,gomma,gomma da masticare,da masticare,pneumatico,gomma auto,pneumatico,gomma da masticare,pneumatico,gomma da masticare,gomma da masticare,pneumatico,pneumatico
clothes,gonna,minigonna,minigonna,gonna lunga,gonna lunga,gonna a tubino,going-on,gonna a tubino,gonna be,skirt,vai,andare
stationery,graffetta,graffetta di metallo,graffetta da ufficio,griffa,carta da scrivere,graffetta standard,graffetta da disegno,graffetta a molla,aerosol,grafitti,tag,penna
clothes,guanti,guanti da sci,da sci,guanti da lavoro,guanti da lavoro,guanti da boxe,guanti da cucina,guanti da lavoro,guanti da lavoro,guanti da lavoro,guanti da lavoro,guanti da lavoro
foods,insalata,iceberg,caprese,insalata di pollo,insalata mista,insalata greca,insalata mista,insalata mista,insalata di carote,broccoli,insalata mista,insalata mista
furnishings/fittings,lampada,lampada a led,abat-jour,lampada a incandescenza,lampada da tavolo,lampada da tavolo,lampada standard,lampada alogena,lampada a olio,lampada a led,lampada a incandescenza,lampada a incandescenza
furnishings/fittings,lampadario,lampadario di cristallo,plafoniera,lampadario da soffitto,lampada,a sospensione,lampadario a filo,lampadario a bracci,lampadario a candela,lampada,lampada,chandelier
foods,latte,latte intero,latte di cocco,latte vaccino,latte fresco,latte di mucca,latte fresco,latte intero,latte di latte,caffè latte,latte di vacca,latte fresco
foods,legume,fagioli,fagiolo,fagioli,lenticchie,fagioli,fagioli,patata,fagioli,fagioli,fagioli,fagioli
animals,leone,leone africano,leone asiatico,leone del congo,leone reale,leone masai,leone africano,leone africano,leone di carta,leone reale,leone reale,leonessa
furniture,letto,letto matrimoniale,lettino,letto singolo,divano,letto a una piazza e mezza,letto matrimoniale,letto singolo,letto singolo,letto singolo,romanzo,sofà
hobbies,lettore,lettore cd,lettore cd,lettore di cd,lettore cd,lettore cd,libro,lettore cd,libro,libro,libro,libro
furniture,libreria,libreria a scaffali,biblioteca,libreria da pavimento,scaffale,biblioteca,biblioteca,libreria online,libri,scaffale,libreria di riferimento,libro
hobbies,libro,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,libro aperto,romanzo,libro di testo
animals,lucertola,geco,iguana,lucertola verde,lucertola comune,agama,gecko,lucertola comune,lucertola comune,gecko,gecko,sauriano
clothes,maglia,maglia a maniche corte,maglia a coste,maglia di lana,maglia da donna,maglia a coste,maglia a crochet,maglia a manica corta,maglia da baseball,maglia a strisce,maglia a maniche lunghe,maglia a maniche corte
animals,maiale,maiale nero,cinghiale,maiale nero,maiale selvatico,suino nero casertano,maiale domestico,maiale domestico,maiale selvatico,porchetta,porco,porco
body parts,mano,mano destra,mano destra,mano sinistra,dita,mano destra,mano destra,mano destra,mano destra,mano destra,mano destra,dita
plants,margherita,crisantemo,margherita comune,pizza margherita,pizza margherita,margherita di savoia,margherita pizza,pizza margherita,pizza,fiore di margherita,pizza,pizza
stationery,matita,matita hb,matita a colori,matita da disegno,matita stilografica,matita grafite,matita a olio,matita da disegno,matita a grafite,matita meccanica,bic,
kitchenware,mestolo,mestolo di legno,mestolo forato,mestolo di legno,bicchiere,mestolo in acciaio inossidabile,tazza,mestolo da cucina,tazza,pentola,pittura acrilica,coclea
furnishings/fittings,metro,metro da sartoria,metro quadrato,metro a nastro,metro a mano,metro a nastro,metro lineare,metro lineare,metro aereo,orologio,metropolitana,orologio analogico
plants,mimosa,mimosa gialla,mimosa comune,albero,fiore,mimosa pudica,mimosa pudica,mimosa pudica,mimosa giallo,mimosa sintetica,acacia,
vehicles,motocicletta,scooter,enduro,scooter,scooter,motocicletta da strada,moto cross,scooter,scooter,motociclo,honda,scooter
animals,mucca,mucca da latte,ayrshire,mucca da latte,cavolo,holstein friesian,mucca domestica,vacca,vacca,vacca,bovino,bovino
housing buildings,muro,muro di mattoni,divisorio,muro di cinta,muro di confine,muro di mattoni,muro di cinta,muro di mattoni,muro di pietra,pariete,muro di cemento,parete
body parts,naso,naso aquilino,naso umano,naso umano,naso umano,naso umano,naso umano,naso aquilino,rinoceronte,profumo,ossa nasale,bocca
vehicles,nave,nave da crociera,veliero,nave da guerra,nave da guerra,portaerei,incrociatore,nave da crociera,nave da crociera,nave da crociera,battello,motonave
body parts,occhio,occhio a mandorla,occhio umano,occhio umano,palpebra,occhio umano,occhio umano,occhio di bue,occhio umano,occhio umano,oculo,cornea
plants,orchidea,orchidea bianca,phalaenopsis,dendrobium,fiori,phalaenopsis,orchidea bianca,phalaenopsis,orchideacea,orchidea bianca,phalaenopsis,cattleya
body parts,orecchio,orecchio a sventola,orecchio umano,orecchio umano,orecchio interno,orecchio umano,orecchio esterno,orecchio esterno,orecchio umano,orecchino,orecchio destro,orecchio destro
furnishings/fittings,orologio,orologio da polso,orologio da polso,orologio da polso,orologio da polso,orologio da polso,orologio da tasca,orologio da polso,orologio meccanico,orologio meccanico,orologio analogico,orologio analogico
animals,orso,orso bruno,orso bruno,orso polare,orso grigio,orso polare,orso polare,orso polare,orso polare,orso polare,orso americano,orso bruno
kitchenware,padella,padella antiaderente,padella antiaderente,padella di ghisa,pentola,padella antiaderente,padella da cucina,padella antiaderente,padella da cucina,padella con manico,padella da cucina,padella da cucina
hobbies,palla,palla da calcio,pallone,palla da tennis,pallone,pallone da calcio,pallina da ping pong,palla da calcio,pallina,pallina,palla da calcio,calcio
body parts,pancia,pancia piatta,pancia a botte,pancetta,cappello,stomaco,addome,pancia piatta,ventre,ventre,stomaco,utero
foods,pane,pane integrale,ciabatta,pane integrale,pane integrale,baguette,pane bianco,pane bianco,pane bianco,pane di segale,focaccia,pane integrale
clothes,pantalone,jeans,pantalone a vita alta,pantalone da lavoro,pantaloni da ballo,jeans,pantaloni corti,jeans,calze,jeans,masked man,pantaloni corti
foods,pasta,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti
stationery,pastello,pastello a cera,pastello a olio,pastello a olio,penna,pastello a olio,pastello a olio,pastello a olio,pasta,pennello,pasta,pastello a olio
housing buildings,pavimento,parquet,pavimento in legno,pavimento in legno,pavimento in legno,piastrelle,parquet,parquet,tappeto,tavolo,cemento,pavimento in cemento
stationery,penna,penna a sfera,penna a sfera,penna stilografica,biro,penna a sfera,penna per scrivere,penna a sfera,penna a sfera,penna a sfera,penna a sfera,stilo
hobbies,pennello,pennello piatto,pennello da barba,pennello da pittore,pennello a mano,pennello da trucco,pennello da dipingere,pennello per acquerelli,pennello da cucina,pennello da tinta,pennello a mano,pennello a mano
kitchenware,pentola,pentola a pressione,pentola a pressione,pentola a pressione,pentola a pressione,pentola da forno,pentola da cucina,pentola a pressione,pentola da cucina,pentola con manico,pentola da cucina,pentola da cucina
foods,pesce,tonno,sogliola,squalo,squalo,salmone,angelo rosso,salmone,salmone,salmone,pesce di mare,pesce blu
kitchenware,piatto,piatto fondo,antipasto,piatto da portata,piatto da tavola,antipasto,piatto da cucina,piatto fondo,piatto da cucina,tazza,tavola,tazza
body parts,piede,piede destro,piede umano,piede umano,piede destro,piede umano,piede destro,piede umano,piede umano,sandalo,piede destro,calzature
plants,pino,pino silvestre,pino silvestre,pino cembro,abete,pino silvestre,pino domestico,pino marittimo,pino mugo,pineta,pinus sylvestris,pinus
foods,pizza,pizza margherita,quattro formaggi,margherita,margherita,margherita,margherita,pizza margherita,margherita,margherita,pizza al taglio,calzone
furniture,poltrona,poltrona reclinabile,sedia reclinabile,divano,divano,poltrona da ufficio,poltrona reclinabile,poltrona reclinabile,divano,poltrona a due posti,sofà,divano
housing buildings,porta,porta scorrevole,porta blindata,porta di casa,porta in casa,porta blindata,porta di sicurezza,porta blindata,porta acciaio,porta di legno,porta a mano,porta di casa
furnishings/fittings,portafotografia,cornice,cornice,portafotocamera,casco,album fotografico,porta-foto digitale,portafoto,portafoglio,portafoglio,nikon,fotocamera
furnishings/fittings,posacenere,posacenere di vetro,posacenere da terra,posacenere da tavolo,bidone,posacenere da tavolo,tazza da caffè,posacenere da tavolo,scarpe,pasta,bicchiere,tazza
stationery,quaderno,quaderno a righe,quaderno a righe,quaderno di matematica,quaderno di scuola,quaderno a spirale,quaderno rigido,quaderno ad anelli,quaderno di lavoro,diario,carta,carta
furnishings/fittings,quadro,quadro astratto,autoritratto,quadro da parete,quadro a muro,ritratto,quadro pittorico,dipinto,quadro analogo,quadro di legno,quadrato,dipinto
plants,quercia,leccio,quercus robur,quercia bianca,abetina,quercia bianca,quercia rossa,quercia rossa,quercia rossa,quercia bianca,quercia rossa,quercia rosso
hobbies,racchetta,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis,racchetta da tennis
stationery,righello,squadra,righello a triangolo,righello di carta,campana,righello in plastica,righello da disegno,righello da sarto,righello di legno,12,fork,12
housing buildings,ripostiglio,sgabuzzino,armadio,armadio,cassettone,armadio,armadio,armadio,armadio,scarpe,carta da lettere,camice
foods,riso,riso basmati,arborio,riso integrale,arborio,riso integrale,arborio,riso bianco,riso bianco,riso bianco,arborio,riso bianco
plants,rosa,rosa rossa,rosa damascena,rosa canina,,rosa canina,rosa fiorita,rosa tea,rosa rossa,fiore di rosa,ro,fiore
plants,salice,salice piangente,salix alba,salice da calcio,salice di metallo,salix alba,salice comune,salice piangente,salice bianco,salice bianco,salice americano,acero
housing buildings,scala,scala a chiocciola,scala a chiocciola,scala a chiocciola,scala mobile,scala a chiocciola,scala a chiocciola,scala a chiocciola,scala a chiocciola,scala esterna,scala a scala,scala a pioli
clothes,scarpa,scarpa da ginnastica,stivale,scarpa da ginnastica,scarpa da ballo,stivaletto,sandalia,scarpa da ginnastica,scarpa da ginnastica,sandalo,scarpa da corsa,scarpa a punta
body parts,schiena,schiena dritta,schiena dritta,schiena alta,coda,colonna vertebrale,schiena umana,dorsale,schiena di legno,sfinge,cervicale,muro
clothes,sciarpa,sciarpa di lana,scialle,sciarpa da sci,cappuccio,sciarpa di cashmere,sciarpa a vento,sciarpa di seta,sciarpa lunga,sciarpa di lana,bianca,sciarpa in seta
animals,scimmia,scimpanzè,gorilla,scimpanzé,capuchino,scimpanzé,gibbon,babbuino,gorilla,gorilla,babbuino,scimpanzé
kitchenware,scolapasta,scolapasta di plastica,scolapasta elettrico,scolapasta in acciaio,cucchiaio,scolapasta in acciaio inossidabile,spaghetti,scolapasta in acciaio inossidabile,penna,,barilla,scolapasta metallica
stationery,scolorina,scolorina a nastro,,cipria,vernice,candeggina,tintura,smalto,docente,gomma da masticare,scolarina,bicchiere
vehicles,scooter,scooter 50,ape,vespa,scooter a due ruote,scooter elettrico,scooter a due ruote,scooter a pedali,vespa,vespa,vespa,
furniture,scrivania,scrivania di legno,scrivania angolare,scrivania da ufficio,cassettiera,scrivania da ufficio,scrivania tradizionale,scrivania da ufficio,tavolo di lavoro,sedia,tavolo,tavolo
furniture,sedia,sedia a dondolo,poltrona,sedia da giardino,sedia a rotelle,sedia da ufficio,sedia a rotelle,sedia da ufficio,sedia a rotelle,poltrona,sedia per ufficio,sedia da tavola
animals,serpente,serpente a sonagli,boa,cobra,vipera,cobra,anaconda,serpente velenoso,cobra,cobra,vipera,corallo
clothes,slip,perizoma,slip da donna,slip da donna,guanti da sci,slip da donna,slip da notte,slip da uomo,calzino,pantaloni,slip-on,calze
housing buildings,soffitto,soffitto alto,a cassettoni,soffitto a volta,soffitto in legno,soffitto in gesso,soffitto piano,soffitto a volta,soffitto ligneo,soffitto ligneo,soffitto in legno,soffitto a tetto
housing buildings,soggiorno,soggiorno open space,salotto,divano,divano,living,living room,divano,hotel,couch,hotel,soffa
body parts,spalla,spalla umana,spalla a sbalzo,spalla di maiale,spalla di animale,spalla congelata,spalla destra,spalla umana,capo,spallino,spalla rosa,borsa
furnishings/fittings,specchio,specchio da parete,specchio da parete,specchio a muro,specchio da parete,specchio da trucco,specchio a cavalletto,specchio da parete,mirrore,mirrore,specchio ad angolo,specchio ad angolo
stationery,spillatrice,spillatrice tascabile,spillatrice automatica,spillatrice a batteria,lavatrice,spillatrice portatile,spillatrice elettrica,spillatrice manuale,lavastoviglie,spillatrice elettrica,spillatrice a batteria,stapler
clothes,t-shirt,t-shirt a maniche corte,polo,polo,polo,t-shirt a maniche corte,t-shirt a collo rotondo,t-shirt a manica corta,t-shirt bianca,t-shirt nero,polo,t-shirt 2
stationery,taccuino,taccuino a righe,quaderno,taccuino di appunti,diario,taccuino a spirale,diario,taccuino a spirale,pennarello,laptop,diario,notebook
kitchenware,tagliere,tagliere in legno,tagliere in legno,tagliere da cucina,tagliere di legno,tagliere in legno,tagliere da tavolo,tagliere in legno,tagliere a mano,coltello,tagliere da cucina,tagliere da cucina
furnishings/fittings,tappeto,tappeto persiano,tappeto persiano,tappeto da bagno,tappeto da giardino,tappeto persiano,tappeto persiano,tappeto persiano,tappeto da bagno,tappeto persiano,carpet,tappeto orientale
furniture,tavolo,tavolo di legno,tavolo da cucina,tavolo da pranzo,tavolo da pranzo,tavolo da pranzo,tavolo da pranzo,tavolo da pranzo,tavolo da pranzo,tavolo da lavoro,tavolo da cucina,tavolo da cucina
kitchenware,teglia,teglia da forno,teglia per pizza,teglia per pizza,teglia per pizza,teglia da forno,teglia da forno,teglia per biscotti,teglia di ceramica,teglia da forno,capello,teglia da forno
hobbies,televisione,televisione al plasma,tv a schermo piatto,smart tv,tv a schermo piatto,televisore al plasma,televisione a tubo catodico,smart tv,televisore,televisore,monitor,monitor
stationery,temperino,temperino singolo,temperino svizzero,temperino da cucina,candelabro,temperino da tasca,temperino da cucina,temperino a lama,cucchiaio,termometro,penne,calzature
furnishings/fittings,tenda,tenda da campeggio,tenda a rullo,tenda da bagno,tenda da cucina,tenda da sole,tenda da letto,tenda da campeggio,tenda da letto,tenda di tela,tenda da camping,tenda da camping
housing buildings,terrazzo,balcone,terrazzo alla veneziana,terrazzo in pietra,pavimento,terrazzo pensile,terrazzo antico,balcone,balcone,terrazzo esterno,cemento,pavimento
body parts,testa,testa grande,testa umana,testa di cavallo,cranio,testa umana,testa umana,testa umana,capo,capo,testa umana,cervello
housing buildings,tetto,tetto spiovente,tetto a falde,tetto a capriata,tetto in legno,tetto piano,tetto in terracotta,tetto a due falde,tettoia,tettoia,tetto in legno,tetto di tegole
