category,concept,human,idefics2-8b,idefics2-8b-img,idefics2-8b-img_match,idefics2-8b-img_order,idefics2-8b_match,idefics2-8b_order,llama-3.1-70b,llama-3.1-70b_match,llama-3.1-70b_order,llama-3.1-8b,llama-3.1-8b_match,llama-3.1-8b_order,llama-3.2-3b,llama-3.2-3b_match,llama-3.2-3b_order,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,llava-v1.6-mistral-7b-img_match,llava-v1.6-mistral-7b-img_order,llava-v1.6-mistral-7b_match,llava-v1.6-mistral-7b_order,mistral-7b,mistral-7b_match,mistral-7b_order,mixtral-8x7b,mixtral-8x7b_match,mixtral-8x7b_order,nemo-12b,nemo-12b_match,nemo-12b_order
plants,cactus,fico d' india,agave,cactus rosso,False,False,False,False,mammillaria,False,False,cactus spinoso,False,False,aloe vera,False,False,aloe vera,cactus rosso,False,False,False,False,barrel cactus,False,False,saguaro,False,False,cactus di natale,False,False
clothes,calza,calza a rete,sandalia,calzino,False,False,False,False,autoreggente,False,False,calza da uomo,False,False,guanti,False,False,pantaloni,calze nere,False,False,False,False,calzino,False,False,calza da neve,False,False,calza di seta,False,False
housing buildings,camera,camera da letto,dslr,fotocamera,False,False,False,False,camera da letto,True,True,camera da letto,True,True,camera da letto,True,True,fotocamera,letto,False,False,False,False,camera fotografica,False,False,camera da letto,True,True,camera da letto,True,True
clothes,camicia,camicia hawaiana,camicia da uomo,maglia,False,False,False,False,camicia a maniche corte,False,False,polo,False,False,polo,False,False,camicia di seta,camicia da uomo,False,False,False,False,camicia da notte,False,False,abbottonata,False,False,camicia a maniche lunghe,False,False
vehicles,camion,furgone,camioncino,camioncino,False,False,False,False,autocarro,False,False,autocarro,False,False,camion di pompaggio,False,False,camioncino,camion cisterna,False,False,False,False,camion cisterna,False,False,camion da costruzione,False,False,autocarro,False,False
furnishings/fittings,candelabro,candelabro a tre bracci,candelabro di cristallo,candelabro a trecce,False,False,False,False,candelabro da tavolo,False,False,candelabro a stelo,False,False,candelabro a cera,False,False,candela,candeliera,False,False,False,False,candelabro classico,False,False,candelabro da tavolo,False,False,candelabro da tavolo,False,False
animals,cane,labrador,bulldog,labrador,True,True,False,False,pastore tedesco,False,False,bulldog,False,False,pastore tedesco,False,False,cane da pastore,golden retriever,False,False,False,False,razza basset hound,False,False,alano,False,False,pastore tedesco,False,False
clothes,canottiera,canottiera bianca,canottiera a maniche lunghe,canottiera sportiva,False,False,False,False,canottiera da uomo,False,False,canottiera sportiva,False,False,canoa,False,False,barchetta,canottieria,False,False,False,False,canottiera da pesca,False,False,canottiera a maniche corte,False,False,canottiera a manica corta,False,False
body parts,capello,capello riccio,boccoli,baffi,False,False,False,False,riccio,False,False,capello naturale,False,False,capelli lunghi,False,False,cappello,capello lungo,False,False,False,False,corto,False,False,capello liscio,False,False,capelli lunghi,False,False
clothes,cappello,berretto,berbera,cappello fedora,False,False,False,False,basco,False,False,cappello da baseball,False,False,panama,False,False,berretto,beret,False,False,True,True,berretto,True,True,berretto,True,True,berretto,True,True
clothes,cappotto,cappotto lungo,cappotto in pelle,giacca,False,False,False,False,trench,False,False,cappotto di pelliccia,False,False,giacca,False,False,capello,pea coat,False,False,False,False,cappotto di lana,False,False,cappotto invernale,False,False,cappotto lungo,True,True
foods,carne,carne di maiale,manzo,bovino,False,False,False,False,manzo,False,False,manzo,False,False,manzo,False,False,pollo,pollo,False,False,False,False,manzo,False,False,manzo,False,False,manzo,False,False
vehicles,carrozza,calesse,carrozza passeggeri,carrozza a quattro ruote,False,False,False,False,calesse,True,True,carrozza ferroviaria,False,False,treno,False,False,automobile,carrozza a cavallo,False,False,False,False,carrozza ferroviaria,False,False,carrozza ferroviaria,False,False,carrozza ferroviaria,False,False
hobbies,carte,carte da gioco,carta da gioco,carte da gioco,True,True,False,False,biglietto,False,False,carta da regalo,False,False,carte di credito,False,False,tarocchi,tarocchi,False,False,False,False,carta da parati,False,False,carta igienica,False,False,biglietto da visita,False,False
furniture,cassettiera,cassettiera di legno,sony,cassette,False,False,False,False,cassettiera da ufficio,False,False,cassettiera da bagno,False,False,cassettiera a rotelle,False,False,cassettiera di legno,armadio,False,False,True,True,cassettiera per cucina,False,False,cassettiera da camera da letto,False,False,cassettiera da camera da letto,False,False
animals,cavallo,cavallo da corsa,pony,pony,False,False,False,False,appaloosa,False,False,destriero,False,False,cavallo da guerra,False,False,cavallo da corsa,cavallo da corsa,True,True,True,True,cavallo da corsa,True,True,quarter horse,False,False,purosangue,False,False
hobbies,cd,cd audio,cd singolo,cd-rom,False,False,False,False,cd-rom,False,False,cd singolo,False,False,album,False,False,compact disc,cd-r,False,False,False,False,compact disc,False,False,cd audio,True,True,cd audio,True,True
furnishings/fittings,centrotavola,centrotavola di fiori,tavola,tavola,False,False,False,False,vaso,False,False,centrotavola in legno,False,False,centrotavola in legno,False,False,pizzeria,centrotavola con pianta,False,False,False,False,tavolo rotondo,False,False,centrotavola floreale,False,False,mazzo di fiori,False,False
foods,cereale,grano,biscotti,farina,False,False,False,False,riso,False,False,riso,False,False,riso,False,False,mais,granola,False,True,False,False,oatmeal,False,False,grano,True,True,avena,False,False
body parts,cervello,cervello umano,cerebro,cerebro,False,False,False,False,cervello umano,True,True,cervello umano,True,True,cerebro,False,False,cerebro,cerebro,False,False,False,False,cervello umano,True,True,cervello umano,True,True,neocorteccia,False,False
hobbies,chitarra,chitarra elettrica,chitarra acustica,chitarra elettrica,True,True,False,False,chitarra classica,False,False,chitarra acustica,False,False,classica,False,False,chitarra acustica,chitarra acustica,False,False,False,False,chitarra acustica,False,False,chitarra acustica,False,False,chitarra acustica,False,False
plants,ciclamino,ciclamino bianco,pet,tulipano,False,False,False,False,cyclamen africanum,False,False,ciclamino rosso,False,False,rosa,False,False,scooter,ciclamino rosso,False,False,False,False,ciclamino rosa,False,False,cyclamen coum,False,False,ciclamino comune,False,False
plants,ciliegio,ciliegio in fiore,rosso,albero,False,False,False,False,ciliegio dolce,False,False,ciliegia,False,False,ciliegia,False,False,acacia,albero di ciliegio,False,False,False,False,ciliegio comune,False,False,prunus avium,False,False,ciliegio acido,False,False
foods,cioccolato,cioccolato fondente,bianco,barretta,False,False,False,False,fondente,False,False,cioccolato bianco,False,False,cioccolata,False,False,cioccolata,cioccolata,False,False,False,False,bianco,False,False,cioccolato fondente,True,True,cioccolato fondente,True,True
stationery,colla,colla vinilica,adesivo,adesivo,False,False,False,False,colla a caldo,False,False,colla adesiva,False,False,adesivo,False,False,colla per capelli,colla per capelli,False,False,False,False,colla da carta,False,False,colla vinilica,True,True,colla a caldo,False,False
body parts,collo,collo lungo,collo bollente,bocca,False,False,False,False,collo di camicia,False,False,collo di cigno,False,False,collo di vetro,False,False,collo di carta,collo di persona,False,False,False,False,collo di animale,False,False,collo della camicia,False,False,cravatta,False,False
housing buildings,colonna,colonna dorica,colonna di supporto,colonna di supporto,False,False,False,False,sonora,False,False,colonna sonora,False,False,palazzo,False,False,colonna sonora,colonna di marmo,False,False,False,False,colonna idraulica,False,False,colonna sonora,False,False,colonna sonora,False,False
kitchenware,coltello,coltello a serramanico,coltello da cucina,coltello da cucina,False,False,False,False,coltello da cucina,False,False,coltello da cucina,False,False,coltello da cucina,False,False,coltello da cucina,coltello da cucina,False,False,False,False,coltello da cucina,False,False,coltello da cucina,False,False,coltello da cucina,False,False
furniture,comodino,comodino di legno,cassetta,cassette,False,False,False,False,comodino classico,False,False,comodino da notte,False,False,letto,False,False,bidet,comodino bianco,False,False,False,False,scrivania,False,False,comodino in legno,False,False,comodino da notte,False,False
hobbies,computer,computer portatile,desktop,desktop,False,False,False,False,supercomputer,False,False,desktop,False,False,desktop,False,False,desktop,desktop computer,False,False,False,False,desktop computer,False,False,desktop,False,False,desktop,False,False
furniture,comò,comò a cassetti,borsa,monitor,False,False,False,False,comò classico,False,False,comò a specchio,False,False,cassettone,False,False,comò di legno,computer,False,False,False,False,scatola a molla,False,False,comò antico,False,False,comò a cassetti,True,True
animals,coniglio,coniglio nano,coniglio selvatico,coniglio selvatico,False,False,False,False,coniglio nano,True,True,coniglio europeo,False,False,lepre,False,False,coniglio selvatico,coniglio di cartone,False,False,False,False,coniglio selvatico,False,False,coniglio nano,True,True,coniglio selvatico,False,False
furnishings/fittings,cornice,cornice di legno,cornice interna,cornice modulare,False,False,False,False,cornice per quadri,False,False,cornice per foto,False,False,cornice per finestre,False,False,cornice di vetro,cornice di vetro,False,False,False,False,cornice pittorica,False,False,cornice per foto,False,False,cornice per quadri,False,False
furniture,credenza,credenza di legno,tavolo,scaffale,False,False,False,False,armadio,False,False,credenza a muro,False,False,banca,False,False,armadio,armadio,False,False,False,False,armoire,False,False,credenza da cucina,False,False,credenza in stile rustico,False,False
hobbies,cruciverba,cruciverba a schema libero,*,1,False,False,False,False,cruciverba classico,False,False,acrostico,False,False,puzzle,False,False,croce di malta,1,False,False,False,False,puzzola,False,False,cruciverba classico,False,False,cruciverba classico,False,False
kitchenware,cucchiaio,cucchiaino,bicchiere,cucchiaio da cucina,False,False,False,False,cucchiaio da dessert,False,False,cucchiaio da tavola,False,False,cucchiaio di legno,False,False,tazza,tazza,False,False,False,False,cucchiaio da tavola,False,False,cucchiaio da tavola,False,False,cucchiaio da minestra,False,False
housing buildings,cucina,cucina italiana,cucina americana,stoviglia,False,False,False,False,cucina a gas,False,False,cucina in muratura,False,False,forno,False,False,fornace,frullatore,False,False,False,False,cucina moderna,False,False,cucina americana,False,False,fornello,False,False
body parts,cuore,cuore anatomico,aorta,ventricolo,False,False,False,False,cuore umano,False,False,cuore umano,False,False,cuore umano,False,False,cuore umano,simbolo del cuore,False,False,False,False,cuore umano,False,False,cuore umano,False,False,cuore umano,False,False
furnishings/fittings,cuscino,cuscino in memory foam,cuscino da letto,cuscino per letto,False,False,False,False,cuscino a forma di cuore,False,False,cuscino di piuma,False,False,cuscino da letto,False,False,cuscino da letto,cuscino da letto,False,False,False,False,cuscino da letto,False,False,cuscino da seduta,False,False,cuscino per il collo,False,False
animals,delfino,delfino comune,delfino comune,squalo,False,False,True,True,delfino comune,True,True,delfino comune,True,True,delfino comune,True,True,delfino comune,delfino bianco,False,False,True,True,delfino comune,True,True,delfino comune,True,True,delfino comune,True,True
furniture,divano,divano letto,divano a sedere,divano da letto,False,False,False,False,divano letto,True,True,divano letto,True,True,divano a due posti,False,False,poltrona,sofa,False,False,False,False,divano a due posti,False,False,divano letto,True,True,divano a due posti,False,False
plants,edera,edera rampicante,acacia,acacia,False,False,False,False,edera comune,False,False,edera pendula,False,False,edera comune,False,False,edera comune,edera comune,False,False,False,False,edera comune,False,False,edera comune,False,False,hedera helix,False,False
animals,elefante,elefante africano,elefante africano,elefante africano,True,True,True,True,elefante africano,True,True,elefante africano,True,True,elefante africano,True,True,elefante africano,elefante africano,True,True,True,True,african elephant,False,False,africano,False,False,elefante africano,True,True
vehicles,elicottero,elicottero militare,bell 47,elicottero militare,True,True,False,False,elicottero leggero,False,False,elicottero da trasporto,False,False,helicottero,False,False,elicottero militare,elicottero militare,True,True,True,True,elicottero militare,True,True,elicottero da turismo,False,False,elicottero da trasporto,False,False
stationery,evidenziatore,evidenziatore giallo,marker,penna,False,False,False,False,pastello,False,False,evidenziatore a matita,False,False,pennarelli,False,False,monitor,microfono,False,False,False,False,evidenziatore rosso,False,False,evidenziatore a penna,False,False,evidenziatore giallo,True,True
clothes,felpa,felpa con cappuccio,birra,jeans,False,False,False,False,felpa con cappuccio,True,True,felpa da sci,False,False,seta,False,False,borsa,felpa bianca,False,False,False,False,felpa usata,False,False,felpa con cappuccio,True,True,felpa con cappuccio,True,True
plants,ficus,ficus benjamin,ficus benjamina,ficus benjamina,False,True,False,True,ficus aurea,False,False,ficus carica,False,False,ficus benghalensis,False,False,ficus benjamina,ficus benjamina,False,True,False,True,ficus lyrata,False,False,ficus benjamina,False,True,ficus benjamina,False,True
housing buildings,finestra,finestra a una anta,finestra aperta,porta,False,False,False,False,finestra a ghigliottina,False,False,finestra a sbarra,False,False,finestra di comunicazione,False,False,finestrella,finestra aperta,False,False,False,False,finestra a vetro singolo,False,False,finestra a battente,False,False,finestra a battente,False,False
furnishings/fittings,fioriera,fioriera in terracotta,fiori,pianta,False,False,False,False,vaso,False,False,vaso di fiori,False,False,vaso,False,False,fioraio,vase,False,False,False,False,vaso fiori,False,False,fioriera da interno,False,False,vasi,False,False
stationery,foglio,foglio A4,carta,carta,False,False,False,False,foglio di carta,False,False,carta da parati,False,False,carta,False,False,foglio di carta,foglio di carta,False,False,False,False,foglio carta,False,False,foglio di carta,False,False,foglio di carta,False,False
kitchenware,forbice,forbice con punta arrotondata,forbice da taglio,forbice da taglio,False,False,False,False,forbici da cucito,False,False,forbici da cucito,False,False,forbice da giardino,False,False,forbice da taglio,forbice da taglio,False,False,False,False,forbice da cucito,False,False,forbice da giardinaggio,False,False,forbici da cucina,False,False
kitchenware,forchetta,forchetta da dolce,forchetta da cucina,forchetta da cucina,False,False,False,False,forchetta da dessert,False,False,forchetta da pesce,False,False,forchetta da tavola,False,False,forchetta da carne,fork,False,False,False,False,forchetta da tavola,False,False,forchetta da tavola,False,False,forchetta da insalata,False,False
foods,formaggio,parmigiano,gorgonzola,caciocavallo,False,False,False,False,asiago,False,False,parmigiano,True,True,parmigiano,True,True,mozzarella,gouda,False,False,False,False,mozzarella,False,False,cheddar,False,False,formaggio fresco,False,False
furnishings/fittings,fotografia,fotografia in bianco e nero,fotocamera,fotografia digitale,False,False,False,False,autoritratto,False,False,fotocamera,False,False,fotografia a colori,False,False,fotocamera,fotografo,False,False,False,False,fotografia digitale,False,False,ritratto,False,False,fotocamera,False,False
foods,frutta,banana,mela,mela,False,False,False,False,mela,False,False,arance,False,False,arancia,False,False,arancia,mela,False,False,False,False,arancia,False,False,mela,False,False,mela,False,False
vehicles,furgone,furgone camperizzato,camioncino,camion,False,False,False,False,ducato,False,False,furgone cargo,False,False,autobus,False,False,fiat 500,furgone bianco,False,False,False,False,furgone pieno,False,False,furgone per trasporto merci,False,False,furgone per traslochi,False,False
animals,gallo,gallo cedrone,gallo selvatico,gallina,False,False,False,False,gallo cedrone,True,True,gallo cedrone,True,True,gallina,False,False,gallina,gallina,False,False,False,False,gallo domestico,False,False,gallo domestico,False,False,gallina,False,False
body parts,gamba,gamba del tavolo,gamba destra,femorale,False,False,False,False,gamba di legno,False,False,gamba anteriore,False,False,gamba di legno,False,False,braccio,gambe di persona,False,False,False,False,gamba destra,False,False,zampa di animale,False,False,gambe umane,False,False
animals,gatto,gatto siamese,domestico,gatto domestico,False,False,False,False,siamese,False,False,gatto domestico,False,False,gatto domestico,False,False,gatto domestico,gatto domestico,False,False,False,False,bengali,False,False,abissino,False,False,maine coon,False,False
plants,geranio,geranio rosso,geranium sanguineum,pelargonium,False,False,False,False,geranium maculatum,False,False,geranio rosso,True,True,fiore,False,False,geranio comune,geraniolo,False,False,False,False,geranio comune,False,False,geranio zonale,False,False,geranio comune,False,False
clothes,giacca,giacca a vento,bomber,cardigan,False,False,False,False,giacca a vento,True,True,giacca da pelle,False,False,giacca da uomo,False,False,giacca da uomo,giacca da uomo,False,False,False,False,giacca windbreaker,False,False,blazer,False,False,giacca a vento,True,True
clothes,gilet,doppiopetto,gilet pelle,giacca,False,False,False,False,gilet antiproiettile,False,False,gilet di pelle,False,False,maglia,False,False,gilet di seta,vestiario,False,False,False,False,gilet da caccia,False,False,gilet senza maniche,False,False,gilet senza maniche,False,False
hobbies,gioco da tavola,monopoly,scacchiere,backgammon,False,False,False,False,monopoli,False,False,scacchi,False,False,monoposto,False,False,scopone,scacchiere,False,False,False,False,scacchi,False,False,monopoly,True,True,monopoli,False,False
hobbies,giornale,giornale quotidiano,corriere della sera,quotidiano,False,False,False,False,quotidiano,False,False,corriere,False,False,quotidiano,False,False,corriere della sera,foglio,False,False,False,False,quotidiano,False,False,quotidiano,False,False,quotidiano,False,False
animals,giraffa,giraffa africana,giraffa reticulata,,False,False,False,False,giraffa di rothschild,False,False,giraffa maschio,False,False,giraffa africana,True,True,giraffa domestica,giraffa cartone,False,False,False,False,giraffa africana,True,True,giraffa reticolata,False,False,giraffa reticulata,False,False
plants,girasole,girasole giallo,girasole gigante,,False,False,False,False,girasole comune,False,False,girasole selvatico,False,False,solare,False,False,girasole coltivato,girasole nero,False,False,False,False,girasole comune,False,False,girasole comune,False,False,girasole comune,False,False
clothes,giubotto,bomber,bomber,veste,False,False,True,True,giubbotto antiproiettile,False,False,giubbotto da lavoro,False,False,giubotto da donna,False,False,giubbetto,giubbino,False,False,False,False,giubbotto da motocicletta,False,False,giubbotto di pelle,False,False,giubbotto di pelle,False,False
stationery,gomma,gomma da masticare,pneumatico,pneumatico,False,False,False,False,da masticare,False,False,pneumatico,False,False,gomma auto,False,False,gomma da masticare,gomma da masticare,True,True,True,True,gomma da masticare,True,True,pneumatico,False,False,pneumatico,False,False
clothes,gonna,minigonna,vai,andare,False,False,False,False,minigonna,True,True,gonna lunga,False,False,gonna lunga,False,False,gonna be,skirt,False,False,False,False,going-on,False,False,gonna a tubino,False,False,gonna a tubino,False,False
stationery,graffetta,graffetta di metallo,tag,penna,False,False,False,False,graffetta da ufficio,False,False,griffa,False,False,carta da scrivere,False,False,aerosol,grafitti,False,False,False,False,graffetta da disegno,False,False,graffetta standard,False,False,graffetta a molla,False,False
clothes,guanti,guanti da sci,guanti da lavoro,guanti da lavoro,False,False,False,False,da sci,False,False,guanti da lavoro,False,False,guanti da lavoro,False,False,guanti da lavoro,guanti da lavoro,False,False,False,False,guanti da cucina,False,False,guanti da boxe,False,False,guanti da lavoro,False,False
foods,insalata,iceberg,insalata mista,insalata mista,False,False,False,False,caprese,False,False,insalata di pollo,False,False,insalata mista,False,False,insalata di carote,broccoli,False,False,False,False,insalata mista,False,False,insalata greca,False,False,insalata mista,False,False
furnishings/fittings,lampada,lampada a led,lampada a incandescenza,lampada a incandescenza,False,False,False,False,abat-jour,False,False,lampada a incandescenza,False,False,lampada da tavolo,False,False,lampada a olio,lampada a led,True,True,False,False,lampada standard,False,False,lampada da tavolo,False,False,lampada alogena,False,False
furnishings/fittings,lampadario,lampadario di cristallo,lampada,chandelier,False,False,False,False,plafoniera,False,False,lampadario da soffitto,False,False,lampada,False,False,lampadario a candela,lampada,False,False,False,False,lampadario a filo,False,False,a sospensione,False,False,lampadario a bracci,False,False
foods,latte,latte intero,latte di vacca,latte fresco,False,False,False,False,latte di cocco,False,False,latte vaccino,False,False,latte fresco,False,False,latte di latte,caffè latte,False,False,False,False,latte fresco,False,False,latte di mucca,False,False,latte intero,True,True
foods,legume,fagioli,fagioli,fagioli,True,True,True,True,fagiolo,False,False,fagioli,True,True,lenticchie,False,False,fagioli,fagioli,True,True,True,True,fagioli,True,True,fagioli,True,True,patata,False,False
animals,leone,leone africano,leone reale,leonessa,False,False,False,False,leone asiatico,False,False,leone del congo,False,False,leone reale,False,False,leone di carta,leone reale,False,False,False,False,leone africano,True,True,leone masai,False,False,leone africano,True,True
furniture,letto,letto matrimoniale,romanzo,sofà,False,False,False,False,lettino,False,False,letto singolo,False,False,divano,False,False,letto singolo,letto singolo,False,False,False,False,letto matrimoniale,True,True,letto a una piazza e mezza,False,False,letto singolo,False,False
hobbies,lettore,lettore cd,libro,libro,False,False,False,False,lettore cd,True,True,lettore di cd,False,False,lettore cd,True,True,libro,libro,False,False,False,False,libro,False,False,lettore cd,True,True,lettore cd,True,True
furniture,libreria,libreria a scaffali,libreria di riferimento,libro,False,False,False,False,biblioteca,False,False,libreria da pavimento,False,False,scaffale,False,False,libri,scaffale,False,False,False,False,biblioteca,False,False,biblioteca,False,False,libreria online,False,False
hobbies,libro,romanzo,romanzo,libro di testo,False,False,True,True,romanzo,True,True,romanzo,True,True,romanzo,True,True,romanzo,libro aperto,False,False,True,True,romanzo,True,True,romanzo,True,True,romanzo,True,True
animals,lucertola,geco,gecko,sauriano,False,False,False,False,iguana,False,False,lucertola verde,False,False,lucertola comune,False,False,lucertola comune,gecko,False,False,False,False,gecko,False,False,agama,False,False,lucertola comune,False,False
clothes,maglia,maglia a maniche corte,maglia a maniche lunghe,maglia a maniche corte,True,True,False,False,maglia a coste,False,False,maglia di lana,False,False,maglia da donna,False,False,maglia da baseball,maglia a strisce,False,False,False,False,maglia a crochet,False,False,maglia a coste,False,False,maglia a manica corta,False,False
animals,maiale,maiale nero,porco,porco,False,False,False,False,cinghiale,False,False,maiale nero,True,True,maiale selvatico,False,False,maiale selvatico,porchetta,False,False,False,False,maiale domestico,False,False,suino nero casertano,False,False,maiale domestico,False,False
body parts,mano,mano destra,mano destra,dita,False,False,True,True,mano destra,True,True,mano sinistra,False,False,dita,False,False,mano destra,mano destra,True,True,True,True,mano destra,True,True,mano destra,True,True,mano destra,True,True
plants,margherita,crisantemo,pizza,pizza,False,False,False,False,margherita comune,False,False,pizza margherita,False,False,pizza margherita,False,False,pizza,fiore di margherita,False,False,False,False,margherita pizza,False,False,margherita di savoia,False,False,pizza margherita,False,False
stationery,matita,matita hb,bic,,False,False,False,False,matita a colori,False,False,matita da disegno,False,False,matita stilografica,False,False,matita a grafite,matita meccanica,False,False,False,False,matita a olio,False,False,matita grafite,False,False,matita da disegno,False,False
kitchenware,mestolo,mestolo di legno,pittura acrilica,coclea,False,False,False,False,mestolo forato,False,False,mestolo di legno,True,True,bicchiere,False,False,tazza,pentola,False,False,False,False,tazza,False,False,mestolo in acciaio inossidabile,False,False,mestolo da cucina,False,False
furnishings/fittings,metro,metro da sartoria,metropolitana,orologio analogico,False,False,False,False,metro quadrato,False,False,metro a nastro,False,False,metro a mano,False,False,metro aereo,orologio,False,False,False,False,metro lineare,False,False,metro a nastro,False,False,metro lineare,False,False
plants,mimosa,mimosa gialla,acacia,,False,False,False,False,mimosa comune,False,False,albero,False,False,fiore,False,False,mimosa giallo,mimosa sintetica,False,False,False,False,mimosa pudica,False,False,mimosa pudica,False,False,mimosa pudica,False,False
vehicles,motocicletta,scooter,honda,scooter,True,True,False,False,enduro,False,False,scooter,True,True,scooter,True,True,scooter,motociclo,False,False,True,True,moto cross,False,False,motocicletta da strada,False,False,scooter,True,True
animals,mucca,mucca da latte,bovino,bovino,False,False,False,False,ayrshire,False,False,mucca da latte,True,True,cavolo,False,False,vacca,vacca,False,False,False,False,mucca domestica,False,False,holstein friesian,False,False,vacca,False,False
housing buildings,muro,muro di mattoni,muro di cemento,parete,False,False,False,False,divisorio,False,False,muro di cinta,False,False,muro di confine,False,False,muro di pietra,pariete,False,False,False,False,muro di cinta,False,False,muro di mattoni,True,True,muro di mattoni,True,True
body parts,naso,naso aquilino,ossa nasale,bocca,False,False,False,False,naso umano,False,False,naso umano,False,False,naso umano,False,False,rinoceronte,profumo,False,False,False,False,naso umano,False,False,naso umano,False,False,naso aquilino,True,True
vehicles,nave,nave da crociera,battello,motonave,False,False,False,False,veliero,False,False,nave da guerra,False,False,nave da guerra,False,False,nave da crociera,nave da crociera,True,True,True,True,incrociatore,False,False,portaerei,False,False,nave da crociera,True,True
body parts,occhio,occhio a mandorla,oculo,cornea,False,False,False,False,occhio umano,False,False,occhio umano,False,False,palpebra,False,False,occhio umano,occhio umano,False,False,False,False,occhio umano,False,False,occhio umano,False,False,occhio di bue,False,False
