category,concept,human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
body parts,bocca,bocca larga,bocca di una caverna,bocca di fiume,denti,bocca di un rettile,bocca di un vaso,bocca di un fiume,bocca di cane,denti,denti,denti
body parts,braccio,braccio meccanico,braccio meccanico,braccio umano,braccio umano,arti superiori,braccio umano,braccio robotico,braccio umano,braccio umano,braccio umano,braccio destro
body parts,braccio,braccio muscoloso,braccio umano,braccio meccanico,braccio di una struttura,braccio meccanico,braccio robotico,braccio umano,braccio di gomma,bracci,braccio destro,braccio sinistro
body parts,braccio,braccio umano,braccio artificiale,braccio di una nave,braccio di un animale,protesi del braccio,braccio artificiale,braccio artificiale,braccio di plastica,braccio di un robot,braccio robotico,braccio umano
plants,cactus,fico d' india,mammillaria,cactus spinoso,aloe vera,saguaro,barrel cactus,cactus barrel,aloe vera,cactus rosso,agave,cactus rosso
plants,cactus,cactus del deserto,melocactus,cereus,aloe,barile,san pedro cactus,cactus di natale,succulenta,cactus in vase,cactaceae,cactus verde
clothes,calza,calza a rete,autoreggente,calza da uomo,guanti,calza da neve,calze da ginocchio,calza di seta,pantaloni,calze nere,sandalia,calzino
clothes,calza,calzino,da running,calza di cotone,calzini,calza da running,calzino,calza corta,calzini,calzetta,stivali,calzature
clothes,calza,fantasmino,da sci,calza sportiva,camicia,calza da tennis,calze da giorno,calza di cotone,scarpe,calza nera con frange rosse,calza da running,calza nera
housing buildings,camera,camera da letto,camera da letto,camera da letto,camera da letto,camera da letto,camera fotografica,camera da letto,fotocamera,letto,dslr,fotocamera
housing buildings,camera,cucina,da letto,camera di controllo,camera da studio,camera oscura,box camera,camera di sicurezza,telecamera,cuscino,fotocamera,video camera
housing buildings,camera,bagno,camera oscura,camera di ripresa,camera da bagno,camera blindata,camera digitale,camera degli ospiti,dslr,lampada,nikon,camera fotografica
clothes,camicia,camicia hawaiana,camicia a maniche corte,polo,polo,abbottonata,camicia da notte,camicia a maniche lunghe,camicia di seta,camicia da uomo,camicia da uomo,maglia
clothes,camicia,camicia coreana,camicia a righe,camicia a maniche lunghe,maglia,camicia formale,camicia da lavoro,camicia oxford,camicia di cotone,camicia da lavoro,camicia bianca,giubbino
clothes,camicia,camicia a maniche lunghe,camicia da notte,camicia da notte,camicia a maniche lunghe,camicia da uomo,camicia da gala,camicia a maniche corte,camicia da letto,camicia da vestire,camicia da donna,giacca
vehicles,camion,furgone,autocarro,autocarro,camion di pompaggio,camion da costruzione,camion cisterna,autocarro,camioncino,camion cisterna,camioncino,camioncino
vehicles,camion,autocarro,camion con gru,autocisterna,camion di trasporto,camion frigorifero,camion da pompaggio,camion dei pompieri,camion cisterna,camion di carico,pickup,camioncino pesante
vehicles,camion,tir,camion gru,camion cisterna,autocarro,camion dei pompieri,camion da fuoco,autocarro militare,camion da trasporto,camion raccoglitore,camioncino di lavoro,mercedez-benz actros
furnishings/fittings,candelabro,candelabro a tre bracci,candelabro da tavolo,candelabro a stelo,candelabro a candele,candelabro da tavolo,candelabro classico,candelabro da tavolo,candelabro a tre rametti,candeliera,candelabro di cristallo,candelabro a trecce
furnishings/fittings,candelabro,candelabro ebraico,candelabro a sospensione,candelabro a tre bracci,candelabro a cera,candelabro a braccia,candelabro a rami,candelabro a muro,candela,,candelabro a piatti,candelabro con colonne
furnishings/fittings,candelabro,candelabro a due bracci,candelabro da terra,candelabro a tre braccia,candelabro a braccioli,candelabro a candela,candelabro di cristallo,candelabro a braccio,candelabro a rame,,sconto,candelabro con sfera
animals,cane,labrador,pastore tedesco,bulldog,pastore tedesco,alano,razza basset hound,pastore tedesco,cane da pastore,golden retriever,bulldog,labrador
animals,cane,pastore tedesco,segugio,pastore tedesco,bulldog,pastore tedesco,razza bulldog,golden retriever,cane da caccia,labrador retriever,pug,bichini
animals,cane,bassotto,rottweiler,cane da caccia,chihuahua,carlino,razza dachshund,beagle,cane da guardia,dachshund,pitbull,cane da caccia
clothes,canottiera,canottiera bianca,canottiera da uomo,canottiera sportiva,canoa,canottiera a maniche corte,canottiera da regata,canottiera a manica corta,barchetta,cano,canottiera a maniche lunghe,canottiera da bagnante
clothes,canottiera,canottiera intima,canottiera da donna,canottiera da allenamento,vela,canottiera termica,canottiera da pesca,canottiera a maniche corte,canottiera da neve,nuotista,canottiera da tuffo,canottiera sportiva
clothes,canottiera,canottiera senza maniche,canottiera a maniche corte,canottiera da uomo,gondola,canottiera da notte,canottiera da escursione,canottiera con spalline,barca a vela,canottieria,canottiera per uomo,canottiera da golf
body parts,capello,capello riccio,riccio,capello naturale,capelli lunghi,capello liscio,corto,capelli lunghi,cappello,capello lungo,boccoli,baffi
body parts,capello,capello liscio,ricci,capello artificiale,cioccolato,capello riccio,ondulato,capelli castani,berretto,capello corto,lungo,capigliatura
body parts,capello,capello biondo,afro,capello sintetico,cioccolino,capello bianco,capello folle,capelli biondi,barba,capello a onda,boccolino,boccoli
clothes,cappello,berretto,basco,cappello da baseball,panama,berretto,berretto,berretto,berretto,beret,berbera,cappello fedora
clothes,cappello,cappello con visiera,cappello a cilindro,cappello da cowboy,berretto,cappello da pescatore,berretta,cappello a cilindro,cappello di feltro,fedora,beretta,berretta
clothes,cappello,fedora,berretto,cappello di paglia,fedora,cappello da cowboy,cappellino,cappello da cowboy,cappello a pompino,cowboy hat,cappello da lavoro,cappello di paglia
clothes,cappotto,cappotto lungo,trench,cappotto di pelliccia,giacca,cappotto invernale,cappotto di lana,cappotto lungo,capello,pea coat,cappotto in pelle,giacca
clothes,cappotto,cappotto impermeabile,parka,cappotto di lana,mantello,cappotto da cerimonia,cappotto di pelle,cappotto di pelle,scarpe da neve,piumino,cappotto da baule,cappotto per uomo
clothes,cappotto,cappotto corto,cappotto invernale,cappotto di pelle,pelliccia,cappotto di pelle,cappotto di pelliccia,cappotto corto,cappotto di lana,capa,cappotto di cotone,mantello
foods,carne,carne di maiale,manzo,manzo,manzo,manzo,manzo,manzo,pollo,pollo,manzo,bovino
foods,carne,carne rossa,carne di manzo,maiale,agnello,vitello,vitello,salame,manzo,manzo,bovino,carne di manzo
foods,carne,carne di pollo,pollo,tacchino,maiale,tacchino,bisonte,tacchino,maiale,maiale,suino,beef
vehicles,carrozza,calesse,calesse,carrozza ferroviaria,treno,carrozza ferroviaria,carrozza ferroviaria,carrozza ferroviaria,automobile,carrozza a cavallo,carrozza passeggeri,carrozza a quattro ruote
vehicles,carrozza,carrozza a cavalli,berlina,carrozza da guerra,vettura,carrozza letto,carrozza funebre,carrozza da viaggio,treno,carrozza di cavalli,cassa,carrozza a tre piani
vehicles,carrozza,berlina,coupé,treno,carrozza a cavalli,carrozza ristorante,carrozza da parco giochi,carrozza da parata,autobus,carrozza classica,vagoni,carrozza a tre ruote
hobbies,carte,carte da gioco,biglietto,carta da regalo,carte di credito,carta igienica,carta da parati,biglietto da visita,tarocchi,tarocchi,carta da gioco,carte da gioco
hobbies,carte,carte napoletane,carta di credito,carta da parati,carta da cucina,carta da forno,carta da gioco,carta di credito,carta da gioco,carte da gioco,carta di credito,carta da gioco
hobbies,carte,carte da poker,biglietto da visita,biglietto,carte di debito,carta da parati,carta da cucina,carta da gioco,carta da parati,carta di credito,carta da cucina,carta bolla
furniture,cassettiera,cassettiera di legno,cassettiera da ufficio,cassettiera da bagno,cassettiera a rotelle,cassettiera da camera da letto,cassettiera da tavola,cassettiera da camera da letto,cassettiera di legno,armadio,sony,cassette
furniture,cassettiera,settimino,cassettiera da cucina,cassettiera a muro,cassettiera a ruote,cassettiera per ufficio,cassettiera per cucina,cassettiera con ante scorrevoli,cassettiera bianca,armadio a due porte,"cassette 7""",cassa
furniture,cassettiera,comò,cassettiera da bagno,cassettiera da cucina,cassettiera per cucina,cassettiera da ingresso,cassettiera per sigarette,cassettiera a ponte,cassetta,armadio a quattro porte,cd,scaffale
animals,cavallo,cavallo da corsa,appaloosa,destriero,cavallo da guerra,quarter horse,cavallo da corsa,purosangue,cavallo da corsa,cavallo da corsa,pony,pony
animals,cavallo,pony,arabo,purosangue,cavallo da lavoro,tennessee walking horse,cavallo da tiro,cavallo da corsa,cavallo da lavoro,pegaso,cavallo domestico,stallione
animals,cavallo,cavallo purosangue,purosangue,bardotto,cavallo da corsa,lipizzano,cavallo da trazione,arabo,cavallo da tiro,cavallo selvaggio,cavallo da lavoro,cavallo da corsa
hobbies,cd,cd audio,cd-rom,cd singolo,album,cd audio,compact disc,cd audio,compact disc,cd-r,cd singolo,cd-rom
hobbies,cd,cd-rom,cd+g,cd single,disco,cd-midi,cd audio,cd-rom,cd-r,disco compacto,cd-rom,cd singolo
hobbies,cd,cd musicale,cd audio,cd ep,mixtape,cd-extra,cd-text,cd di dati,cd-rom,cd-rw,musica,musica
furnishings/fittings,centrotavola,centrotavola di fiori,vaso,centrotavola in legno,centrotavola in legno,centrotavola floreale,tavolo rotondo,mazzo di fiori,pizzeria,centrotavola con pianta,tavola,tavola
furnishings/fittings,centrotavola,centrotavola con candele,candeliere,centrotavola di vetro,centrotavola con sedie,centrotavola da festa,tavola rotonda,composizione floreale,centro tavola,tavola,tavola da gioco,tavolino
furnishings/fittings,centrotavola,centrotavola di pizzo,centrotavola di natale,centrotavola di legno,ceramica,centrotavola di candele,tavolo da pranzo,centrotavola di vetro,autobus,centrotavola con pianta nera,tavola da cucina,tavola per cucina
foods,cereale,grano,riso,riso,riso,grano,oatmeal,avena,mais,granola,biscotti,farina
foods,cereale,avena,avena,farro,avena,riso,muesli,frumento,arancia,frullatore,pasta,amido
foods,cereale,farro,grano,kamut,orzo,frumento,chex,orzo,biglietto,pasta di mais,pane,avena
body parts,cervello,cervello umano,cervello umano,cervello umano,cerebro,cervello umano,cervello umano,neocorteccia,cerebro,cerebro,cerebro,cerebro
body parts,cervello,cervello animale,cervello rettile,cervello di insetto,meningi,cervello artificiale,corteccia cerebrale,cerebello,encefalo,encefalo,pons,midbrain
body parts,cervello,cervello rettiliano,cervello artificiale,cervello di anfibi,encefalo,cervello sano,talamo,talamo,lobi cerebrali,cerebrum,cortex,ponte
hobbies,chitarra,chitarra elettrica,chitarra classica,chitarra acustica,classica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra acustica,chitarra elettrica
hobbies,chitarra,chitarra acustica,chitarra acustica,chitarra classica,acustica,classica,chitarra sitar,chitarra elettrica,chitarra elettrica,chitarra elettrica,chitarra basso,chitarra acustica
hobbies,chitarra,chitarra classica,chitarra semiacustica,chitarra elettrica,elettrica,chitarra classica,chitarra banjo,chitarra classica,chitarra classica,chitarra basso,chitarra a 6 corde,chitarra basso
plants,ciclamino,ciclamino bianco,ciclamino alpino,ciclamino rosso,rosa,ciclamino di napoli,ciclamino rosa,ciclamino comune,biciciclo,ciclamino rosso,pet,tulipano
plants,ciclamino,ciclamino rosa,cyclamen africanum,ciclamino comune,giardiniere,cyclamen coum,ciclamino comune,ciclamino africano,scooter,ciclamino bianco,pvc,ciclamino rosso
plants,ciclamino,ciclamino dei boschi,ciclamino di creta,ciclamino di montagna,viola,ciclamino purpureum,ciclamino viola,ciclamino persiano,bicicletta,ciclamino in vase,ciclamino 1,ciliegio
plants,ciliegio,ciliegio in fiore,ciliegio dolce,ciliegia,ciliegia,prunus avium,ciliegio comune,ciliegio acido,acacia,fiori di ciliegio,rosso,albero
plants,ciliegio,albero,ciliegio giapponese,ciliegio nero,ciliegia di prato,prunus serrulata,ciliegio d'italia,ciliegio selvatico,acero,albero di ciliegio,acacia,acacia
plants,ciliegio,ciliegio dolce,ciliegio amaro,ciliegio selvatico,ciliegia di bosco,prunus subhirtella,ciliegio di sibiria,ciliegio dolce,frullato,ciliego con fiori,ciliegio a cuscino,cherry blossom
foods,cioccolato,cioccolato fondente,fondente,cioccolato bianco,cioccolata,cioccolato fondente,bianco,cioccolato fondente,cioccolata,cioccolata,bianco,barretta
foods,cioccolato,cioccolato bianco,gianduja,cioccolato fondente,cioccolatini,cioccolato con nocciole,fondente,cioccolato al latte con nocciole,cioccolata fondente,cioccolata con panna,bicioccolato,baci
foods,cioccolato,cioccolato al latte,al latte,cioccolata calda,cioccolato fondente,cioccolato con peperoncino,barra,cioccolato fondente con frutta secca,cioccolata bianco,cioccolata con caramello,biscotti,barra
stationery,colla,colla vinilica,colla a caldo,colla adesiva,adesivo,colla vinilica,colla da carta,colla a caldo,colla da barba,colla per capelli,adesivo,adesivo
stationery,colla,colla stick,colla vinilica,colla per legno,colla per cartone,colla stick,colla da metallo,colla per carta,colla per capelli,colla frizzante,adesivo a base di gomma,pasta da leggere
stationery,colla,colla a caldo,colla a freddo,colla universale,colla per legno,colla istantanea,colla da plastica,colla a base di acqua,balsamo di colla,collaerogel,bolla,colla adesiva
body parts,collo,collo lungo,collo di camicia,collo di cigno,collo di vetro,collo della camicia,collo di animale,cravatta,collo di carta,collo di persona,collo vertebrale,bocca
body parts,collo,collo all' italiana,collo a v,collo di gallina,bocca,collo della maglietta,collo vertebrato: parte anatomica del corpo che supporta la testa e sostenuta dal torace e dal tronco cervicale,camicia,collante,collo di carta,collo bollente,occhi
body parts,collo,collo alla coreana,collo alto,collo di bottiglia,collo di bue,collo di una bottiglia di vino,collo di bottiglia,foulard,collo del cielo,collo di un uomo,collo-falange,fianco
housing buildings,colonna,colonna dorica,sonora,colonna sonora,palazzo,colonna sonora,colonna idraulica,colonna sonora,colonna sonora,colonna di marmo,colonna di supporto,colonna di supporto
housing buildings,colonna,colonna corinzia,dorica,colonna di liquido,telecolonna,colonna di sostegno,colonna di sale,colonna vertebrale,colonna di legno,colonna di legno,colonna vertebrale,colonna regina
housing buildings,colonna,colonna ionica,corinzia,colonna di gas,verticale,colonna di distillazione,colonna vertebrale,colonna d'aria,colonna di una struttura,colonna di pietra,colonna di riferimento,colonna inglese
kitchenware,coltello,coltello a serramanico,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina,coltello da cucina
kitchenware,coltello,coltello da cucina,coltello da pane,coltello da carne,coltello da pesca,coltello da caccia,coltello da carne,coltello da pane,coltello da frullatore,coltello da caccia,coltello da cucina da taglio,coltello da taglio
kitchenware,coltello,coltello da pane,coltello da frutta,coltello da pesce,coltello da caccia,coltello da pesca,coltello da filo,coltello da cucina giapponese,coltello da legno,coltello da frullatore,coltello da taglio da cucina da taglio,cucchiaio
furniture,comodino,comodino di legno,comodino classico,comodino da notte,letto,comodino in legno,comodini da cucina,comodino da notte,bidet,comodino bianco,cassetta,cassette
furniture,comodino,comodino a cassetti,comodino a due cassetti,comodino a tre cassetti,cuscino,comodino in metallo,comodino da cucina,comodino con ruote,lavastoviglie,comodino di legno,scatola,scrivania
furniture,comodino,comodino basso,comodino minimalista,comodino a rotelle,cassettone,comodino industriale,scrivania,comodino con cassetti,lavanderia,comodino con cassetta,arma,scaffale
hobbies,computer,computer portatile,supercomputer,desktop,desktop,desktop,desktop computer,desktop,desktop,desktop computer,desktop,desktop
hobbies,computer,computer fisso,minicomputer,supercomputer,laptop,thin client,smartphone,laptop,personal computer,laptop,tablet,tablet
hobbies,computer,pc,mainframe,minicomputer,tablet,workstation,pocket computer,netbook,tablet,tablet,smartphone,pc
furniture,comò,comò a cassetti,comò classico,comò a muro,cassettone,comò antico,scatola a molla,comò a cassetti,comò di legno,computer,borsa,monitor
furniture,comò,comò di legno,comò da ingresso,comò a specchio,comodino,comò in stile industriale,cassettiera,comò con specchio,comò esterno,comò a pié di letto,pettinato,mouse
furniture,comò,comodino,comò da notte,comò a mensola,comò a braccioli,comò classico,cassettone,comò con ante,comò d'acqua,comò fax,comò di stoviglie,macchina per scrivere
animals,coniglio,coniglio nano,coniglio nano,coniglio europeo,lepre,coniglio nano,coniglio selvatico,coniglio selvatico,coniglio selvatico,coniglio di cartone,coniglio selvatico,coniglio selvatico
animals,coniglio,coniglio bianco,coniglio gigante,coniglio di palude,cinghiale,coniglio domestico,coniglio d'india,coniglio domestico,conigliaccio,coniglio reale,coniglio domestico,coniglio selvatico americano
animals,coniglio,lepre,coniglio europeo,coniglio domestico,cervo,coniglio ariete,coniglio europeo,coniglio angora,coniglio domestico,coniglio bianco,coniglio di cappella,coniglio selvatico europeo
furnishings/fittings,cornice,cornice di legno,cornice per quadri,cornice per foto,cornice per finestre,cornice per foto,cornice pittorica,cornice per quadri,cornice di vetro,cornice di vetro,cornice interna,cornice modulare
furnishings/fittings,cornice,cornice barocca,cornice per specchio,cornice da quadro,cornice in legno,cornice da parete,cornice architettonica,cornice per foto,cornice di foto,cornice di casa,cornice a cavo,cornice d'angolo
furnishings/fittings,cornice,cornice di plastica,cornice per specchi,cornice fotografica,cornice per finestra,cornice in legno,cornice fotografica,cornice fotografica,cornice decorativa,tramezzo,cornice di legno,cornice di pietra
furniture,credenza,credenza di legno,armadio,credenza a muro,banca,credenza da cucina,armoire,credenza in stile rustico,armadio,armadio,tavolo,scaffale
furniture,credenza,vetrinetta,mobile,armadio,istituto di credito,credenza angolare,credenza a quattro gambe,credenza a giorno,buffet,cabinet,armadio,scrivania
furniture,credenza,credenza religiosa,credenza in legno,credenza da cucina,cassa di risparmio,credenza a muro,credenza industriale,credenza in stile shabby chic,credenza mobile,credenza a porta,cassetta,cassette
hobbies,cruciverba,cruciverba a schema libero,cruciverba classico,cruciverba a parole,puzzle,cruciverba classico,puzzola,cruciverba classico,croce di malta,1,*,1
hobbies,cruciverba,parole crociate,enigmistica,cruciverba a parole incrociate,anagramma,cruciverba a tema,indovinello a parole crociate,cruciverba a tema,2048,14,1. quiz,scacchiera
hobbies,cruciverba,rebus,cruciverba a schema variabile,cruciverba a parole chiuse,crocifisso,cruciverba tematico,puzzle a parole croce,cruciverba tematico,croce di giuda,5x5,anagrammi,scacchettone
kitchenware,cucchiaio,cucchiaino,cucchiaio da dessert,cucchiaio da tavola,cucchiaio di legno,cucchiaio da tavola,cucchiaio da tavola,cucchiaio da minestra,tazza,tazza,cucchiaio da bocca,cucchiaio da cucina
kitchenware,cucchiaio,cucchiaio da tè,cucchiaio da minestra,cucchiaio da dessert,cucchiaio da tavola,cucchiaio da cucina,cucchiaio da neonato,cucchiaio da tavola,piatto,colazione,bicchiere,cucchiaio da tavola
kitchenware,cucchiaio,cucchiaio di legno,cucchiaio da zuppa,cucchiaio da tè,cucchiaio da cucina,cucchiaio da dessert,cucchiaio da tazza,cucchiaio da dessert,piatti,spatola,cucchiaio per bocca,cucchiaio per bocca
housing buildings,cucina,cucina italiana,cucina a gas,cucina in muratura,forno,cucina americana,cucina moderna,fornello,fornace,frullatore,cucina americana,cucina da camere
housing buildings,cucina,cucina cinese,cucina etnica,cucina in acciaio,pentola,cucina lineare,cucina industriale,tostapane,forno,lavastoviglie,fornace,stoviglia
housing buildings,cucina,cucina vegetariana,cucina molecolare,cucina a gas,padella,cucina in muratura,cucina tradizionale,caffettiera,grattacielo,fornace,cucina mobile,stoviglie
body parts,cuore,cuore anatomico,cuore umano,cuore umano,cuore umano,cuore umano,cuore umano,cuore umano,cuore umano,simbolo del cuore,aorta,ventricolo
body parts,cuore,cuore umano,cuore di maiale,cuore di pesce,cardiologia,cuore artificiale,cuore di cristallo,cuore di pollo,cuore di legno,anatomia del cuore,ventricoli,corda
body parts,cuore,cuore spezzato,cuore di pollo,cuore di pomodoro,cuore di pietra,cuore sano,cuore di vetro,cuore di una stella,cuore di carta,"anatomia: cuore umano, cuore animali",cardiomioplastica,ventricoli
furnishings/fittings,cuscino,cuscino in memory foam,cuscino a forma di cuore,cuscino di piuma,cuscino da letto,cuscino da seduta,cuscino da letto,cuscino per il collo,cuscino da letto,cuscino da letto,cuscino da letto,cuscino per letto
furnishings/fittings,cuscino,cuscino di piuma,cuscino per il collo,cuscino di supporto,cuscino a forma di animale,cuscino da viaggio,cuscino da sedere,cuscino per la testa,cuscino da sedere,poltrona,cuscino a pelle,pillow
furnishings/fittings,cuscino,cuscino da divano,cuscino da viaggio,cuscino per la schiena,cuscino a forma di cuore,cuscino da orlo,cuscino per testa,cuscino per la schiena,cuscino da camicia,divano,cuscino per letto,cuscino da letto
animals,delfino,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino comune,delfino bianco,delfino comune,squalo
