category,concept,human,llama3.1-70b,llama3.1,llama3.2,mixtral,mistral,nemo,llava,llava-img,idefics2,idefics2-img
clothes,cappotto,lungo,trench,di pelliccia,giacca,invernale,da pioggia,lungo,da neve,da neve,da uomo,giacca
foods,carne,di maiale,manzo,manzo,manzo,manzo,manzo,manzo,pollo,manzo,suino,bovino
vehicles,carrozza,calesse,calesse,ferroviaria,treno,ferroviaria,ferroviaria,ferroviaria,autobus,a cavallo,passeggeri,a quattro ruote
hobbies,carte,da gioco,carta da parati,biglietto di credito,di credito,carta igienica,carta da parati,biglietto da visita,carta da gioco,da gioco,carta da gioco,carta da gioco
furniture,cassettiera,di legno,da ufficio,da bagno,a mano,da camera da letto,da tavola,da camera da letto,di legno,armadio,cassette,cassette
animals,cavallo,da corsa,purosangue inglese,destriero,da corsa,quarter horse,da corsa,purosangue,da corsa,da corsa,pony,stallione
hobbies,cd,audio,cd-rom,singolo,album,audio,compact disc,audio,compact disc,compact disc,singolo,box set
furnishings/fittings,centrotavola,di fiori,vaso,in legno,in legno,floreale,tavolo rotondo,composizione floreale,pizzeria,tavola,tavola,tavola
foods,cereale,grano,riso,riso,riso,grano,oatmeal,frumento,mais,mais,bianco,farina
body parts,cervello,umano,umano,umano,cerebro,umano,cerebro umano,neocorteccia,cerebro,cerebro,cerebro,cerebro
hobbies,chitarra,elettrica,classica,acustica,acustica,acustica,acustica,acustica,acustica,acustica,acustica,elettrica
plants,ciclamino,bianco,alpino,di gussago,rosa,di napoli,rosa,comune,rosso,con fiori,pet,selvatico
plants,ciliegio,in fiore,dolce,ciliegia,ciliegia,prunus avium,comune,acido,acacia,in primavera,acacia,rosso
foods,cioccolato,fondente,fondente,bianco,cioccolata,fondente,bianco,albero del cacao,cioccolata,cioccolata,bianco,barra
stationery,colla,vinilica,vinilica,adesiva,adesivo,vinilica,da carta,a caldo,da barba,da penna,adesivo,adesivo
body parts,collo,lungo,di camicia,di cigno,di vetro,della camicia,di animale,camicia,di carta,di persona,vertebrale,bocca
housing buildings,colonna,dorica,sonora,sonora,sostegno,di distillazione,idraulica,d'aria,di supporto,di traiano,di supporto,di legno
kitchenware,coltello,a serramanico,da cucina,da cucina,da cucina,da cucina,da cucina,da cucina,da cucina,da cucina,da cucina,da cucina
furniture,comodino,di legno,classico,singolo,cuscino,vintage,comodini da cucina,da parete,lavandino,con 2 portelli,cassette,cassette
hobbies,computer,portatile,supercomputer,desktop,desktop,desktop,desktop computer,desktop,desktop,desktop computer,desktop,desktop
furniture,comò,a cassetti,a due ante,a muro,cassettone,antico,scatola a molla,a cassetti,com,,a cassette,monitor
animals,coniglio,nano,nano,europeo,comune,nano,selvatico,selvatico,selvatico,nero,selvatico,selvatico
furnishings/fittings,cornice,di legno,per quadri,da quadro,per finestra,per foto,pittorica,per quadri,di vetro,di un edificio,interna,a scala
furniture,credenza,di legno,mobile,a muro,banca,da cucina,armoire,in stile rustico,armadio,armadio,buffet,scrivania
hobbies,cruciverba,a schema libero,classico,a parole,puzzle,tematico,puzzola,classico,croce,1,parola,parola
kitchenware,cucchiaio,cucchiaino,da dessert,da tavola,da tavola,da tavola,da tavola,da tavola,piatti,,da bocca,da cucina
housing buildings,cucina,italiana,a gas,in muratura,pentola,americana,moderna,fornello,forno,frullatore,americana,da cucina
body parts,cuore,anatomico,umano,umano,umano,umano,umano,umano,umano,immagine del cuore,ventricolo sinistro,umano
furnishings/fittings,cuscino,in memory foam,a forma di cuore,di piuma,da letto,da seduta,da letto,per il collo,da letto,da letto,da letto,per la testa
animals,delfino,comune,comune,comune,comune,comune,comune,comune,comune,saltante,del pacifico,squalo
furniture,divano,letto,letto,letto,a tre o più posti,letto,a canape,a due posti,a due posti,sofa,da gioco,da letto
plants,edera,rampicante,comune,per esterni,comune,comune,comune,hhelix,comune,comune,acacia,acacia
animals,elefante,africano,africano,africano,africano,africano,african elephant,africano,africano,africano,african elephant,africano
vehicles,elicottero,militare,leggero,da turismo,da trasporto,da turismo,militare,da trasporto,militare,,da combattimento,militare
stationery,evidenziatore,giallo,liquido,a sfera,pennarelli,a penna,di testo,giallo,monitor,di prova,marker,penna
clothes,felpa,con cappuccio,con cappuccio,da golf,cappello,con cappuccio,antica,con cappuccio,di pesce,da lavoro,borsa,camisa
plants,ficus,benjamin,aurea,carica,benghalensis,benjamina,lyrata,benjamina,benjamina,benjamina,benjamina,benjamina
housing buildings,finestra,a una anta,a ghigliottina,a ghigliena,a tenda,a battente,a vetro singolo,a battente,aperta,porta,aperta,porta
furnishings/fittings,fioriera,in terracotta,vaso,vaso da fiori,vaso,da terra,vaso fiori,vasi,banco di fiori,vase,fiori,pianta
stationery,foglio,a4,di carta,carta da parati,carta,di carta,carta da scrittura,di carta,di carta,di carta,carta,carta
kitchenware,forbice,con punta arrotondata,forbici da cucito,da capelli,a mano,da giardinaggio,da tagliare il filo,da giardino,da barba,da barba,da taglio,da taglio
kitchenware,forchetta,da dolce,da dessert,da pesce,da tavola,da tavola,da tavola,da insalata,da tavola,da cucina,da cucina,da cucina
foods,formaggio,parmigiano,asiago,parmigiano,parmigiano,cheddar,mozzarella,cheddar,parmigiano,mozzarella,brie,pecorino
furnishings/fittings,fotografia,in bianco e nero,autoritratto,fotocamera,aerea,ritratto,digitale,fotocamera,fotocamera,fotografo,fotocamera,scatto
foods,frutta,banana,mela,mele,banana,mela,mela,mela,mela,mela,mela,mela
vehicles,furgone,camperizzato,postale,cargo,a due posti,per trasporto merci,pieno,per le consegne,fiat panda,van,camion,camion
animals,gallo,cedrone,cedrone,cedrone,selvatico,domestico,domestico,gallina,gallina,gallina,gallina,gallina
body parts,gamba,del tavolo,di legno,anteriore,di legno,zampa di animale,destra,di una sedia,gambissaggio,di legno,destra,femorale
animals,gatto,siamese,siamese,domestico,domestico,abyssinian,bengala,maine coon,domestico,gattino,domestico,domestico
plants,geranio,rosso,a foglie di quercia,rosso,petalo,zonale,comune,comune,rosso,geraniolo,geranium sanguineum,geranium
clothes,giacca,a vento,a vento,da lavoro,da uomo,blazer,da pioggia,a vento,da uomo,da uomo,casual,giubbino
clothes,gilet,doppiopetto,in pelle,di pelliccia,camicia,senza maniche,da motocicletta,senza maniche,di pelle,vest,da moto,veste
hobbies,gioco da tavola,monopoly,monopoli,monopoli,monoposto,monopoly,scacchi,monopoli,scacchiere,scacchiere,scacchiere,scacchiere
hobbies,giornale,quotidiano,corriere della sera,corriere,quotidiano,quotidiano,quotidiano,quotidiano,quotidiano,,corriere della sera,quotidiano
animals,giraffa,africana,rothschild,maschio,africana,reticolata,africana,reticulata,selvatica,,nera,
plants,girasole,giallo,annuo,selvatico,solare,comune,comune,comune,selvatico,gigante,gigante,
clothes,giubotto,bomber,giubbotto antiproiettile,giubbotto da lavoro,di lino,giubbotto di pelle,giubbotto da neve,giubbotto di pelle,giubbino,giubbino,da lavoro,veste
stationery,gomma,da masticare,da masticare,pneumatico,auto,pneumatico,da masticare,pneumatico,da masticare,da masticare,pneumatico,pneumatico
clothes,gonna,mini,a ruota,lunga,corta,a tubino,dress,a tubino,gonne da calcio,,vado,andare
stationery,graffetta,di metallo,da ufficio,griffa,carta,standard,a sfera,metallica,aerosol,grafitti,tag,stampa
clothes,guanti,da sci,da sci,da lavoro,da lavoro,da lavoro,da cucina,da lavoro,da lavoro,da lavoro,da lavoro,da lavoro
foods,insalata,iceberg,caprese,di pollo,mista,di pasta,mista,mista,di carote,lettuce,mista,mista
furnishings/fittings,lampada,a led,abat-jour,a incandescenza,a muro,lampadina a incandescenza,a incandescente,da tavolo,a olio,da tavolo,a incandescenza,da tavolo
furnishings/fittings,lampadario,di cristallo,candelabro,a stella,lampada,a sospensione,a candela,a bracci,a candela,a candela,lampada,chandelier
foods,latte,intero,di soia,vaccino,fresco,di mucca,fresco,intero,frappé,caldo,di bovino,fresco
foods,legume,fagioli,fagiolo,fagioli,lenticchie,fagioli,fagioli,patata,fagioli,fagioli,fagioli,fagioli
animals,leone,africano,asiatico,africano,reale,masai,africano,africano,leonessa,reale,leonessa,leonessa
furniture,letto,matrimoniale,a castello,matrimoniale,cuscino,a una piazza e mezza,matrimoniale,singolo,singolo,singolo,libro,da baby
hobbies,lettore,cd,di musica,di cd,cd,dvd,libro,cd,libro,libro,libro,libro
furniture,libreria,a scaffali,biblioteca,da parete,in legno,biblioteca,biblioteca,online,libro,scaffale,online,libro
hobbies,libro,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,romanzo,aperto,romanzo,per bambini
animals,lucertola,geco,iguana,verde,comune,agama,gecko,gecko,comune,gecko,gecko,lucertole d'acqua
clothes,maglia,a maniche corte,a coste,a collo alto,da donna,a coste,a reticello,a manica corta,da polo,a strisce,a maniche lunghe,t-shirt
animals,maiale,nero,cinghiale,da latte,carne,suino,domestico,domestico,bianco,porchetta,porco,porco
body parts,mano,destra,destra,sinistra,dita,destra,destra,destra,destra,destra,destra,destra
plants,margherita,crisantemo,comune,pizza margherita,pizza,,"pizza: una varietà di pizza con salsa di pomodoro, mozzarella e basilico",pizza margherita,pizza,,pizza,
stationery,matita,hb,nera,a sfera,di grafite,grafite,a graphite,da disegno,a grafite,di legno,a gomma,a grafite
kitchenware,mestolo,di legno,forato,di legno,bicchiere,di legno,tazza,da cucina,piatto,cucchiaio,acido solforico,cucchiaio
furnishings/fittings,metro,da sartoria,metropolitana,a nastro,a mano,a nastro,lineare,lineare,aereo,orologio,della linea 1,metro-centro
plants,mimosa,gialla,comune,albero di mimosa,fiore,pudica,Mimosa acida,pudica,verde,giallo,acuminata,
vehicles,motocicletta,scooter,enduro,da corsa,scooter,da strada,moto scooter,scooter,scooter,motociclo,harley-davidson,scooter
animals,mucca,da latte,ayrshire,da latte,asina,bruna,domestica,vacca,vacca,con la testa in primo piano,bovino,bovino
housing buildings,muro,di mattoni,divisorio,di cinta,di cinta,di cinta,muri di cinta,di mattoni,di pietra,parte di un edificio,di cinta,parete
body parts,naso,aquilino,umano,umano,umano,umano,umano,aquilino,rinoceronte,profilo,bocca,labbra
vehicles,nave,da crociera,veliero,da guerra,da guerra,da crociera,incrociatore,da crociera,da crociera,da crociera,da crociera,da crociera
body parts,occhio,a mandorla,umano,umano,palpebra,umano,umano,umano,umano,umano,sinistro,cornea
plants,orchidea,bianca,aerides,cattleya,azzurra,phalaenopsis,orchidee di fioritura unica,phalaenopsis,bianca,bianca,orchis,
body parts,orecchio,a sventola,umano,umano,interno,umano,esterno,esterno,orecchino,orecchino,destro,destro
furnishings/fittings,orologio,da polso,da polso,da polso,da polso,da polso,da tasca,da polso,meccanico,da polso,analogico,analogico
animals,orso,bruno,bruno,polare,grigio,polare,polare,polare,polare,polare,bruno,bruno
kitchenware,padella,antiaderente,antiaderente,di ghisa,di rame,antiaderente,da cucina,antiaderente,da cucina,da riso,da cucina,da cucina
hobbies,palla,da calcio,pallone,da tennis,pallone,pallone da calcio,pallina da tennis,da calcio,pallina,pallina,calcio,calcio
body parts,pancia,piatta,a botte,pancetta,camicia,stomaco,addome,piatta,stomaco,ventre,stomaco,utero
foods,pane,integrale,ciabatta,integrale,integrale,baguette,bianco,bianco,bianco,integrale,integrale,integrale
clothes,pantalone,jeans,a vita alta,da lavoro,pantaloni da ballo,jeans,stretto,jeans,pantaloncini,jeans,rosso,pantaloni corti
foods,pasta,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,a fettuccia,spaghetti
stationery,pastello,a cera,a cera,a cera,a mano,a cera,a olio,a olio,pasta,di carta,pasta,a olio
housing buildings,pavimento,parquet,parquet,in legno,in legno,piastrelle,parquet,parquet,in cemento,tavolo,cemento,in cemento
stationery,penna,a sfera,a sfera,stilografica,biro,a sfera,per scrivere,a sfera,a sbarre,a sfera,a sfera,stilo
hobbies,pennello,piatto,da barba,da pittore,a mano,da trucco,da dipingere,per acquerelli,da dipinto,da dipinto,a mano,a mano
kitchenware,pentola,a pressione,a pressione,a pressione,a pressione,a pressione,da cucina,a pressione,a manico,con manico,da cucina,pentolina
foods,pesce,tonno,sogliola,squalo,trutta,salmone,anguilla,salmone,salmone,salmone,d'acqua dolce,d'acqua dolce
kitchenware,piatto,fondo,antipasto,da portata,da tavola,antipasto,da pranzo,fondo,da cucina,da cucina,da cucina,da cucina
body parts,piede,destro,umano,umano,destro,umano,destro,umano,umano,calzatura,destro,calzature
plants,pino,silvestre,silvestre,d'aleppo,da costruzione,silvestre,domestico,marittimo,d'albero,d'albero,pinus,pinus
foods,pizza,margherita,quattro formaggi,margherita,margherita,margherita,margherita,margherita,margherita,margherita,classica,al taglio
furniture,poltrona,reclinabile,recliner,da ufficio,divano,da ufficio,classica,reclinabile,divano,sedia,divano,divano
housing buildings,porta,scorrevole,blindata,di casa,d'ingresso,blindata,d'ingresso,d'ingresso,di legno,con colonne,porta-documenti,d'ingresso
furnishings/fittings,portafotografia,cornice,album,portafotocamera,casco,album fotografico,fascetta da foto,portafoto,portafoglio,portafoglio,canon,camera
furnishings/fittings,posacenere,di vetro,da terra,da tavolo,bidone,da tavolo,tazza da caffè,da tavolo,lavastoviglie,con pizze,bicchiere,cenere
stationery,quaderno,a righe,a righe,di matematica,di scuola,a spirale,rigido,ad anelli,di lavoro,notebook,notebook,carta
furnishings/fittings,quadro,astratto,ritratto,dipinto,d'arte,ritratto,pittorico,dipinto,analogo,nero,da dipingere,a olio
plants,quercia,leccio,quercus robur,bianca,albero,bianca,rossa,rossa,americana,bianca,rossa,rosso
hobbies,racchetta,da tennis,da tennis,da tennis,da tennis,da tennis,da tennis,da tennis,da tennis,da tennis,da squash,da tennis
stationery,righello,squadra,a triangolo,a stecchi,di legno,in plastica,da cucina,da 15 cm,a sbarre,da misurare,a coda,12
housing buildings,ripostiglio,sgabuzzino,armadio,armadio,cassettone,armadio,armadio,armadio,armadio,camicia,carta,armadio
foods,riso,basmati,arborio,integrale,integrale,integrale,arborio,bianco,bianco,grano di riso,arancio,bianco
plants,rosa,rossa,damascena,rossetto,,canina,fiorita,tea,fiore,fiore di rosa,,rosso
plants,salice,piangente,bianco,da pesca,di legno,salix alba,bianco,piangente,bianco,bianco,bianco,salicino
housing buildings,scala,a chiocciola,a chiocciola,a chiocciola,mobile,a chiocciola,a chiocciola,a chiocciola,da cucina,esterna,a cassa,per ragazzi
clothes,scarpa,da ginnastica,stivale,da ginnastica,da ballo,stivaletto,sandalia,da ginnastica,da ginnastica,sandalo,da ginnastica,da donna
body parts,schiena,dritta,dorso,alta,colonna vertebrale,colonna vertebrale,umana,dorsale,di legno,di legno,dorata,dorata
clothes,sciarpa,di lana,scialle,di lana,cappuccio,di lana,in pelle,di seta,a collo,a maniche,da neve,a manica corta
animals,scimmia,scimpanzè,gorilla,scimpanzé,capuchino,scimpanzé,gibbon,babbuino,comune,gorilla,babbuino,scimpanzé
kitchenware,scolapasta,di plastica,a forbice,a cerniera,macchina da cucina,in acciaio inossidabile,spaghetti,a forma di ciotola,scuola,,bianca,in plastica
stationery,scolorina,a nastro,per capelli,di carbone,vernice,cloro,tinta a olio,smalto per unghie,scuola elementare,,per bambini,bicchiere
vehicles,scooter,50,ape,elettrico,a due ruote,elettrico,a due ruote,elettrico,motoscooter,,vespa,
furniture,scrivania,di legno,da ufficio,da ufficio,cassettiera,in stile industriale,tradizionale,da ufficio,tavolo da lavoro,tavolo,tavolo,tavolo
furniture,sedia,a dondolo,poltrona,da giardino,a gambe,da ufficio,a rotelle,da ufficio,a rotelle,poltrona,per uomo,a rotelle
animals,serpente,a sonagli,boa,cobra,vipera,cobra,anaconda,velenoso,anaconda,cobra,boa,rettile
clothes,slip,perizoma,mutande,da donna,guanto,da donna,intimo,da uomo,slipper,slip-in,slip-on,pantaletto
housing buildings,soffitto,alto,a cassettoni,a volta,a volta,piatto,piano,a volta,in legno,a cassetto,a cassette,a cassette
housing buildings,soggiorno,open space,salotto,divano,divano,living,living room,divano,hotel,couch,hotel,soffitta
body parts,spalla,umana,a sbalzo,di pollo,umana,congelata,destra,umana,spallina,di carta,da lavoro,da lavoro
furnishings/fittings,specchio,da parete,da parete,da toeletto,da parete,da trucco,a cavalletto,da parete,a sessanta,mirror,ad angolo,ad angolo
stationery,spillatrice,tascabile,automatica,a batteria,aspirapolvere,da birra,a filo singolo,a molla,lavatrice,a vapore,a cuffia,stapler
clothes,t-shirt,a maniche corte,polo,polo,maglia,a maniche corte,a collo rotondo,a maniche corte,nero,con maniche lunghe,per uomo,
stationery,taccuino,a righe,agenda,di viaggio,diario,a spirale,diario,a spirale,di carta,con tastiera,diario,notebook
kitchenware,tagliere,in legno,in legno,da cucina,per verdure,in legno,da tavola,in legno,manuali,da cucina,da cucina,da cucina
furnishings/fittings,tappeto,persiano,persiano,da bagno,da salotto,persiano,a pile,persiano,da bagno,a strisce,a fibre,a tasselli
furniture,tavolo,di legno,da cucina,da pranzo,da pranzo,da pranzo,da pranzo,da cucina,da pranzo,da cena,da cucina,da pranzo
kitchenware,teglia,da forno,per pizza,per pizza,per pane,da forno,da forno,per biscotti,di ceramica,di vetro,per pane,da forno
hobbies,televisione,al plasma,al plasma,tv a schermo piatto,tv a schermo piatto,televisore al plasma,televisore a tubo catodico,smart tv,televisore,televisore,tv,monitor
stationery,temperino,singolo,svizzero,da cucina,candelabro,da tasca,da cucina,a sfera,frullatore,termometro,pizza,scopa
furnishings/fittings,tenda,da campeggio,a campana,da bagno,da cucina,da sole,da letto,da sole,da letto,da letto,da campeggio,da camping
housing buildings,terrazzo,balcone,a sbalzo,terrazzino,pavimento,con giardino,antico,in marmo,balcone,balcone,pavimento,pavimento
body parts,testa,grande,umana,di cavallo,cranio,umana,umana,umana,cervello,cefalopia,umana,faccia
housing buildings,tetto,spiovente,a falde,a falda,a punta,piano,in tegole,a falde,tettoia,tettoia,a tegole,a tavolato
animals,tigre,bianca,del bengala,di sumatra,del bengala,del bengala,indiana,siberiana,africana,tigris,indiana,leone
animals,topo,di campagna,comune,di laboratorio,formiche,da laboratorio,domestico,comune,topolino,ratto,domestico,ratto
vehicles,traghetto,a vapore,a catena,passeggeri,a motore,passeggeri,a vela,passeggeri,a vapore,passeggero,a vapore,a vapore
vehicles,tram,elettrico,storico,a cavalli,a trazione elettrica,a due piani,tramway,a cavalli,tranvia,tramvai,metro,tranvia
vehicles,trattore,standard,agricolo,agricolo,agricolo,agricolo,a ruote,a ruote,agricolo,agricolo,a motore,a motore
vehicles,treno,regionale,regionale,a vapore,a vapore,a vapore,locomotiva,locomotiva,locomotiva,,passeggeri,passeggeri
plants,tulipano,rosso,darwin,gigante,di bressa,di darwin,rosso,nero,rosso,,rosso,
plants,ulivo,frantoio,da olio,domestico,frutto,ulmus minor,albero di ulivo,selvatico,olivo,,olio extra vergine di oliva,albero
foods,uovo,di gallina,di gallina,di gallina,di gallina,di gallina,di gallina,di gallina,di gallina,di uccello,di gallina,di gallina
furnishings/fittings,vaso,di ceramica,di fiori,da fiori,bicchiere,da fiori,da birra,da fiori,bicchierino,vase,bicchiere,vase
foods,verdura,zucchina,spinaci,spinaci,carote,lattuga,carota,lattuga,broccoli,broccoli,carota,cipolla
hobbies,videogioco,di sport,avventura,fortnite,action,platformer,action game,sparatutto,playstation,gamepad,action,d'azione
furnishings/fittings,vite,a testa tonda,a testa piatta,da giardino,da tavola,a testa esagonale,d'ancora,da legno,di legno,di legno,uva,a cappuccio
