category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
vehicles,veicoli,aereo,AEREO_aereo da collegamento,da collegamento,1,10,10,10.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da osservazione,da osservazione,1,11,11,11.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da allenamento,da allenamento,1,12,12,12.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da traino bersagli,da traino bersagli,1,13,13,13.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da bombardamento,da bombardamento,1,14,14,14.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo anfibio,anfibio,1,15,15,15.0,0.0,1.0,1,0.10026,17370.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto merci,da trasporto merci,1,16,16,16.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda elettronica,elettronica,1,1,1,1.0,1.0,1.0,1,1.0,26217.0
stationery,cancelleria,agenda,AGENDA_agenda di carta,di carta,1,2,2,2.0,0.0,1.0,1,0.10026,93.0
stationery,cancelleria,agenda,AGENDA_agenda digitale,digitale,1,3,3,3.0,0.0,1.0,1,0.10026,18961.0
stationery,cancelleria,agenda,AGENDA_agenda settimanale,settimanale,1,4,4,4.0,0.0,1.0,1,0.10026,33902.0
stationery,cancelleria,agenda,AGENDA_agenda mensile,mensile,1,5,5,5.0,0.0,1.0,1,0.10026,17128.0
stationery,cancelleria,agenda,AGENDA_agenda annuale,annuale,1,6,6,6.0,0.0,1.0,1,0.10026,22089.0
stationery,cancelleria,agenda,AGENDA_agenda scolastica,scolastica,1,7,7,7.0,0.0,1.0,1,0.10026,23709.0
stationery,cancelleria,agenda,AGENDA_agenda da tavolo,da tavolo,1,8,8,8.0,0.0,1.0,1,0.10026,46.0
stationery,cancelleria,agenda,AGENDA_agenda da viaggio,da viaggio,1,9,9,9.0,0.0,1.0,1,0.10026,391.0
stationery,cancelleria,agenda,AGENDA_agenda personale,personale,1,10,10,10.0,0.0,1.0,1,0.10026,15991.0
stationery,cancelleria,agenda,AGENDA_agenda professionale,professionale,1,11,11,11.0,0.0,1.0,1,0.10026,18210.0
stationery,cancelleria,agenda,AGENDA_agenda giornaliera,giornaliera,1,12,12,12.0,0.0,1.0,1,0.10026,25110.0
stationery,cancelleria,agenda,AGENDA_agenda planner,planner,1,13,13,13.0,0.0,1.0,1,0.10026,32956.0
stationery,cancelleria,agenda,AGENDA_agenda per appunti,per appunti,1,14,14,14.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per riunioni,per riunioni,1,15,15,15.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per obiettivi,per obiettivi,1,16,16,16.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per compiti,per compiti,1,17,17,17.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per progetti,per progetti,1,18,18,18.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per eventi,per eventi,1,19,19,19.0,0.0,1.0,1,0.10026,535.0
stationery,cancelleria,agenda,AGENDA_agenda per riunioni online,per riunioni online,1,20,20,20.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per teleconferenze,per teleconferenze,1,21,21,21.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per webinar,per webinar,1,22,22,22.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per call conference,per call conference,1,23,23,23.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per riunioni ibride,per riunioni ibride,1,24,24,24.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_agenda per,per,1,25,25,25.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_gancio appendiabiti,gancio appendiabiti,1,1,1,1.0,1.0,1.0,1,1.0,162.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_portaombrelli,portaombrelli,1,2,2,2.0,0.0,1.0,1,0.10026,2318.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_attaccapanni a muro,attaccapanni a muro,1,3,3,3.0,0.0,1.0,1,0.10026,25.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_attaccapanni da parete,attaccapanni da parete,1,4,4,4.0,0.0,1.0,1,0.10026,42.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da terra,da terra,1,5,5,5.0,0.0,1.0,1,0.10026,24.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da armadio,da armadio,1,6,6,6.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da cappotto,da cappotto,1,7,7,7.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da borsa,da borsa,1,8,8,8.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da cinture,da cinture,1,9,9,9.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da sciarpa,da sciarpa,1,10,10,10.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da giacca,da giacca,1,11,11,11.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da biancheria,da biancheria,1,12,12,12.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da asciugamani,da asciugamani,1,13,13,13.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da accappatoio,da accappatoio,1,14,14,14.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da tovaglioli,da tovaglioli,1,15,15,15.0,0.0,1.0,1,0.10026,
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_appendiabiti da grembiule,da grembiule,1,16,16,16.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio a due ante,a due ante,1,1,1,1.0,1.0,1.0,1,1.0,
furniture,mobili,armadio,ARMADIO_armadio a una ante,a una ante,1,2,2,2.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio angolare,angolare,1,3,3,3.0,0.0,1.0,1,0.10026,17571.0
furniture,mobili,armadio,ARMADIO_armadio a muro,a muro,1,4,4,4.0,0.0,1.0,1,0.10026,584.0
furniture,mobili,armadio,ARMADIO_armadio a quattro ante,a quattro ante,1,5,5,5.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio con specchio,con specchio,1,6,6,6.0,0.0,1.0,1,0.10026,55.0
furniture,mobili,armadio,ARMADIO_armadio a cabina,a cabina,1,7,7,7.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio a ponte,a ponte,1,8,8,8.0,0.0,1.0,1,0.10026,406.0
furniture,mobili,armadio,ARMADIO_armadio a isola,a isola,1,9,9,9.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio a giorno,a giorno,1,10,10,10.0,0.0,1.0,1,0.10026,495.0
furniture,mobili,armadio,ARMADIO_guardaroba,guardaroba,1,11,11,11.0,0.0,1.0,1,0.10026,29842.0
furniture,mobili,armadio,ARMADIO_cabina armadio,cabina armadio,1,12,12,12.0,0.0,1.0,1,0.10026,1047.0
furniture,mobili,armadio,ARMADIO_armadio per abiti,per abiti,1,13,13,13.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio per scarpe,per scarpe,1,14,14,14.0,0.0,1.0,1,0.10026,62.0
furniture,mobili,armadio,ARMADIO_armadio per biancheria,per biancheria,1,15,15,15.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio per cucina,per cucina,1,16,16,16.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio per ufficio,per ufficio,1,17,17,17.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio per garage,per garage,1,18,18,18.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio per attrezzi,per attrezzi,1,19,19,19.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_armadio per giocattoli,per giocattoli,1,20,20,20.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per matite,per matite,1,1,1,1.0,1.0,1.0,1,1.0,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per penne,per penne,1,2,2,2.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per colori,per colori,1,3,3,3.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per trucchi,per trucchi,1,4,4,4.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per matite colorate,per matite colorate,1,5,5,5.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per pastelli,per pastelli,1,6,6,6.0,0.0,1.0,1,0.10026,20.0
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per pennarelli,per pennarelli,1,7,7,7.0,0.0,1.0,1,0.10026,22.0
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per righe e squadre,per righe e squadre,1,8,8,8.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per forbici e taglierini,per forbici e taglierini,1,9,9,9.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per cancelleria varia,per cancelleria varia,1,10,10,10.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio scolastico,scolastico,1,11,11,11.0,0.0,1.0,1,0.10026,16533.0
stationery,cancelleria,astuccio,ASTUCCIO_astuccio da viaggio,da viaggio,1,12,12,12.0,0.0,1.0,1,0.10026,391.0
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per occhiali,per occhiali,1,13,13,13.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per smartphone,per smartphone,1,14,14,14.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per cavi e caricabatterie,per cavi e caricabatterie,1,15,15,15.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per macchina fotografica,per macchina fotografica,1,16,16,16.0,0.0,1.0,1,0.10026,
hobbies,passatempi,attrezzo,ATTREZZO_cacciavite,cacciavite,1,1,1,1.0,1.0,1.0,1,1.0,18238.0
hobbies,passatempi,attrezzo,ATTREZZO_martello,martello,1,2,2,2.0,0.0,1.0,1,0.10026,35294.0
hobbies,passatempi,attrezzo,ATTREZZO_pinza,pinza,1,3,3,3.0,0.0,1.0,1,0.10026,36776.0
hobbies,passatempi,attrezzo,ATTREZZO_chiave inglese,chiave inglese,1,4,4,4.0,0.0,1.0,1,0.10026,50.0
hobbies,passatempi,attrezzo,ATTREZZO_lima,lima,1,5,5,5.0,0.0,1.0,1,0.10026,34882.0
hobbies,passatempi,attrezzo,ATTREZZO_seghetto,seghetto,1,6,6,6.0,0.0,1.0,1,0.10026,14008.0
hobbies,passatempi,attrezzo,ATTREZZO_trapano,trapano,1,7,7,7.0,0.0,1.0,1,0.10026,17985.0
hobbies,passatempi,attrezzo,ATTREZZO_livella,livella,1,8,8,8.0,0.0,1.0,1,0.10026,8934.0
hobbies,passatempi,attrezzo,ATTREZZO_squadra,squadra,1,9,9,9.0,0.0,1.0,1,0.10026,15855.0
hobbies,passatempi,attrezzo,ATTREZZO_tenaglia,tenaglia,1,10,10,10.0,0.0,1.0,1,0.10026,13689.0
hobbies,passatempi,attrezzo,ATTREZZO_chiave a tubo,chiave a tubo,1,11,11,11.0,0.0,1.0,1,0.10026,23.0
hobbies,passatempi,attrezzo,ATTREZZO_chiave dinamometrica,chiave dinamometrica,1,12,12,12.0,0.0,1.0,1,0.10026,35.0
hobbies,passatempi,attrezzo,ATTREZZO_chiave a brugola,chiave a brugola,1,13,13,13.0,0.0,1.0,1,0.10026,35.0
hobbies,passatempi,attrezzo,ATTREZZO_avvitatore,avvitatore,1,14,14,14.0,0.0,1.0,1,0.10026,6161.0
hobbies,passatempi,attrezzo,ATTREZZO_raschietto,raschietto,1,15,15,15.0,0.0,1.0,1,0.10026,3120.0
hobbies,passatempi,attrezzo,ATTREZZO_spatola,spatola,1,16,16,16.0,0.0,1.0,1,0.10026,24642.0
hobbies,passatempi,attrezzo,ATTREZZO_sega,sega,1,17,17,17.0,0.0,1.0,1,0.10026,40972.0
hobbies,passatempi,attrezzo,ATTREZZO_lama,lama,1,18,18,18.0,0.0,1.0,1,0.10026,18264.0
hobbies,passatempi,attrezzo,ATTREZZO_coltello,coltello,1,19,19,19.0,0.0,1.0,1,0.10026,32680.0
hobbies,passatempi,attrezzo,ATTREZZO_forbici,forbici,1,20,20,20.0,0.0,1.0,1,0.10026,22189.0
hobbies,passatempi,attrezzo,ATTREZZO_pinza universale,pinza universale,1,21,21,21.0,0.0,1.0,1,0.10026,163.0
hobbies,passatempi,attrezzo,ATTREZZO_pinza freno,pinza freno,1,22,22,22.0,0.0,1.0,1,0.10026,
hobbies,passatempi,attrezzo,ATTREZZO_pinza a becchi,pinza a becchi,1,23,23,23.0,0.0,1.0,1,0.10026,27.0
hobbies,passatempi,attrezzo,ATTREZZO_pinza per cablaggio,pinza per cablaggio,1,24,24,24.0,0.0,1.0,1,0.10026,
hobbies,passatempi,attrezzo,ATTREZZO_pistola termica,pistola termica,1,25,25,25.0,0.0,1.0,1,0.10026,82.0
hobbies,passatempi,attrezzo,ATTREZZO_pistola a espansione,pistola a espansione,1,26,26,26.0,0.0,1.0,1,0.10026,
hobbies,passatempi,attrezzo,ATTREZZO_pistola a caldo,pistola a caldo,1,27,27,27.0,0.0,1.0,1,0.10026,25.0
hobbies,passatempi,attrezzo,ATTREZZO_pistola per silic,pistola per silic,1,28,28,28.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_autobus urbano,urbano,1,1,1,1.0,1.0,1.0,1,1.0,23994.0
vehicles,veicoli,autobus,AUTOBUS_autobus interurbano,interurbano,1,2,2,2.0,0.0,1.0,1,0.10026,5878.0
vehicles,veicoli,autobus,AUTOBUS_autobus scolastico,scolastico,1,3,3,3.0,0.0,1.0,1,0.10026,16533.0
vehicles,veicoli,autobus,AUTOBUS_autobus turistico,turistico,1,4,4,4.0,0.0,1.0,1,0.10026,14921.0
vehicles,veicoli,autobus,AUTOBUS_autobus a due piani,a due piani,1,5,5,5.0,0.0,1.0,1,0.10026,198.0
vehicles,veicoli,autobus,AUTOBUS_autobus articolato,articolato,1,6,6,6.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_minibus,minibus,1,7,7,7.0,0.0,1.0,1,0.10026,23726.0
vehicles,veicoli,autobus,AUTOBUS_midibus,midibus,1,8,8,8.0,0.0,1.0,1,0.10026,96.0
vehicles,veicoli,autobus,AUTOBUS_autobus elettrico,elettrico,1,9,9,9.0,0.0,1.0,1,0.10026,33490.0
vehicles,veicoli,autobus,AUTOBUS_autobus a idrogeno,a idrogeno,1,10,10,10.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_autobus ibrido,ibrido,1,11,11,11.0,0.0,1.0,1,0.10026,12550.0
vehicles,veicoli,autobus,AUTOBUS_autobus a metano,a metano,1,12,12,12.0,0.0,1.0,1,0.10026,222.0
vehicles,veicoli,autobus,AUTOBUS_autobus a cielo aperto,a cielo aperto,1,13,13,13.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_autobus per disabili,per disabili,1,14,14,14.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_autobus per il trasporto di prigionieri,per il trasporto di prigionieri,1,15,15,15.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_autobus per il trasporto di animali,per il trasporto di animali,1,16,16,16.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_autobus per il trasporto di biciclette,per il trasporto di biciclette,1,17,17,17.0,0.0,1.0,1,0.10026,
vehicles,veicoli,automobile,AUTOMOBILE_berlina,berlina,1,1,1,1.0,1.0,1.0,1,1.0,38856.0
vehicles,veicoli,automobile,AUTOMOBILE_coupé,coupé,1,2,2,2.0,0.0,1.0,1,0.10026,42702.0
vehicles,veicoli,automobile,AUTOMOBILE_cabriolet,cabriolet,1,3,3,3.0,0.0,1.0,1,0.10026,19356.0
vehicles,veicoli,automobile,AUTOMOBILE_station wagon,station wagon,1,4,4,4.0,0.0,1.0,1,0.10026,7302.0
vehicles,veicoli,automobile,AUTOMOBILE_suv,suv,1,5,5,5.0,0.0,1.0,1,0.10026,38682.0
vehicles,veicoli,automobile,AUTOMOBILE_monovolume,monovolume,1,6,6,6.0,0.0,1.0,1,0.10026,11428.0
vehicles,veicoli,automobile,AUTOMOBILE_fuoristrada,fuoristrada,1,7,7,7.0,0.0,1.0,1,0.10026,21868.0
vehicles,veicoli,automobile,AUTOMOBILE_berlina sportiva,berlina sportiva,1,8,8,8.0,0.0,1.0,1,0.10026,175.0
vehicles,veicoli,automobile,AUTOMOBILE_coupé sportiva,coupé sportiva,1,9,9,9.0,0.0,1.0,1,0.10026,99.0
vehicles,veicoli,automobile,AUTOMOBILE_spider,spider,1,10,10,10.0,0.0,1.0,1,0.10026,18285.0
vehicles,veicoli,automobile,AUTOMOBILE_decappottabile,decappottabile,1,11,11,11.0,0.0,1.0,1,0.10026,2104.0
vehicles,veicoli,automobile,AUTOMOBILE_pick-up,pick-up,1,12,12,12.0,0.0,1.0,1,0.10026,30836.0
vehicles,veicoli,automobile,AUTOMOBILE_berlina elettrica,berlina elettrica,1,13,13,13.0,0.0,1.0,1,0.10026,51.0
vehicles,veicoli,automobile,AUTOMOBILE_suv elettrica,suv elettrica,1,14,14,14.0,0.0,1.0,1,0.10026,32.0
vehicles,veicoli,automobile,AUTOMOBILE_monovolume elettrica,monovolume elettrica,1,15,15,15.0,0.0,1.0,1,0.10026,37.0
vehicles,veicoli,automobile,AUTOMOBILE_auto d'epoca,auto d'epoca,1,16,16,16.0,0.0,1.0,1,0.10026,0.0
vehicles,veicoli,automobile,AUTOMOBILE_auto da corsa,auto da corsa,1,17,17,17.0,0.0,1.0,1,0.10026,125.0
vehicles,veicoli,automobile,AUTOMOBILE_auto concept,auto concept,1,18,18,18.0,0.0,1.0,1,0.10026,
vehicles,veicoli,automobile,AUTOMOBILE_auto autonoma,auto autonoma,1,19,19,19.0,0.0,1.0,1,0.10026,
vehicles,veicoli,automobile,AUTOMOBILE_auto ibrida,auto ibrida,1,20,20,20.0,0.0,1.0,1,0.10026,1561.0
housing buildings,edifici residenziali,bagno,BAGNO_vasca da bagno,vasca da bagno,1,1,1,1.0,1.0,1.0,1,1.0,770.0
housing buildings,edifici residenziali,bagno,BAGNO_doccia,doccia,1,2,2,2.0,0.0,1.0,1,0.10026,31052.0
housing buildings,edifici residenziali,bagno,BAGNO_water,water,1,3,3,3.0,0.0,1.0,1,0.10026,72109.0
housing buildings,edifici residenziali,bagno,BAGNO_bidet,bidet,1,4,4,4.0,0.0,1.0,1,0.10026,34738.0
housing buildings,edifici residenziali,bagno,BAGNO_lavandino,lavandino,1,5,5,5.0,0.0,1.0,1,0.10026,37944.0
housing buildings,edifici residenziali,bagno,BAGNO_specchio,specchio,1,6,6,6.0,0.0,1.0,1,0.10026,37906.0
housing buildings,edifici residenziali,bagno,BAGNO_asciugamani,asciugamani,1,7,7,7.0,0.0,1.0,1,0.10026,46624.0
housing buildings,edifici residenziali,bagno,BAGNO_portasciugamani,portasciugamani,1,8,8,8.0,0.0,1.0,1,0.10026,1387.0
housing buildings,edifici residenziali,bagno,BAGNO_armadietto del bagno,armadietto del bagno,1,9,9,9.0,0.0,1.0,1,0.10026,21.0
housing buildings,edifici residenziali,bagno,BAGNO_piastrelle da bagno,piastrelle da bagno,1,10,10,10.0,0.0,1.0,1,0.10026,26.0
housing buildings,edifici residenziali,bagno,BAGNO_tappeto da bagno,tappeto da bagno,1,11,11,11.0,0.0,1.0,1,0.10026,44.0
housing buildings,edifici residenziali,bagno,BAGNO_colonna doccia,colonna doccia,1,12,12,12.0,0.0,1.0,1,0.10026,58.0
housing buildings,edifici residenziali,bagno,BAGNO_box doccia,box doccia,1,13,13,13.0,0.0,1.0,1,0.10026,1286.0
housing buildings,edifici residenziali,bagno,BAGNO_rubinetteria,rubinetteria,1,14,14,14.0,0.0,1.0,1,0.10026,12759.0
housing buildings,edifici residenziali,bagno,BAGNO_soffione doccia,soffione doccia,1,15,15,15.0,0.0,1.0,1,0.10026,30.0
housing buildings,edifici residenziali,bagno,BAGNO_idromassaggio,idromassaggio,1,16,16,16.0,0.0,1.0,1,0.10026,14758.0
housing buildings,edifici residenziali,bagno,BAGNO_scalda salviette,scalda salviette,1,17,17,17.0,0.0,1.0,1,0.10026,423.0
housing buildings,edifici residenziali,bagno,BAGNO_saponiera,saponiera,1,18,18,18.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,bagno,BAGNO_portasapone,portasapone,1,19,19,19.0,0.0,1.0,1,0.10026,1403.0
housing buildings,edifici residenziali,bagno,BAGNO_phon,phon,1,20,20,20.0,0.0,1.0,1,0.10026,26279.0
housing buildings,edifici residenziali,bagno,BAGNO_termostato,termostato,1,21,21,21.0,0.0,1.0,1,0.10026,17499.0
housing buildings,edifici residenziali,bagno,BAGNO_illuminazione da bagno,illuminazione da bagno,1,22,22,22.0,0.0,1.0,1,0.10026,11.0
housing buildings,edifici residenziali,bagno,BAGNO_ventilatore da bagno,ventilatore da bagno,1,23,23,23.0,0.0,1.0,1,0.10026,4.0
housing buildings,edifici residenziali,bagno,BAGNO_finestra da bagno,finestra da bagno,1,24,24,24.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,bagno,BAGNO_porta da bagno,porta da bagno,1,25,25,25.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,bagno,BAGNO_pavimento,pavimento,1,26,26,26.0,0.0,1.0,1,0.10026,927908.0
housing buildings,edifici residenziali,balcone,BALCONE_balcone francese,francese,1,1,1,1.0,1.0,1.0,1,1.0,35732.0
housing buildings,edifici residenziali,balcone,BALCONE_balcone juliet,juliet,1,2,2,2.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,balcone,BALCONE_balcone sporgente,sporgente,1,3,3,3.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,balcone,BALCONE_balcone avvolgente,avvolgente,1,4,4,4.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,balcone,BALCONE_balcone a mensola,a mensola,1,5,5,5.0,0.0,1.0,1,0.10026,68.0
housing buildings,edifici residenziali,balcone,BALCONE_balcone pensile,pensile,1,6,6,6.0,0.0,1.0,1,0.10026,17688.0
housing buildings,edifici residenziali,balcone,BALCONE_balcone a galleria,a galleria,1,7,7,7.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,balcone,BALCONE_balcone a terrazza,a terrazza,1,8,8,8.0,0.0,1.0,1,0.10026,70.0
housing buildings,edifici residenziali,balcone,BALCONE_balcone a l,a l,1,9,9,9.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,balcone,BALCONE_balcone aereo,aereo,1,10,10,10.0,0.0,1.0,1,0.10026,1924898.0
